question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,17.1 Magnetic Effect of Current,Topic,,,,,,,,,,,1
q_10_phy_ch17_001,1,17.1 Magnetic Effect of Current,Remember,What is produced around a current-carrying conductor?,current-carrying conductor کے around کیا produce ہوتا ہے؟,A magnetic field / magnetic field,A gravitational field only / صرف gravitational field,A vacuum region / vacuum region,A refracted ray / refracted ray,A | A magnetic field / magnetic field,Easy,1,PRO,1
TOPIC_SEP,1,17.1 Magnetic Field Around a Wire,Topic,,,,,,,,,,,1
q_10_phy_ch17_002,1,17.1 Magnetic Field Around a Wire,Remember,What is the shape of magnetic field lines around a straight current-carrying wire?,straight current-carrying wire کے around magnetic field lines کی shape کیا ہے؟,Straight parallel lines only / صرف straight parallel lines,Ellipses with no centre / no centre ellipses,Concentric circles / concentric circles,Random broken lines / random broken lines,C | Concentric circles / concentric circles,Easy,1,PRO,1
TOPIC_SEP,1,17.1 Right-Hand Grip Rule,Topic,,,,,,,,,,,1
q_10_phy_ch17_003,1,17.1 Right-Hand Grip Rule,Understand,What does the right-hand grip rule determine?,right-hand grip rule کیا determine کرتا ہے؟,Direction of electric current in a battery from colour / battery میں current direction from colour,Speed of sound / sound speed,Focal length of a lens / lens focal length,Direction of magnetic field around a current-carrying wire / current-carrying wire کے around magnetic field direction,D | Direction of magnetic field around a current-carrying wire / current-carrying wire کے around magnetic field direction,Medium,1,PRO,1
TOPIC_SEP,1,17.1 Magnetic Field Strength,Topic,,,,,,,,,,,1
q_10_phy_ch17_004,1,17.1 Magnetic Field Strength,Understand,How does the magnetic field around a straight wire change when current increases?,straight wire میں current increase ہونے پر magnetic field کیسے change ہوتا ہے؟,It becomes stronger / یہ stronger ہوتا ہے,It becomes weaker / یہ weaker ہوتا ہے,It becomes zero / یہ zero ہو جاتا ہے,It changes into electric charge / یہ electric charge میں change ہوتا ہے,A | It becomes stronger / یہ stronger ہوتا ہے,Medium,1,PRO,1
q_10_phy_ch17_005,1,17.1 Magnetic Field Strength,Understand,How does field strength change farther from a straight current-carrying wire?,straight current-carrying wire سے farther جانے پر field strength کیسے change ہوتی ہے؟,It increases indefinitely / یہ indefinitely increase ہوتی ہے,It decreases / یہ decrease ہوتی ہے,It remains exactly the same / یہ exactly same رہتی ہے,It reverses every centimetre / یہ ہر centimetre reverse ہوتی ہے,B | It decreases / یہ decrease ہوتی ہے,Medium,1,PRO,1
TOPIC_SEP,1,17.1 Solenoid,Topic,,,,,,,,,,,1
