question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_phy_ch16_001,1,16.1 Electric Current,Topic,topic_separator,,,,,,1
q_10_phy_ch16_lq_001,1,16.1 Electric Current,Long,explain,"Explain electric current in terms of the movement of charges. Distinguish among conventional current, electron flow, direct current, and alternating current.",باروں کی حرکت کے حوالے سے برقی رو کی وضاحت کریں۔ conventional current، electron flow، direct current اور alternating current میں فرق بیان کریں۔,Medium,5,PRO,1
sep_10_phy_ch16_002,1,16.1 Measuring Current,Topic,topic_separator,,,,,,1
q_10_phy_ch16_lq_002,1,16.1 Measuring Current,Long,application_case,"Explain why an ammeter has very low resistance and is connected in series, while a voltmeter has very high resistance and is connected in parallel. Discuss the effects of incorrect connection.",وضاحت کریں کہ ammeter کی resistance بہت کم اور connection series میں کیوں ہوتا ہے، جبکہ voltmeter کی resistance بہت زیادہ اور connection parallel میں کیوں ہوتا ہے۔ غلط connection کے اثرات پر بحث کریں۔,Hard,5,PRO,1
sep_10_phy_ch16_003,1,16.2 EMF and Potential Difference,Topic,topic_separator,,,,,,1
q_10_phy_ch16_lq_003,1,16.2 EMF and Potential Difference,Long,compare,"Define electromotive force and potential difference. Compare their meanings, roles in a circuit, measurement, and units.",electromotive force اور potential difference کی تعریف کریں۔ circuit میں ان کے meanings، roles، measurement اور units کا موازنہ کریں۔,Medium,5,PRO,1
sep_10_phy_ch16_004,1,16.2 Cells in Series and Parallel,Topic,topic_separator,,,,,,1
q_10_phy_ch16_lq_004,1,16.2 Cells in Series and Parallel,Long,compare,Compare identical cells connected in series and in parallel. Explain the effect of each arrangement on total emf and current-supplying ability.,series اور parallel میں connected identical cells کا موازنہ کریں۔ total emf اور current-supplying ability پر ہر arrangement کے اثر کی وضاحت کریں۔,Medium,5,ULTRA,1
sep_10_phy_ch16_005,1,16.3 Ohm's Law,Topic,topic_separator,,,,,,1
q_10_phy_ch16_lq_005,1,16.3 Ohm's Law,Long,state_and_explain,State and explain Ohm's law. Describe the V-I characteristic of an ohmic conductor and discuss the effect of resistance on current.,Ohm's law بیان کریں اور وضاحت کریں۔ ohmic conductor کی V-I characteristic بیان کریں اور current پر resistance کے اثر پر بحث کریں۔,Medium,5,PRO,1
