question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,18.1 Electromagnetic Induction,topic_separator,,,,,,1
q_10_phy_ch18_sq_001,1,18.1 Electromagnetic Induction,definition_function,Define electromagnetic induction and state the condition required to produce an induced current.,electromagnetic induction کی تعریف کریں اور induced current پیدا ہونے کی required condition بیان کریں۔,Easy,2,PRO,1
q_10_phy_ch18_sq_002,1,18.1 Electromagnetic Induction,concept_explanation,State what happens to a galvanometer when a magnet is stationary near a coil and when it is moved toward the coil.,بیان کریں کہ magnet coil کے near stationary ہو اور پھر coil کی طرف move کیا جائے تو galvanometer کے ساتھ کیا ہوتا ہے۔,Easy,2,PRO,1
TOPIC_SEP,1,18.1 Faraday's Law,topic_separator,,,,,,1
q_10_phy_ch18_sq_003,1,18.1 Faraday's Law,law_principle,State Faraday's law of electromagnetic induction.,Faraday's law of electromagnetic induction بیان کریں۔,Easy,2,PRO,1
TOPIC_SEP,1,18.1 Lenz's Law,topic_separator,,,,,,1
q_10_phy_ch18_sq_004,1,18.1 Lenz's Law,law_principle,State Lenz's law and identify what it determines.,Lenz's law بیان کریں اور identify کریں کہ یہ کیا determine کرتا ہے۔,Easy,2,PRO,1
TOPIC_SEP,1,18.1 Induced EMF,topic_separator,,,,,,1
q_10_phy_ch18_sq_005,1,18.1 Induced EMF,list_state,State three factors that affect the magnitude of induced emf in a coil.,coil میں induced emf کی magnitude کو affect کرنے والے three factors بیان کریں۔,Easy,2,PRO,1
TOPIC_SEP,1,18.2 AC Generator,topic_separator,,,,,,1
q_10_phy_ch18_sq_006,1,18.2 AC Generator,definition_function,State the energy conversion performed by an AC generator.,AC generator کی performed energy conversion بیان کریں۔,Easy,2,PRO,1
q_10_phy_ch18_sq_007,1,18.2 AC Generator,function_purpose,State the functions of slip rings and carbon brushes in an AC generator.,AC generator میں slip rings اور carbon brushes کے functions بیان کریں۔,Easy,2,PRO,1
q_10_phy_ch18_sq_008,1,18.2 AC Generator,features_characteristics,"State the meaning of the peaks, troughs, and zero points on an AC emf-time graph.",AC emf-time graph پر peaks، troughs اور zero points کے meanings بیان کریں۔,Easy,2,ELITE,1
TOPIC_SEP,1,18.3 Transformer,topic_separator,,,,,,1
q_10_phy_ch18_sq_009,1,18.3 Transformer,definition_function,Define a transformer and state the type of current on which it operates.,transformer کی تعریف کریں اور وہ current type بیان کریں جس پر یہ operate کرتا ہے۔,Easy,2,PRO,1
q_10_phy_ch18_sq_010,1,18.3 Transformer,difference,Differentiate between a step-up transformer and a step-down transformer.,step-up transformer اور step-down transformer میں فرق بیان کریں۔,Easy,2,PRO,1
q_10_phy_ch18_sq_011,1,18.3 Transformer,definition_function,Define primary and secondary coils of a transformer.,transformer کی primary اور secondary coils کی definitions بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,18.4 Electron Beams,topic_separator,,,,,,1
