question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,16.1 Electric Current,Topic,,,,,,,,,,,1
q_10_phy_ch16_001,1,16.1 Electric Current,Remember,What is electric current?,electric current کیا ہے؟,Energy per unit charge / energy per unit charge,Resistance per unit length / resistance per unit length,Rate of flow of electric charge / electric charge کے flow کی rate,Force per unit charge / force per unit charge,C | Rate of flow of electric charge / electric charge کے flow کی rate,Easy,1,PRO,1
q_10_phy_ch16_002,1,16.1 Electric Current,Remember,Which formula defines electric current?,electric current کا formula کون سا ہے؟,I = Qt,I = Q/t,I = t/Q,I = VQ,B | I = Q/t,Easy,1,PRO,1
q_10_phy_ch16_003,1,16.1 Electric Current,Remember,What is the SI unit of electric current?,electric current کی SI unit کیا ہے؟,Coulomb (C) / coulomb (C),Volt (V) / volt (V),Ohm (Ω) / ohm (Ω),Ampere (A) / ampere (A),D | Ampere (A) / ampere (A),Easy,1,ULTRA,1
q_10_phy_ch16_004,1,16.1 Electric Current,Understand,What is the conventional direction of current in an external circuit?,external circuit میں conventional current کی direction کیا ہے؟,From negative terminal to positive terminal / negative terminal سے positive terminal,In both directions simultaneously / دونوں directions میں simultaneously,From positive terminal to negative terminal / positive terminal سے negative terminal,Perpendicular to the wire / wire کے perpendicular,C | From positive terminal to negative terminal / positive terminal سے negative terminal,Medium,1,PRO,1
q_10_phy_ch16_005,1,16.1 Electric Current,Understand,"In a metal wire, which particles actually drift to produce current?",metal wire میں current produce کرنے کے لیے کون سے particles actually drift کرتے ہیں؟,Protons / protons,Free electrons / free electrons,Neutrons / neutrons,Atomic nuclei / atomic nuclei,B | Free electrons / free electrons,Medium,1,PRO,1
TOPIC_SEP,1,16.1 Measuring Current,Topic,,,,,,,,,,,1
q_10_phy_ch16_006,1,16.1 Measuring Current,Remember,How is an ammeter connected in a circuit?,ammeter circuit میں کیسے connect کیا جاتا ہے؟,In parallel / parallel میں,In series / series میں,Across the cell only without circuit / صرف cell کے across without circuit,Outside the circuit / circuit کے outside,B | In series / series میں,Easy,1,PRO,1
TOPIC_SEP,1,16.1 Direct and Alternating Current,Topic,,,,,,,,,,,1
q_10_phy_ch16_007,1,16.1 Direct and Alternating Current,Remember,Which current flows in one direction only?,کون سا current one direction only flow کرتا ہے؟,Alternating current (AC) / alternating current (AC),Direct current (DC) / direct current (DC),Induced magnetic field / induced magnetic field,Static charge / static charge,B | Direct current (DC) / direct current (DC),Easy,1,PRO,1
q_10_phy_ch16_008,1,16.1 Direct and Alternating Current,Understand,What is the key feature of alternating current?,alternating current کی key feature کیا ہے؟,It has no charge flow / اس میں charge flow نہیں ہوتا,It always has zero voltage / اس کا voltage ہمیشہ zero ہوتا ہے,Its direction changes periodically / اس کی direction periodically change ہوتی ہے,It flows only in insulators / یہ صرف insulators میں flow کرتا ہے,C | Its direction changes periodically / اس کی direction periodically change ہوتی ہے,Medium,1,PRO,1
TOPIC_SEP,1,16.2 EMF and Potential Difference,Topic,,,,,,,,,,,1
q_10_phy_ch16_009,1,16.2 EMF and Potential Difference,Remember,What is electromotive force (emf)?,electromotive force (emf) کیا ہے؟,Energy supplied by a source per unit charge / source کے ذریعے per unit charge supplied energy,Charge flowing per second / per second flowing charge,Resistance of one metre wire / one metre wire کی resistance,Force on one coulomb in a field / field میں one coulomb پر force,A | Energy supplied by a source per unit charge / source کے ذریعے per unit charge supplied energy,Easy,1,PRO,1
TOPIC_SEP,1,16.2 Potential Difference,Topic,,,,,,,,,,,1
q_10_phy_ch16_010,1,16.2 Potential Difference,Remember,What is potential difference?,potential difference کیا ہے؟,Number of electrons per atom / per atom electrons کی number,Current multiplied by time only / صرف current multiplied by time,Energy transferred per unit charge between two points / two points کے درمیان per unit charge transferred energy,Magnetic flux per unit area / per unit area magnetic flux,C | Energy transferred per unit charge between two points / two points کے درمیان per unit charge transferred energy,Easy,1,PRO,1
q_10_phy_ch16_011,1,16.2 Potential Difference,Remember,What is the SI unit of emf and potential difference?,emf اور potential difference کی SI unit کیا ہے؟,Volt (V) / volt (V),Ampere (A) / ampere (A),Ohm metre (Ω·m) / ohm metre (Ω·m),Watt (W) / watt (W),A | Volt (V) / volt (V),Easy,1,ULTRA,1
TOPIC_SEP,1,16.2 Measuring Voltage,Topic,,,,,,,,,,,1
q_10_phy_ch16_012,1,16.2 Measuring Voltage,Remember,How is a voltmeter connected?,voltmeter کیسے connect کیا جاتا ہے؟,In series with every component / ہر component کے ساتھ series میں,Only to the earth wire / صرف earth wire سے,In parallel across a component / component کے across parallel میں,Across an open switch only / صرف open switch کے across,C | In parallel across a component / component کے across parallel میں,Easy,1,PRO,1
TOPIC_SEP,1,16.2 Cells in Series and Parallel,Topic,,,,,,,,,,,1
q_10_phy_ch16_013,1,16.2 Cells in Series and Parallel,Understand,What happens to total emf when identical cells are connected in series in the same direction?,identical cells same direction میں series connect ہوں تو total emf پر کیا effect ہوتا ہے؟,Total emf becomes zero / total emf zero ہو جاتی ہے,Emf equals one cell only in every case / emf ہر case میں one cell کے equal ہوتی ہے,Current cannot flow / current flow نہیں کر سکتا,Their emfs add / ان کی emfs add ہوتی ہیں,D | Their emfs add / ان کی emfs add ہوتی ہیں,Medium,1,PRO,1
q_10_phy_ch16_014,1,16.2 Cells in Series and Parallel,Understand,Why are identical cells connected in parallel?,identical cells parallel میں کیوں connect کیے جاتے ہیں؟,To multiply emf by number of cells / emf کو cells number سے multiply کرنے کے لیے,To make resistance infinite / resistance infinite کرنے کے لیے,To supply current for a longer time while emf remains about that of one cell / longer time current supply کرنے کے لیے جبکہ emf about one cell رہتی ہے,To stop charge flow / charge flow stop کرنے کے لیے,C | To supply current for a longer time while emf remains about that of one cell / longer time current supply کرنے کے لیے جبکہ emf about one cell رہتی ہے,Medium,1,ELITE,1
TOPIC_SEP,1,16.3 Ohm's Law,Topic,,,,,,,,,,,1
q_10_phy_ch16_015,1,16.3 Ohm's Law,Remember,Which relation states Ohm's law?,Ohm's law کون سا relation state کرتا ہے؟,V = I/R,V = IR,V = R/I,I = VR,B | V = IR,Easy,1,PRO,1
q_10_phy_ch16_016,1,16.3 Ohm's Law,Understand,"For an ohmic conductor at constant temperature, the V-I graph is:",constant temperature پر ohmic conductor کا V-I graph کیسا ہوتا ہے؟,A straight line through the origin / origin سے passing straight line,A circle / circle,A horizontal line at zero / zero پر horizontal line,A random curve independent of resistance / resistance سے independent random curve,A | A straight line through the origin / origin سے passing straight line,Medium,1,PRO,1
TOPIC_SEP,1,16.3 Resistance,Topic,,,,,,,,,,,1
q_10_phy_ch16_017,1,16.3 Resistance,Remember,What is the SI unit of resistance?,resistance کی SI unit کیا ہے؟,Volt (V) / volt (V),Ampere (A) / ampere (A),Ohm (Ω) / ohm (Ω),Coulomb (C) / coulomb (C),C | Ohm (Ω) / ohm (Ω),Easy,1,ULTRA,1
