question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_math_ch8_001,1,Circle and Its Components,Topic,topic_separator,,,,,,1
q_10_math_ch8_lq_001,1,Circle and Its Components,Long,classification,"Define a circle and classify its main components: radial segment, radius, circumference, chord, diameter, semicircle, minor arc, major arc, segment, sector, angle in a segment, angle standing on an arc, secant, and central angle.",circle کی تعریف کریں اور اس کے main components classify کریں: radial segment، radius، circumference، chord، diameter، semicircle، minor arc، major arc، segment، sector، angle in a segment، angle standing on an arc، secant اور central angle۔,Medium,5,PRO,1
sep_10_math_ch8_002,1,8.1.1 Unique Circle Through Three Points,Topic,topic_separator,,,,,,1
q_10_math_ch8_lq_002,1,8.1.1 Unique Circle Through Three Points,Long,derive,Prove that one and only one circle can pass through three non-collinear points. State the related consequences for collinear points and intersecting circles.,ثابت کریں کہ three non-collinear points سے one and only one circle گزر سکتا ہے۔ collinear points اور intersecting circles سے متعلق consequences بھی بیان کریں۔,Hard,5,PRO,1
sep_10_math_ch8_003,1,8.1.2 Line from Centre to Chord Bisector,Topic,topic_separator,,,,,,1
q_10_math_ch8_lq_003,1,8.1.2 Line from Centre to Chord Bisector,Long,derive,Prove that a straight line drawn from the centre of a circle to bisect a chord that is not a diameter is perpendicular to the chord.,ثابت کریں کہ circle کے centre سے chord کو bisect کرنے والی straight line، اگر chord diameter نہ ہو، chord پر perpendicular ہوتی ہے۔,Hard,5,PRO,1
sep_10_math_ch8_004,1,8.1.3 Perpendicular from Centre Bisects Chord,Topic,topic_separator,,,,,,1
q_10_math_ch8_lq_004,1,8.1.3 Perpendicular from Centre Bisects Chord,Long,derive,Prove that a perpendicular drawn from the centre of a circle to a chord bisects the chord.,ثابت کریں کہ circle کے centre سے chord پر drawn perpendicular chord کو bisect کرتا ہے۔,Hard,5,PRO,1
sep_10_math_ch8_005,1,8.1.4 Congruent Chords and Distance from Centre,Topic,topic_separator,,,,,,1
q_10_math_ch8_lq_005,1,8.1.4 Congruent Chords and Distance from Centre,Long,derive,Prove that two congruent chords of a circle are equidistant from the centre.,ثابت کریں کہ circle کے two congruent chords centre سے equidistant ہوتے ہیں۔,Hard,5,PRO,1
sep_10_math_ch8_006,1,8.1.5 Equidistant Chords Are Congruent,Topic,topic_separator,,,,,,1
q_10_math_ch8_lq_006,1,8.1.5 Equidistant Chords Are Congruent,Long,derive,Prove the converse theorem that two chords equidistant from the centre of a circle are congruent.,converse theorem ثابت کریں کہ circle کے centre سے equidistant two chords congruent ہوتے ہیں۔,Hard,5,PRO,1
sep_10_math_ch8_007,1,8.1.6 Congruent Arcs and Corresponding Chords,Topic,topic_separator,,,,,,1
q_10_math_ch8_lq_007,1,8.1.6 Congruent Arcs and Corresponding Chords,Long,derive,Prove that congruent arcs of the same circle or congruent circles have equal corresponding chords.,ثابت کریں کہ same circle یا congruent circles کے congruent arcs کے corresponding chords equal ہوتے ہیں۔,Hard,5,PRO,1
sep_10_math_ch8_008,1,8.1.7 Equal Chords and Corresponding Arcs,Topic,topic_separator,,,,,,1
q_10_math_ch8_lq_008,1,8.1.7 Equal Chords and Corresponding Arcs,Long,derive,"Prove that equal chords of the same circle or congruent circles have congruent corresponding minor, major, or semicircular arcs.",ثابت کریں کہ same circle یا congruent circles کے equal chords کے corresponding minor، major یا semicircular arcs congruent ہوتے ہیں۔,Hard,5,PRO,1
sep_10_math_ch8_009,1,8.1.8 Equal Chords and Central Angles,Topic,topic_separator,,,,,,1
q_10_math_ch8_lq_009,1,8.1.8 Equal Chords and Central Angles,Long,derive,Prove that equal chords of the same circle or congruent circles subtend equal angles at the centre.,ثابت کریں کہ same circle یا congruent circles کے equal chords centre پر equal angles subtend کرتے ہیں۔,Hard,5,PRO,1
