question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_math_ch7_001,1,7.1 Trigonometric Ratios or Functions,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_001,1,7.1 Trigonometric Ratios or Functions,Long,explain,Define the six trigonometric ratios of an acute angle in a right-angled triangle and explain their reciprocal and quotient relationships.,right-angled triangle میں acute angle کے six trigonometric ratios کی تعریف کریں اور ان کے reciprocal اور quotient relationships کی وضاحت کریں۔,Medium,5,PRO,1
sep_10_math_ch7_002,1,7.1.1 Special Angles,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_002,1,7.1.1 Special Angles,Long,state_and_explain,"State the exact trigonometric values for 0°, 30°, 45°, 60°, 90°, and 180°. Explain which values are undefined and why.",0°، 30°، 45°، 60°، 90° اور 180° کے exact trigonometric values بیان کریں۔ واضح کریں کہ کون سی values undefined ہیں اور کیوں۔,Medium,5,ULTRA,1
sep_10_math_ch7_003,1,7.1.2 Signs of Trigonometric Functions,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_003,1,7.1.2 Signs of Trigonometric Functions,Long,classification,Classify the signs of all six trigonometric functions in the four quadrants and explain the quadrant sign rule with a coordinate-circle diagram.,four quadrants میں all six trigonometric functions کی signs classify کریں اور coordinate-circle diagram کے ساتھ quadrant sign rule سمجھائیں۔,Medium,5,PRO,1
sep_10_math_ch7_004,1,"7.1.3 Ratios at 0°, 90°, and 180°",Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_004,1,"7.1.3 Ratios at 0°, 90°, and 180°",Long,derive,"Using the unit circle, derive the trigonometric ratios of 0°, 90°, and 180°.",unit circle استعمال کرتے ہوئے 0°، 90° اور 180° کے trigonometric ratios اخذ کریں۔,Hard,5,PRO,1
sep_10_math_ch7_005,1,7.1.4 Extension to Angles Between 90° and 180°,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_005,1,7.1.4 Extension to Angles Between 90° and 180°,Long,derive,Derive the reduction formulas for trigonometric functions of angles of the forms 90° + θ and 180° − θ.,90° + θ اور 180° − θ کی forms والے angles کے trigonometric functions کے reduction formulas اخذ کریں۔,Hard,5,PRO,1
sep_10_math_ch7_006,1,7.2 Oblique Triangles and Law of Sines,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_006,1,7.2 Oblique Triangles and Law of Sines,Long,explain,Define an oblique triangle and explain the law of sines. State the data conditions under which this law can be used to solve a triangle.,oblique triangle کی تعریف کریں اور law of sines کی وضاحت کریں۔ وہ data conditions بیان کریں جن میں اس law سے triangle solve کیا جا سکتا ہے۔,Medium,5,PRO,1
sep_10_math_ch7_007,1,7.2.2 Law of Cosines,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_007,1,7.2.2 Law of Cosines,Long,derive,State the three forms of the law of cosines and explain how the law is used to find an unknown side or angle of an oblique triangle.,law of cosines کی three forms بیان کریں اور explain کریں کہ oblique triangle کی unknown side یا angle معلوم کرنے کے لیے یہ law کیسے استعمال ہوتا ہے۔,Hard,5,PRO,1
sep_10_math_ch7_008,1,7.2.3 Area of a Triangle,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_008,1,7.2.3 Area of a Triangle,Long,compare,"Compare the three area formulas for a triangle when two sides and the included angle, three sides, or two angles and one side are given.",triangle کے three area formulas کا تقابل کریں جب two sides and included angle، three sides، یا two angles and one side given ہوں۔,Hard,5,PRO,1
sep_10_math_ch7_009,1,7.3 Trigonometry in Three Dimensions,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_009,1,7.3 Trigonometry in Three Dimensions,Long,process_procedure,"Describe a systematic method for solving three-dimensional trigonometric problems involving prisms, cuboids, and pyramids. Explain how a spatial problem is reduced to right-angled triangles.",prisms، cuboids اور pyramids سے متعلق three-dimensional trigonometric problems حل کرنے کا systematic method بیان کریں۔ explain کریں کہ spatial problem کو right-angled triangles میں کیسے reduce کیا جاتا ہے۔,Hard,5,PRO,1
sep_10_math_ch7_010,1,7.4 Trigonometry in Real Life,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_010,1,7.4 Trigonometry in Real Life,Long,application_case,"Discuss applications of trigonometry in flight engineering, surveying, navigation, sound-path analysis, river crossing, towers, ladders, and angles of elevation or depression.",flight engineering، surveying، navigation، sound-path analysis، river crossing، towers، ladders اور angles of elevation or depression میں trigonometry کی applications پر بحث کریں۔,Medium,5,ELITE,1
sep_10_math_ch7_011,1,7.5 Three-Figure Bearings,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_011,1,7.5 Three-Figure Bearings,Long,state_and_explain,"Define a three-figure bearing and explain cardinal directions, clockwise measurement from north, notation from 000° to 360°, and the rule for reverse bearings.",three-figure bearing کی تعریف کریں اور cardinal directions، north سے clockwise measurement، 000° سے 360° تک notation، اور reverse bearing کا rule explain کریں۔,Medium,5,PRO,1
sep_10_math_ch7_012,1,7.5 Bearing Applications,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_012,1,7.5 Bearing Applications,Long,process_procedure,"Explain how to solve journey and displacement problems involving successive bearings. Include the use of scale diagrams, right triangles, sine and cosine laws, and resultant distance.",successive bearings والے journey اور displacement problems حل کرنے کا طریقہ explain کریں۔ scale diagrams، right triangles، sine and cosine laws، اور resultant distance کے use کو شامل کریں۔,Hard,5,PRO,1
sep_10_math_ch7_013,1,7.1 Extended Trigonometric Functions — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_013,1,7.1 Extended Trigonometric Functions — Solved Examples,Numerical,evaluate,"Determine the signs of cos 75° and cot 250°, and find the exact values of sin 120° and cot 150° without using a calculator.",cos 75° اور cot 250° کی signs معلوم کریں، اور calculator کے بغیر sin 120° اور cot 150° کی exact values find کریں۔,Medium,4,ULTRA,1
sep_10_math_ch7_014,1,7.2 Law of Sines — Solved Example,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_014,1,7.2 Law of Sines — Solved Example,Numerical,solve,"In triangle ABC, β = 45°, γ = 30°, and a = 6 cm. Calculate the remaining angle and sides b and c.",triangle ABC میں β = 45°، γ = 30° اور a = 6 cm ہیں۔ remaining angle اور sides b اور c calculate کریں۔,Hard,4,PRO,1
sep_10_math_ch7_015,1,7.2 Law of Cosines — Solved Example,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_015,1,7.2 Law of Cosines — Solved Example,Numerical,solve,"In triangle ABC, a = 3, b = 5, and c = 7. Calculate α, β, and γ.",triangle ABC میں a = 3، b = 5 اور c = 7 ہیں۔ α، β اور γ calculate کریں۔,Hard,4,PRO,1
sep_10_math_ch7_016,1,7.2 Area Formulas — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_016,1,7.2 Area Formulas — Solved Examples,Numerical,calculate,Calculate the areas of the three worked triangles using: (a) two sides and the included angle | (b) Heron’s formula | (c) two angles and one side.,three worked triangles کے areas calculate کریں using: (a) two sides and included angle | (b) Heron’s formula | (c) two angles and one side۔,Hard,4,PRO,1
sep_10_math_ch7_017,1,7.3 Three-Dimensional Trigonometry — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_017,1,7.3 Three-Dimensional Trigonometry — Solved Examples,Numerical,calculate,Solve the worked prism and cuboid problems involving the angle between a line and a plane and the unknown edge of a cuboid.,line اور plane کے درمیان angle اور cuboid کی unknown edge سے متعلق worked prism اور cuboid problems حل کریں۔,Hard,4,PRO,1
sep_10_math_ch7_018,1,7.4 Real-Life Trigonometry — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_018,1,7.4 Real-Life Trigonometry — Solved Examples,Numerical,calculate,Solve the worked applications involving the height of an aeroplane and the angle between two sound paths.,aeroplane کی height اور two sound paths کے درمیان angle سے متعلق worked applications حل کریں۔,Medium,4,PRO,1
sep_10_math_ch7_019,1,7.5 Bearings — Solved Examples,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_019,1,7.5 Bearings — Solved Examples,Numerical,calculate,Solve the worked bearing problems involving reverse bearings and the shortest return route of an aeroplane after travelling east and north.,reverse bearings اور east و north travel کے بعد aeroplane کے shortest return route سے متعلق worked bearing problems حل کریں۔,Hard,4,PRO,1
sep_10_math_ch7_020,1,Exercise 7.1 — Signs and Exact Values,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_020,1,Exercise 7.1 — Signs and Exact Values,Numerical,evaluate,"Complete the exercise on signs, reduction identities, and exact values of the listed trigonometric functions between 0° and 180°.",0° اور 180° کے درمیان listed trigonometric functions کی signs، reduction identities اور exact values والی exercise مکمل کریں۔,Hard,4,PRO,1
sep_10_math_ch7_021,1,Exercise 7.2 — Solving Oblique Triangles,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_021,1,Exercise 7.2 — Solving Oblique Triangles,Numerical,solve,Solve all eight listed oblique triangles by selecting the appropriate sine or cosine law.,appropriate sine یا cosine law select کرتے ہوئے all eight listed oblique triangles solve کریں۔,Hard,4,PRO,1
sep_10_math_ch7_022,1,Exercise 7.2 — Areas of Triangles,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_022,1,Exercise 7.2 — Areas of Triangles,Numerical,calculate,Calculate the areas of all eight listed triangles by selecting the appropriate area formula.,appropriate area formula select کرتے ہوئے all eight listed triangles کے areas calculate کریں۔,Hard,4,PRO,1
sep_10_math_ch7_023,1,Exercise 7.3 — Prisms and Pyramids,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_023,1,Exercise 7.3 — Prisms and Pyramids,Numerical,calculate,"Solve the five diagram-based three-dimensional problems involving triangular prisms, rectangular bases, square pyramids, and angles between lines and planes.",triangular prisms، rectangular bases، square pyramids، اور lines و planes کے درمیان angles سے متعلق five diagram-based three-dimensional problems حل کریں۔,Hard,4,PRO,1
sep_10_math_ch7_024,1,Exercise 7.3 — Real-Life Problems,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_024,1,Exercise 7.3 — Real-Life Problems,Numerical,solve,"Solve the six applications involving a game camera, tower, river crossing, two speakers, ladder, and lighthouse.",game camera، tower، river crossing، two speakers، ladder اور lighthouse سے متعلق six applications حل کریں۔,Hard,4,PRO,1
sep_10_math_ch7_025,1,Exercise 7.4 — Reading Bearings,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_025,1,Exercise 7.4 — Reading Bearings,Numerical,determine,Determine the bearings shown in the four diagrams and find the reciprocal bearings for the listed ships and places.,four diagrams میں shown bearings determine کریں اور listed ships اور places کے reciprocal bearings معلوم کریں۔,Medium,4,PRO,1
sep_10_math_ch7_026,1,Exercise 7.4 — Bearing Journeys,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_026,1,Exercise 7.4 — Bearing Journeys,Numerical,calculate,"Solve the six journey and displacement problems involving walking routes, ships, aircraft, and successive bearings.",walking routes، ships، aircraft اور successive bearings سے متعلق six journey and displacement problems حل کریں۔,Hard,4,PRO,1
sep_10_math_ch7_027,1,Review Exercise 7 — Triangle Calculations,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_027,1,Review Exercise 7 — Triangle Calculations,Numerical,solve,Calculate the areas of the three listed triangles and solve the two listed triangles.,three listed triangles کے areas calculate کریں اور two listed triangles solve کریں۔,Hard,4,PRO,1
sep_10_math_ch7_028,1,Review Exercise 7 — Three-Dimensional Problems,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_028,1,Review Exercise 7 — Three-Dimensional Problems,Numerical,calculate,"Solve the cuboid and triangular-prism review problems, including lengths and angles between lines and planes.",cuboid اور triangular-prism review problems حل کریں، including lengths اور lines و planes کے درمیان angles۔,Hard,4,PRO,1
sep_10_math_ch7_029,1,Review Exercise 7 — Bearings,Topic,topic_separator,,,,,,1
q_10_math_ch7_lq_029,1,Review Exercise 7 — Bearings,Numerical,calculate,Solve the two review bearing problems involving a north-east walk and an aircraft flying on bearings 045° and 135°.,north-east walk اور bearings 045° و 135° پر aircraft flight سے متعلق two review bearing problems حل کریں۔,Hard,4,PRO,1
