question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,3.1 Matrices,Topic,,,,,,,,,,,1
q_10_math_ch3_001,1,3.1 Matrices,Remember,A matrix is a rectangular array whose entries are written inside:,matrix ایک rectangular array ہے جس کی entries کس کے اندر لکھی جاتی ہیں؟,Square brackets / مربع قوسین,Curly brackets / خمیدہ قوسین,Angle brackets / زاویائی قوسین,Quotation marks / واوین,A | Square brackets / مربع قوسین,Easy,1,ULTRA,1
q_10_math_ch3_002,1,3.1 Matrices,Remember,Matrices are generally denoted by:,matrices کو عموماً کن letters سے denote کیا جاتا ہے؟,Small English letters / English کے small letters,Greek letters only / صرف Greek letters,Roman numerals / Roman numerals,Capital English letters / English کے capital letters,D | Capital English letters / English کے capital letters,Easy,1,ELITE,1
q_10_math_ch3_003,1,3.1 Matrices,Remember,Entries written in a horizontal line of a matrix form a:,matrix کی horizontal line میں لکھی entries کیا بناتی ہیں؟,Row / row,Column / column,Diagonal / diagonal,Determinant / determinant,A | Row / row,Easy,1,ULTRA,1
q_10_math_ch3_004,1,3.1 Matrices,Remember,Entries written in a vertical line of a matrix form a:,matrix کی vertical line میں لکھی entries کیا بناتی ہیں؟,Row / row,Order / order,Column / column,Scalar / scalar,C | Column / column,Easy,1,ULTRA,1
q_10_math_ch3_005,1,3.1 Matrices,Understand,"If a matrix has m rows and n columns, its order is:",اگر matrix میں m rows اور n columns ہوں تو اس کا order کیا ہوگا؟,n-by-m,m-by-n,mn-by-1,m + n,B | m-by-n,Medium,1,PRO,1
q_10_math_ch3_006,1,3.1 Matrices,Apply,What is the order of a matrix having 3 rows and 4 columns?,3 rows اور 4 columns والی matrix کا order کیا ہے؟,4-by-3,7-by-1,12-by-1,3-by-4,D | 3-by-4,Easy,1,PRO,1
q_10_math_ch3_007,1,3.1 Matrices,Understand,Two matrices are equal if they have the same order and:,two matrices equal کب ہوتی ہیں؟,Their determinants are equal only / صرف determinants برابر ہوں,Their row sums are equal / row sums برابر ہوں,Both are square / دونوں square ہوں,Corresponding entries are equal / corresponding entries برابر ہوں,D | Corresponding entries are equal / corresponding entries برابر ہوں,Medium,1,PRO,1
TOPIC_SEP,1,3.2 Types of Matrices,Topic,,,,,,,,,,,1
q_10_math_ch3_008,1,3.2 Types of Matrices,Remember,A matrix having only one row is called a:,صرف one row والی matrix کیا کہلاتی ہے؟,Row matrix / row matrix,Column matrix / column matrix,Square matrix / square matrix,Zero matrix / zero matrix,A | Row matrix / row matrix,Easy,1,ULTRA,1
q_10_math_ch3_009,1,3.2 Types of Matrices,Remember,A matrix having only one column is called a:,صرف one column والی matrix کیا کہلاتی ہے؟,Row matrix / row matrix,Diagonal matrix / diagonal matrix,Scalar matrix / scalar matrix,Column matrix / column matrix,D | Column matrix / column matrix,Easy,1,ULTRA,1
q_10_math_ch3_010,1,3.2 Types of Matrices,Remember,A matrix in which all entries are zero is called a:,جس matrix کی تمام entries zero ہوں وہ کیا کہلاتی ہے؟,Identity matrix / identity matrix,Scalar matrix / scalar matrix,Zero or null matrix / zero یا null matrix,Symmetric matrix / symmetric matrix,C | Zero or null matrix / zero یا null matrix,Easy,1,ULTRA,1
q_10_math_ch3_011,1,3.2 Types of Matrices,Understand,A matrix with equal numbers of rows and columns is called a:,equal rows اور columns والی matrix کیا کہلاتی ہے؟,Rectangular matrix / rectangular matrix,Square matrix / square matrix,Row matrix / row matrix,Column matrix / column matrix,B | Square matrix / square matrix,Easy,1,PRO,1
q_10_math_ch3_012,1,3.2 Types of Matrices,Remember,"In a square matrix, entries a₁₁, a₂₂, a₃₃, ... lie on the:","square matrix میں a₁₁, a₂₂, a₃₃ وغیرہ کس پر ہوتے ہیں؟",Secondary row / secondary row,Principal diagonal / principal diagonal,First column / first column,Last diagonal only / صرف last diagonal,B | Principal diagonal / principal diagonal,Medium,1,ELITE,1
q_10_math_ch3_013,1,3.2 Types of Matrices,Understand,A square matrix whose non-diagonal entries are zero is called a:,square matrix جس کی non-diagonal entries zero ہوں کیا کہلاتی ہے؟,Rectangular matrix / rectangular matrix,Row matrix / row matrix,Diagonal matrix / diagonal matrix,Skew-symmetric matrix / skew-symmetric matrix,C | Diagonal matrix / diagonal matrix,Medium,1,PRO,1
q_10_math_ch3_014,1,3.2 Types of Matrices,Understand,A diagonal matrix with all main-diagonal entries equal and non-zero is called a:,diagonal matrix جس کی main diagonal entries equal اور non-zero ہوں کیا کہلاتی ہے؟,Identity matrix / identity matrix,Zero matrix / zero matrix,Rectangular matrix / rectangular matrix,Scalar matrix / scalar matrix,D | Scalar matrix / scalar matrix,Medium,1,PRO,1
q_10_math_ch3_015,1,3.2 Types of Matrices,Understand,A scalar matrix with all main-diagonal entries equal to 1 is called a:,scalar matrix جس کی main diagonal entries 1 ہوں کیا کہلاتی ہے؟,Zero matrix / zero matrix,Column matrix / column matrix,Identity or unit matrix / identity یا unit matrix,Negative matrix / negative matrix,C | Identity or unit matrix / identity یا unit matrix,Medium,1,PRO,1
q_10_math_ch3_016,1,3.2 Types of Matrices,Remember,The transpose of a matrix is obtained by interchanging its:,matrix کا transpose کس کو interchange کرنے سے حاصل ہوتا ہے؟,Diagonal entries only / صرف diagonal entries,Signs only / صرف signs,Rows and columns / rows اور columns,First and last entries / first اور last entries,C | Rows and columns / rows اور columns,Medium,1,ULTRA,1
q_10_math_ch3_017,1,3.2 Types of Matrices,Analyze,A square matrix A is symmetric when:,square matrix A symmetric کب ہوتی ہے؟,Aᵀ = A,Aᵀ = −A,A² = A,A = O,A | Aᵀ = A,Hard,1,PRO,1
q_10_math_ch3_018,1,3.2 Types of Matrices,Analyze,A square matrix A is skew-symmetric when:,square matrix A skew-symmetric کب ہوتی ہے؟,Aᵀ = −A,Aᵀ = A,A⁻¹ = A,A = I,A | Aᵀ = −A,Hard,1,PRO,1
q_10_math_ch3_019,1,3.2 Types of Matrices,Remember,The negative of matrix A is obtained by multiplying every entry by:,matrix A کا negative ہر entry کو کس سے multiply کرنے سے حاصل ہوتا ہے؟,0,−1,1,2,B | −1,Easy,1,PRO,1
TOPIC_SEP,1,3.3 Algebraic Operations on Matrices,Topic,,,,,,,,,,,1
q_10_math_ch3_020,1,3.3 Algebraic Operations on Matrices,Remember,Which operation is not defined as division of one matrix by another?,کون سا operation one matrix کو another matrix سے divide کرنے کے طور پر defined نہیں ہے؟,Matrix addition / matrix addition,Matrix subtraction / matrix subtraction,Matrix multiplication / matrix multiplication,Matrix division / matrix division,D | Matrix division / matrix division,Medium,1,ELITE,1
q_10_math_ch3_021,1,3.3 Algebraic Operations on Matrices,Understand,"In scalar multiplication kA, each entry of A is:",scalar multiplication kA میں A کی ہر entry کے ساتھ کیا ہوتا ہے؟,Divided by k / k سے divide ہوتی ہے,Added to k / k کے ساتھ add ہوتی ہے,Replaced by k / k سے replace ہوتی ہے,Multiplied by k / k سے multiply ہوتی ہے,D | Multiplied by k / k سے multiply ہوتی ہے,Medium,1,PRO,1
q_10_math_ch3_022,1,3.3 Algebraic Operations on Matrices,Understand,Two matrices are conformable for addition when they have:,two matrices addition کے لیے conformable کب ہوتی ہیں؟,The same order / same order,Equal determinants only / صرف equal determinants,The same number of rows only / صرف same rows,The same number of columns only / صرف same columns,A | The same order / same order,Medium,1,PRO,1
q_10_math_ch3_023,1,3.3 Algebraic Operations on Matrices,Understand,Matrix addition is performed by adding:,matrix addition کس entries کو add کر کے کی جاتی ہے؟,Only diagonal entries / صرف diagonal entries,Corresponding entries / corresponding entries,Row totals / row totals,Column totals / column totals,B | Corresponding entries / corresponding entries,Easy,1,ULTRA,1
