question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,2.1 Quadratic Equation,Topic,,,,,,,,,,,1
q_10_math_ch2_001,1,2.1 Quadratic Equation,Remember,A quadratic equation is a polynomial equation of which degree in one variable?,quadratic equation ایک variable میں کس degree کی polynomial equation ہوتی ہے؟,1,3,2,4,C | 2,Easy,1,ULTRA,1
q_10_math_ch2_002,1,2.1 Quadratic Equation,Remember,Which is the standard form of a quadratic equation?,quadratic equation کی standard form کون سی ہے؟,ax + b = 0,ax³ + bx + c = 0,"ax² + bx + c = 0, a ≠ 0","ax² + bx + c = 0, a = 0","C | ax² + bx + c = 0, a ≠ 0",Easy,1,ULTRA,1
q_10_math_ch2_003,1,2.1 Quadratic Equation,Understand,The equation ax² + bx + c = 0 becomes a pure quadratic equation when:,درج ذیل equation pure quadratic کب بنتی ہے: ax² + bx + c = 0,a = 0,c = 0,b = 0,a = b,C | b = 0,Easy,1,PRO,1
q_10_math_ch2_004,1,2.1 Quadratic Equation,Understand,The equation ax² + bx + c = 0 becomes linear when:,درج ذیل equation linear کب بنتی ہے: ax² + bx + c = 0,a = 0 and b ≠ 0,a ≠ 0 and b = 0,a = b = 0,c = 0 only,A | a = 0 and b ≠ 0,Medium,1,PRO,1
TOPIC_SEP,1,2.1.1 Factorization Method,Topic,,,,,,,,,,,1
q_10_math_ch2_005,1,2.1.1 Factorization Method,Understand,Which property is used when a factorized quadratic equation is written as (x + l)(x + m) = 0?,factorized quadratic equation میں کون سی property استعمال ہوتی ہے: (x + l)(x + m) = 0,Distributive property / تقسیمی خاصیت,Associative property / اشتراکی خاصیت,Zero product property / صفر حاصل ضرب کی خاصیت,Commutative property / تبادلی خاصیت,C | Zero product property / صفر حاصل ضرب کی خاصیت,Medium,1,ULTRA,1
q_10_math_ch2_006,1,2.1.1 Factorization Method,Analyze,Solve by factorization: x² + (7/3)x = 2,درج ذیل equation کو factorization سے حل کریں: x² + (7/3)x = 2,x = 3 or x = −2/3,x = −2 or x = 3/2,x = −3 or x = 2/3,x = 3 or x = 2/3,C | x = −3 or x = 2/3,Hard,1,PRO,1
q_10_math_ch2_007,1,2.1.1 Factorization Method,Remember,An equation in which the variable appears in the denominator of one or more terms is called:,ایسی equation جس میں variable denominator میں آئے، کیا کہلاتی ہے؟,Linear equation / خطی equation,Pure quadratic equation / خالص quadratic equation,Exponential equation / قوتی equation,Fractional equation / کسری equation,D | Fractional equation / کسری equation,Easy,1,ELITE,1
TOPIC_SEP,1,2.1.1 Completing Square Method,Topic,,,,,,,,,,,1
q_10_math_ch2_008,1,2.1.1 Completing Square Method,Understand,"In completing the square, what is added to both sides after making the coefficient of x² equal to 1?",completing square میں x² کا coefficient 1 کرنے کے بعد دونوں طرف کیا add کیا جاتا ہے؟,Square of half the coefficient of x / x کے coefficient کے نصف کا مربع,Square of the coefficient of x / x کے coefficient کا مربع,Half the constant term / constant term کا نصف,Coefficient of x² / x² کا coefficient,A | Square of half the coefficient of x / x کے coefficient کے نصف کا مربع,Medium,1,ULTRA,1
q_10_math_ch2_009,1,2.1.1 Completing Square Method,Analyze,Solve the equation by completing the square: 3x² − 32 = −10x,درج ذیل equation کو completing square سے حل کریں: 3x² − 32 = −10x,x = −2 or x = 16/3,x = 2 or x = −16/3,x = 2 or x = 16/3,x = −2 or x = −16/3,B | x = 2 or x = −16/3,Hard,1,PRO,1
TOPIC_SEP,1,2.1.1 Quadratic Formula,Topic,,,,,,,,,,,1
q_10_math_ch2_010,1,2.1.1 Quadratic Formula,Remember,Which formula gives the roots of ax² + bx + c = 0?,درج ذیل quadratic equation کے roots کا formula کون سا ہے: ax² + bx + c = 0,x = (b ± √(b² − 4ac))/(2a),x = (−b ± √(b² + 4ac))/(2a),x = (−b ± √(b² − 4ac))/(2a),x = (−b ± √(b² − 4ac))/a,C | x = (−b ± √(b² − 4ac))/(2a),Easy,1,PRO,1
q_10_math_ch2_011,1,2.1.1 Quadratic Formula,Remember,Which expression appears under the radical sign in the quadratic formula?,quadratic formula میں radical sign کے اندر کون سی expression ہوتی ہے؟,b² + 4ac,4ac − b²,b² − 4ac,b − 4ac,C | b² − 4ac,Easy,1,ULTRA,1
q_10_math_ch2_012,1,2.1.1 Quadratic Formula,Apply,Solve using the quadratic formula: 3x² + 7x − 6 = 0,درج ذیل equation کو quadratic formula سے حل کریں: 3x² + 7x − 6 = 0,x = −2/3 or x = 3,x = 2/3 or x = −3,x = 3/2 or x = −2,x = 2 or x = −1,B | x = 2/3 or x = −3,Medium,1,PRO,1
TOPIC_SEP,1,2.1.1 Solution by Graphs,Topic,,,,,,,,,,,1
q_10_math_ch2_013,1,2.1.1 Solution by Graphs,Understand,"Graphically, the roots of a quadratic equation are the x-values where its graph:",graphically quadratic equation کے roots وہ x-values ہیں جہاں graph کیا کرتی ہے؟,Crosses the x-axis / x-axis کو کاٹتی ہے,Crosses the y-axis / y-axis کو کاٹتی ہے,Has maximum y-value / maximum y-value رکھتی ہے,Meets the origin only / صرف origin سے ملتی ہے,A | Crosses the x-axis / x-axis کو کاٹتی ہے,Medium,1,ULTRA,1
q_10_math_ch2_014,1,2.1.1 Solution by Graphs,Understand,"If the coefficient of x² is positive, the graph of a quadratic function is:",اگر x² کا coefficient positive ہو تو quadratic function کا graph کیسا ہوتا ہے؟,Inverted U-shaped / الٹی U شکل,U-shaped / U شکل,V-shaped / V شکل,A straight line / سیدھی لکیر,B | U-shaped / U شکل,Easy,1,ELITE,1
