question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,12.1 Probability,topic_separator,,,,,,1
q_10_math_ch12_sq_001,1,12.1 Probability,definition_function,Define probability and state why it is useful in situations involving uncertainty.,probability کی تعریف کریں اور uncertainty والی situations میں اس کا use بیان کریں۔,Easy,2,PRO,1
TOPIC_SEP,1,12.1.1 Random Experiment,topic_separator,,,,,,1
q_10_math_ch12_sq_002,1,12.1.1 Random Experiment,definition_example,Define a random experiment and give two textbook examples.,random experiment کی تعریف کریں اور textbook کی دو examples دیں۔,Easy,2,PRO,1
q_10_math_ch12_sq_003,1,12.1.1 Random Experiment,features_characteristics,State the two main characteristics of a random experiment.,random experiment کی دو main characteristics بیان کریں۔,Easy,2,ULTRA,1
q_10_math_ch12_sq_004,1,12.1.1 Random Experiment,difference,Differentiate between a random experiment and a statistical experiment.,random experiment اور statistical experiment کے درمیان فرق بیان کریں۔,Medium,2,ELITE,1
TOPIC_SEP,1,12.1.2 Outcomes and Sample Space,topic_separator,,,,,,1
q_10_math_ch12_sq_005,1,12.1.2 Outcomes and Sample Space,definition_example,"Define an outcome and a sample space, and give the sample space for rolling one die.",outcome اور sample space کی تعریف کریں اور one die roll کرنے کا sample space لکھیں۔,Easy,2,ULTRA,1
q_10_math_ch12_sq_006,1,12.1.2 Outcomes and Sample Space,definition_function,Define a sample point and explain its relation to a sample space.,sample point کی تعریف کریں اور sample space کے ساتھ اس کا relation explain کریں۔,Easy,2,PRO,1
q_10_math_ch12_sq_007,1,12.1.2 Outcomes and Sample Space,list_state,Write the sample space for tossing two coins.,دو coins toss کرنے کا sample space لکھیں۔,Easy,2,PRO,1
TOPIC_SEP,1,12.1.3 Event and Basic Event Types,topic_separator,,,,,,1
q_10_math_ch12_sq_008,1,12.1.3 Event and Basic Event Types,definition_example,Define an event and explain why it is a subset of the sample space.,event کی تعریف کریں اور explain کریں کہ یہ sample space کا subset کیوں ہوتا ہے۔,Medium,2,PRO,1
q_10_math_ch12_sq_009,1,12.1.3 Event and Basic Event Types,definition_example,Define equally likely events and give one example involving a die.,equally likely events کی تعریف کریں اور die کی ایک example دیں۔,Easy,2,PRO,1
q_10_math_ch12_sq_010,1,12.1.3 Event and Basic Event Types,compare_contrast,Differentiate between certain and impossible events with one example of each.,certain اور impossible events کے درمیان فرق بیان کریں اور ہر ایک کی ایک example دیں۔,Easy,2,ULTRA,1
q_10_math_ch12_sq_011,1,12.1.3 Event and Basic Event Types,definition_example,Define mutually exclusive events and give one example involving odd and even outcomes of a die.,mutually exclusive events کی تعریف کریں اور die کے odd اور even outcomes کی example دیں۔,Medium,2,ULTRA,1
q_10_math_ch12_sq_012,1,12.1.3 Event and Basic Event Types,definition_example,Define exhaustive events and give one example involving two coin tosses.,exhaustive events کی تعریف کریں اور two coin tosses کی ایک example دیں۔,Medium,2,PRO,1
q_10_math_ch12_sq_013,1,12.1.3 Event and Basic Event Types,definition_formula,Define complementary events and state the relationship between their probabilities.,complementary events کی تعریف کریں اور ان کی probabilities کے درمیان relationship بیان کریں۔,Medium,2,ULTRA,1
TOPIC_SEP,1,12.1.4–12.1.5 Combined Events,topic_separator,,,,,,1
q_10_math_ch12_sq_014,1,12.1.4–12.1.5 Combined Events,definition_example,Define a combined event and distinguish it from an elementary event.,combined event کی تعریف کریں اور اسے elementary event سے distinguish کریں۔,Medium,2,PRO,1
q_10_math_ch12_sq_015,1,12.1.4–12.1.5 Combined Events,difference,Differentiate between independent and dependent events with one example of each.,independent اور dependent events کے درمیان فرق بیان کریں اور ہر ایک کی ایک example دیں۔,Medium,2,ULTRA,1
q_10_math_ch12_sq_016,1,12.1.4–12.1.5 Combined Events,difference,Differentiate between mutually exclusive and non-mutually exclusive events.,mutually exclusive اور non-mutually exclusive events کے درمیان فرق بیان کریں۔,Medium,2,ULTRA,1
TOPIC_SEP,1,12.1.6–12.1.8 Probability Diagrams,topic_separator,,,,,,1
q_10_math_ch12_sq_017,1,12.1.6–12.1.8 Probability Diagrams,definition_function,Define a tree diagram and state what each branch represents.,tree diagram کی تعریف کریں اور بیان کریں کہ ہر branch کیا represent کرتی ہے۔,Easy,2,PRO,1
