question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,4.1 Function,Topic,,,,,,,,,,,1
q_10_math_ch4_001,1,4.1 Function,Remember,A relation f from X to Y is a function when each element of X has:,relation f، X سے Y تک function کب ہوتی ہے؟,At least two images in Y / Y میں کم از کم two images,Exactly one image in Y / Y میں exactly one image,No image in Y / Y میں کوئی image نہیں,Every element of Y as image / Y کا ہر element image,B | Exactly one image in Y / Y میں exactly one image,Easy,1,ULTRA,1
q_10_math_ch4_002,1,4.1 Function,Remember,"In f: X → Y, the set X is called the:",درج ذیل notation میں X کیا کہلاتا ہے: f: X → Y,Co-domain / co-domain,Range / range,Domain / domain,Image / image,C | Domain / domain,Easy,1,ULTRA,1
q_10_math_ch4_003,1,4.1 Function,Remember,"In f: X → Y, the set Y is called the:",درج ذیل notation میں Y کیا کہلاتا ہے: f: X → Y,Domain / domain,Range only / صرف range,Co-domain / co-domain,Pre-image / pre-image,C | Co-domain / co-domain,Easy,1,ULTRA,1
q_10_math_ch4_004,1,4.1 Function,Understand,The range of a function is always a subset of its:,function کی range ہمیشہ کس کا subset ہوتی ہے؟,Domain / domain,Independent variable / independent variable,Graph only / صرف graph,Co-domain / co-domain,D | Co-domain / co-domain,Easy,1,PRO,1
q_10_math_ch4_005,1,4.1 Function,Remember,"In y = f(x), x is conventionally called the:",درج ذیل میں x کیا کہلاتا ہے: y = f(x),Independent variable / independent variable,Dependent variable / dependent variable,Range / range,Image only / صرف image,A | Independent variable / independent variable,Easy,1,ELITE,1
q_10_math_ch4_006,1,4.1 Function,Remember,"In y = f(x), y is conventionally called the:",درج ذیل میں y کیا کہلاتا ہے: y = f(x),Independent variable / independent variable,Domain / domain,Dependent variable / dependent variable,Pre-image / pre-image,C | Dependent variable / dependent variable,Easy,1,ELITE,1
q_10_math_ch4_007,1,4.1 Function,Apply,"For f(x) = x² + 3x + 1, find f(0).",درج ذیل function کے لیے f(0) معلوم کریں: f(x) = x² + 3x + 1,0,1,3,−1,B | 1,Medium,1,PRO,1
q_10_math_ch4_008,1,4.1 Function,Apply,"For f(x) = x² + 3x + 1, find f(−2).",درج ذیل function کے لیے f(−2) معلوم کریں: f(x) = x² + 3x + 1,1,−1,−2,3,B | −1,Medium,1,PRO,1
q_10_math_ch4_009,1,4.1 Function,Analyze,"For f(x) = x² + 3x + 1, find f(a).",درج ذیل function کے لیے f(a) معلوم کریں: f(x) = x² + 3x + 1,a² + 3a + 1,a² + 3x + 1,2a + 3,a² + 1,A | a² + 3a + 1,Hard,1,PRO,1
q_10_math_ch4_010,1,4.1 Function,Understand,What is the domain of f(x) = (x + 1)²?,درج ذیل function کا domain کیا ہے: f(x) = (x + 1)²,Only non-negative real numbers / صرف non-negative real numbers,Only positive integers / صرف positive integers,All real numbers / تمام حقیقی اعداد,All complex numbers except zero / zero کے علاوہ complex numbers,C | All real numbers / تمام حقیقی اعداد,Medium,1,PRO,1
q_10_math_ch4_011,1,4.1 Function,Understand,What is the range of f(x) = (x + 1)²?,درج ذیل function کی range کیا ہے: f(x) = (x + 1)²,All non-negative real numbers / تمام non-negative real numbers,All real numbers / تمام حقیقی اعداد,All negative real numbers / تمام negative real numbers,Only integers / صرف integers,A | All non-negative real numbers / تمام non-negative real numbers,Medium,1,PRO,1
TOPIC_SEP,1,4.1.1 Operations on Functions,Topic,,,,,,,,,,,1
q_10_math_ch4_012,1,4.1.1 Operations on Functions,Remember,Which formula defines the sum of two functions?,two functions کے sum کا formula کون سا ہے؟,(f + g)(x) = f(x)g(x),(f + g)(x) = f(x) − g(x),(f + g)(x) = f(x) + g(x),(f + g)(x) = f(g(x)),C | (f + g)(x) = f(x) + g(x),Medium,1,ULTRA,1
q_10_math_ch4_013,1,4.1.1 Operations on Functions,Apply,"If f(x) = 2x + 3 and g(x) = x² + x + 1, find (f + g)(x).","درج ذیل functions کے لیے (f + g)(x) معلوم کریں: f(x) = 2x + 3, g(x) = x² + x + 1",x² + x + 4,2x³ + 5x + 3,x² + 3x + 4,x² − x − 2,C | x² + 3x + 4,Medium,1,PRO,1
q_10_math_ch4_014,1,4.1.1 Operations on Functions,Remember,Which formula defines the difference of two functions?,two functions کے difference کا formula کون سا ہے؟,(f − g)(x) = g(x) − f(x),(f − g)(x) = f(x)g(x),(f − g)(x) = f(x) − g(x),(f − g)(x) = f(g(x)),C | (f − g)(x) = f(x) − g(x),Easy,1,ULTRA,1
q_10_math_ch4_015,1,4.1.1 Operations on Functions,Apply,"If f(x) = 5x + 2 and g(x) = x² − 3, find (f − g)(x).","درج ذیل functions کے لیے (f − g)(x) معلوم کریں: f(x) = 5x + 2, g(x) = x² − 3",x² + 5x − 1,−x² + 5x + 5,−x² + 5x − 1,x² − 5x + 5,B | −x² + 5x + 5,Medium,1,PRO,1
q_10_math_ch4_016,1,4.1.1 Operations on Functions,Remember,Which formula defines the product of two functions?,two functions کے product کا formula کون سا ہے؟,(fg)(x) = f(x)g(x),(fg)(x) = f(x) + g(x),(fg)(x) = f(x)/g(x),(fg)(x) = f(g(x)),A | (fg)(x) = f(x)g(x),Easy,1,ULTRA,1
q_10_math_ch4_017,1,4.1.1 Operations on Functions,Apply,"If f(x) = x + 1 and g(x) = 2x − 3, find (fg)(x).","درج ذیل functions کے لیے (fg)(x) معلوم کریں: f(x) = x + 1, g(x) = 2x − 3",2x² + 5x − 3,2x² − 3,3x − 2,2x² − x − 3,D | 2x² − x − 3,Medium,1,PRO,1
q_10_math_ch4_018,1,4.1.1 Operations on Functions,Understand,"For division of functions, which condition is required?",functions کی division کے لیے کون سی condition ضروری ہے؟,g(x) ≠ 0,f(x) = 0,g(x) = 0,f(x) = g(x),A | g(x) ≠ 0,Easy,1,PRO,1
q_10_math_ch4_019,1,4.1.1 Operations on Functions,Analyze,"Simplify f(x)/g(x) for f(x) = x² − 4 and g(x) = x + 2, where x ≠ −2.","درج ذیل quotient کو simplify کریں: f(x) = x² − 4, g(x) = x + 2, x ≠ −2",x + 2,x² − 2,x − 2,1/(x − 2),C | x − 2,Hard,1,PRO,1
TOPIC_SEP,1,4.1.2 Composition of Functions,Topic,,,,,,,,,,,1
q_10_math_ch4_020,1,4.1.2 Composition of Functions,Remember,Which expression defines (g ∘ f)(x)?,درج ذیل composition کی definition کون سی ہے: (g ∘ f)(x),g(f(x)),f(g(x)),f(x) + g(x),f(x)g(x),A | g(f(x)),Easy,1,ULTRA,1
q_10_math_ch4_021,1,4.1.2 Composition of Functions,Understand,"In general, composition of functions is:",عمومی طور پر functions کی composition کیسی ہے؟,Not commutative / commutative نہیں,Always commutative / ہمیشہ commutative,The same as addition / addition کے برابر,Undefined for polynomials / polynomials کے لیے undefined,A | Not commutative / commutative نہیں,Medium,1,PRO,1
q_10_math_ch4_022,1,4.1.2 Composition of Functions,Apply,"If f(x) = 2x + 3 and g(x) = x², find (f ∘ g)(x).","درج ذیل functions کے لیے (f ∘ g)(x) معلوم کریں: f(x) = 2x + 3, g(x) = x²",(2x + 3)²,4x + 9,2x² + 3,x⁴,C | 2x² + 3,Medium,1,PRO,1
q_10_math_ch4_023,1,4.1.2 Composition of Functions,Analyze,"If f(x) = 2x + 3 and g(x) = x², find (g ∘ f)(x).","درج ذیل functions کے لیے (g ∘ f)(x) معلوم کریں: f(x) = 2x + 3, g(x) = x²",2x² + 3,4x² + 12x + 9,4x + 9,x⁴,B | 4x² + 12x + 9,Hard,1,PRO,1
q_10_math_ch4_024,1,4.1.2 Composition of Functions,Analyze,"If f(x) = 2x + 3, find (f ∘ f)(x).",درج ذیل function کے لیے (f ∘ f)(x) معلوم کریں: f(x) = 2x + 3,4x² + 12x + 9,2x² + 3,4x + 9,x⁴,C | 4x + 9,Hard,1,PRO,1
q_10_math_ch4_025,1,4.1.2 Composition of Functions,Apply,"If g(x) = x², find (g ∘ g)(x).",درج ذیل function کے لیے (g ∘ g)(x) معلوم کریں: g(x) = x²,2x²,x⁴,x² + x²,4x,B | x⁴,Medium,1,PRO,1
TOPIC_SEP,1,4.1.3 Inverse Function and Tests,Topic,,,,,,,,,,,1
q_10_math_ch4_026,1,4.1.3 Inverse Function and Tests,Remember,A function is one-to-one when each output has:,function one-to-one کب ہوتی ہے؟,At most one input / زیادہ سے زیادہ one input,At least two inputs / کم از کم two inputs,Every input twice / ہر input دو بار,No input / کوئی input نہیں,A | At most one input / زیادہ سے زیادہ one input,Easy,1,ULTRA,1
q_10_math_ch4_027,1,4.1.3 Inverse Function and Tests,Remember,A function is onto when every element of the co-domain has:,function onto کب ہوتی ہے؟,At least one pre-image in the domain / domain میں کم از کم one pre-image,Exactly two pre-images / exactly two pre-images,No pre-image / کوئی pre-image نہیں,Only a negative pre-image / صرف negative pre-image,A | At least one pre-image in the domain / domain میں کم از کم one pre-image,Easy,1,ULTRA,1
q_10_math_ch4_028,1,4.1.3 Inverse Function and Tests,Remember,A function that is both one-to-one and onto is called:,one-to-one اور onto دونوں function کیا کہلاتی ہے؟,Constant / constant,Bijective / bijective,Absolute-valued / absolute-valued,Many-to-one / many-to-one,B | Bijective / bijective,Easy,1,PRO,1
q_10_math_ch4_029,1,4.1.3 Inverse Function and Tests,Understand,A function has an inverse if and only if it is:,function کا inverse کب exist کرتا ہے؟,Constant / constant,Many-to-one only / صرف many-to-one,Neither one-to-one nor onto / نہ one-to-one نہ onto,Bijective / bijective,D | Bijective / bijective,Medium,1,PRO,1
q_10_math_ch4_030,1,4.1.3 Inverse Function and Tests,Remember,The domain of f⁻¹ equals the:,f⁻¹ کا domain کس کے برابر ہوتا ہے؟,Domain of f / f کا domain,Range of f / f کی range,Co-domain of f only / صرف f کا co-domain,Vertex of f / f کا vertex,B | Range of f / f کی range,Easy,1,ULTRA,1
q_10_math_ch4_031,1,4.1.3 Inverse Function and Tests,Remember,The range of f⁻¹ equals the:,f⁻¹ کی range کس کے برابر ہوتی ہے؟,Range of f / f کی range,Graph of f / f کا graph,Co-domain of f only / صرف f کا co-domain,Domain of f / f کا domain,D | Domain of f / f کا domain,Easy,1,ULTRA,1
q_10_math_ch4_032,1,4.1.3 Inverse Function and Tests,Understand,A graph represents a function if every vertical line intersects it at:,vertical line test کے مطابق graph function کب ہوتا ہے؟,At most one point / زیادہ سے زیادہ one point,Exactly two points / exactly two points,At least three points / کم از کم three points,No point only / صرف no point,A | At most one point / زیادہ سے زیادہ one point,Medium,1,PRO,1
q_10_math_ch4_033,1,4.1.3 Inverse Function and Tests,Understand,A function is one-to-one if every horizontal line intersects its graph at:,horizontal line test کے مطابق function one-to-one کب ہوتی ہے؟,Exactly two points / exactly two points,At least three points / کم از کم three points,Every point / ہر point,At most one point / زیادہ سے زیادہ one point,D | At most one point / زیادہ سے زیادہ one point,Medium,1,PRO,1
q_10_math_ch4_034,1,4.1.3 Inverse Function and Tests,Analyze,Find the inverse of f(x) = 2x + 3.,درج ذیل function کا inverse معلوم کریں: f(x) = 2x + 3,f⁻¹(x) = (x + 3)/2,f⁻¹(x) = 2x − 3,f⁻¹(x) = (x − 3)/2,f⁻¹(x) = 1/(2x + 3),C | f⁻¹(x) = (x − 3)/2,Hard,1,PRO,1
q_10_math_ch4_035,1,4.1.3 Inverse Function and Tests,Analyze,Find the inverse of f(x) = x³.,درج ذیل function کا inverse معلوم کریں: f(x) = x³,f⁻¹(x) = x²,f⁻¹(x) = ∛x,f⁻¹(x) = 1/x³,f⁻¹(x) = √x,B | f⁻¹(x) = ∛x,Hard,1,PRO,1
TOPIC_SEP,1,4.2 Graphs of Absolute Valued Functions,Topic,,,,,,,,,,,1
