question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,2.1 Introduction to Post-Troubleshooting,Topic,,,,,,,,,,,1
q_10_cs_ch2_001,1,2.1 Introduction to Post-Troubleshooting,Remember,Post-troubleshooting maintenance is performed:,پوسٹ ٹربل شوٹنگ مینٹیننس کب کی جاتی ہے؟,After a computer problem has been resolved / کمپیوٹر کا مسئلہ حل ہونے کے بعد,Before the computer is assembled / کمپیوٹر اسمبل ہونے سے پہلے,Only while installing an operating system / صرف آپریٹنگ سسٹم انسٹال کرتے وقت,Only when the monitor is replaced / صرف مانیٹر تبدیل کرتے وقت,A | After a computer problem has been resolved / کمپیوٹر کا مسئلہ حل ہونے کے بعد,Easy,1,ULTRA,1
TOPIC_SEP,1,2.1.1 Importance of Continuous Maintenance,Topic,,,,,,,,,,,1
q_10_cs_ch2_002,1,2.1.1 Importance of Continuous Maintenance,Understand,What is the main purpose of continuous computer maintenance?,مسلسل کمپیوٹر مینٹیننس کا بنیادی مقصد کیا ہے؟,Increase the number of temporary files / عارضی فائلوں کی تعداد بڑھانا,Disable all system updates / تمام سسٹم اپ ڈیٹس بند کرنا,Remove all user accounts / تمام صارف اکاؤنٹس ختم کرنا,"Keep the system stable, secure, efficient, and reliable / سسٹم کو مستحکم، محفوظ، مؤثر اور قابلِ اعتماد رکھنا","D | Keep the system stable, secure, efficient, and reliable / سسٹم کو مستحکم، محفوظ، مؤثر اور قابلِ اعتماد رکھنا",Medium,1,PRO,1
TOPIC_SEP,1,2.1.2 Impact of Poor Maintenance,Topic,,,,,,,,,,,1
q_10_cs_ch2_003,1,2.1.2 Impact of Poor Maintenance,Remember,Which problem can result from temporary files and unused programs building up over time?,عارضی فائلوں اور غیر استعمال شدہ پروگراموں کے جمع ہونے سے کون سا مسئلہ پیدا ہو سکتا ہے؟,Improved boot speed / بہتر بوٹ رفتار,Increased storage capacity / اسٹوریج کی گنجائش میں اضافہ,Slow performance / سست کارکردگی,Automatic data recovery / خودکار ڈیٹا ریکوری,C | Slow performance / سست کارکردگی,Easy,1,ULTRA,1
q_10_cs_ch2_004,1,2.1.2 Impact of Poor Maintenance,Remember,Failure to install important system updates may cause:,اہم سسٹم اپ ڈیٹس انسٹال نہ کرنے سے کیا ہو سکتا ہے؟,Permanent battery improvement / بیٹری میں مستقل بہتری,Automatic file backup / خودکار فائل بیک اپ,System failures / سسٹم کی خرابیاں,More available RAM / زیادہ دستیاب RAM,C | System failures / سسٹم کی خرابیاں,Easy,1,ULTRA,1
q_10_cs_ch2_005,1,2.1.2 Impact of Poor Maintenance,Remember,Outdated system software mainly increases:,پرانا سسٹم سافٹ ویئر بنیادی طور پر کس خطرے میں اضافہ کرتا ہے؟,Screen resolution / اسکرین ریزولوشن,Printer speed / پرنٹر کی رفتار,Hard-drive capacity / ہارڈ ڈرائیو کی گنجائش,Security risks / سیکیورٹی خطرات,D | Security risks / سیکیورٹی خطرات,Easy,1,ULTRA,1
q_10_cs_ch2_006,1,2.1.2 Impact of Poor Maintenance,Understand,Why can the absence of backups lead to data loss?,بیک اپ نہ ہونے سے ڈیٹا ضائع کیوں ہو سکتا ہے؟,The system automatically doubles every file / سسٹم ہر فائل کو خودکار طور پر دوگنا کر دیتا ہے,Windows Defender deletes all documents / ونڈوز ڈیفینڈر تمام دستاویزات حذف کر دیتا ہے,Files cannot be restored after a crash or hardware failure / کریش یا ہارڈویئر خرابی کے بعد فائلیں بحال نہیں کی جا سکتیں,BIOS converts files into temporary data / BIOS فائلوں کو عارضی ڈیٹا میں بدل دیتا ہے,C | Files cannot be restored after a crash or hardware failure / کریش یا ہارڈویئر خرابی کے بعد فائلیں بحال نہیں کی جا سکتیں,Medium,1,ULTRA,1
q_10_cs_ch2_007,1,2.1.2 Impact of Poor Maintenance,Understand,How can dust and overheating affect a computer?,گردوغبار اور زیادہ حرارت کمپیوٹر کو کیسے متاثر کر سکتے ہیں؟,They can damage hardware components / یہ ہارڈویئر اجزاء کو نقصان پہنچا سکتے ہیں,They increase internet bandwidth / یہ انٹرنیٹ بینڈوڈتھ بڑھاتے ہیں,They create restore points / یہ ریسٹور پوائنٹس بناتے ہیں,They improve file recovery / یہ فائل ریکوری بہتر کرتے ہیں,A | They can damage hardware components / یہ ہارڈویئر اجزاء کو نقصان پہنچا سکتے ہیں,Medium,1,ULTRA,1
TOPIC_SEP,1,2.1.3 Introduction to System Health Monitoring,Topic,,,,,,,,,,,1
q_10_cs_ch2_008,1,2.1.3 Introduction to System Health Monitoring,Understand,Which activity is part of system health monitoring?,کون سی سرگرمی سسٹم ہیلتھ مانیٹرنگ کا حصہ ہے؟,Creating new hardware components / نئے ہارڈویئر اجزاء بنانا,Deleting every system log / ہر سسٹم لاگ حذف کرنا,Changing GPT into RAM / GPT کو RAM میں بدلنا,"Checking memory, CPU, applications, services, warnings, and errors / میموری، CPU، ایپلی کیشنز، سروسز، وارننگز اور ایررز کی جانچ","D | Checking memory, CPU, applications, services, warnings, and errors / میموری، CPU، ایپلی کیشنز، سروسز، وارننگز اور ایررز کی جانچ",Medium,1,PRO,1
q_10_cs_ch2_009,1,2.1.3 Introduction to System Health Monitoring,Analyze,"A computer becomes slow every few days, but no obvious failure appears. Which action best follows the chapter's maintenance approach?",کمپیوٹر ہر چند دن بعد سست ہو جاتا ہے مگر کوئی واضح خرابی نظر نہیں آتی۔ باب میں دیے گئے مینٹیننس طریقے کے مطابق بہترین اقدام کیا ہے؟,Wait until the computer completely stops working / کمپیوٹر کے مکمل بند ہونے تک انتظار کرنا,Format every storage drive immediately / ہر اسٹوریج ڈرائیو فوراً فارمیٹ کرنا,Disable all security tools permanently / تمام سیکیورٹی ٹولز مستقل طور پر بند کرنا,Monitor system resources regularly to identify processes causing the slowdown / سسٹم وسائل کی باقاعدہ نگرانی کر کے سست روی پیدا کرنے والے پراسیسز کی شناخت کرنا,D | Monitor system resources regularly to identify processes causing the slowdown / سسٹم وسائل کی باقاعدہ نگرانی کر کے سست روی پیدا کرنے والے پراسیسز کی شناخت کرنا,Hard,1,ELITE,1
TOPIC_SEP,1,2.2 Using Built-in Diagnostic Tools,Topic,,,,,,,,,,,1
q_10_cs_ch2_010,1,2.2 Using Built-in Diagnostic Tools,Understand,Which three built-in Windows diagnostic tools are introduced in the chapter?,باب میں ونڈوز کے کون سے تین بلٹ اِن ڈائگناسٹک ٹولز متعارف کرائے گئے ہیں؟,"Disk Cleanup, Rufus, and Tenorshare / ڈسک کلین اپ، روفس اور ٹینورشیر","Task Manager, Resource Monitor, and Event Viewer / ٹاسک مینیجر، ریسورس مانیٹر اور ایونٹ ویور","BIOS, GPT, and MBR / BIOS، GPT اور MBR","Safe Mode, Recycle Bin, and File History / سیف موڈ، ریسائیکل بن اور فائل ہسٹری","B | Task Manager, Resource Monitor, and Event Viewer / ٹاسک مینیجر، ریسورس مانیٹر اور ایونٹ ویور",Medium,1,ULTRA,1
TOPIC_SEP,1,2.2.1 Task Manager,Topic,,,,,,,,,,,1
q_10_cs_ch2_011,1,2.2.1 Task Manager,Remember,Task Manager is mainly used to:,ٹاسک مینیجر بنیادی طور پر کس لیے استعمال ہوتا ہے؟,Clean up disks / ڈسک صاف کرنا,Monitor running applications and system performance / چلتی ایپلی کیشنز اور سسٹم کارکردگی کی نگرانی,Scan only for viruses / صرف وائرس اسکین کرنا,Manage file names / فائل نام منظم کرنا,B | Monitor running applications and system performance / چلتی ایپلی کیشنز اور سسٹم کارکردگی کی نگرانی,Easy,1,PRO,1
q_10_cs_ch2_012,1,2.2.1 Task Manager,Remember,Which keyboard shortcut opens Task Manager directly?,ٹاسک مینیجر براہِ راست کھولنے کے لیے کون سا کی بورڈ شارٹ کٹ استعمال ہوتا ہے؟,Windows + R / Windows + R,Ctrl + Alt + F4 / Ctrl + Alt + F4,Ctrl + Shift + Esc / Ctrl + Shift + Esc,Shift + Delete / Shift + Delete,C | Ctrl + Shift + Esc / Ctrl + Shift + Esc,Easy,1,ULTRA,1
