question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,3.4 Exercise-Derived Concepts,Topic,,,,,,,,,,,1
q_10_cs_ch3_001,1,3.4 Exercise-Derived Concepts,Understand,Which of the following steps is NOT part of the basic programming process?,مندرجہ ذیل میں سے کون سا مرحلہ بنیادی پروگرامنگ عمل کا حصہ نہیں ہے؟,Ignore errors / ایررز کو نظر انداز کرنا,Write code / کوڈ لکھنا,Compile or interpret / کمپائل یا انٹرپریٹ کرنا,Execute / عمل درآمد کرنا,A | Ignore errors / ایررز کو نظر انداز کرنا,Medium,1,PRO,1
q_10_cs_ch3_002,1,3.4 Exercise-Derived Concepts,Apply,What should be selected during Python installation to make it easier to run Python from the command line?,کمانڈ لائن سے Python آسانی سے چلانے کے لیے انسٹالیشن کے دوران کیا منتخب کرنا چاہیے؟,Install only the IDE / صرف IDE انسٹال کرنا,Uncheck Python from PATH / Python کو PATH سے ہٹانا,Choose a different IDE / مختلف IDE منتخب کرنا,Add Python to PATH / Add Python to PATH,D | Add Python to PATH / Add Python to PATH,Medium,1,PRO,1
q_10_cs_ch3_003,1,3.4 Exercise-Derived Concepts,Apply,What is the output of the following expression: 10 // 3?,درج ذیل ایکسپریشن کا آؤٹ پٹ معلوم کریں: 10 // 3,3.333 / 3.333,4 / 4,1 / 1,3 / 3,D | 3 / 3,Medium,1,PRO,1
q_10_cs_ch3_004,1,3.4 Exercise-Derived Concepts,Remember,What data type does the input() function return?,input() فنکشن کس ڈیٹا ٹائپ میں ویلیو واپس کرتا ہے؟,Integer / انٹیجر,Float / فلوٹ,String / سٹرنگ,Boolean / بولین,C | String / سٹرنگ,Easy,1,PRO,1
q_10_cs_ch3_005,1,3.4 Exercise-Derived Concepts,Remember,Which operator has the highest precedence in Python among the listed operators?,درج شدہ آپریٹرز میں Python میں سب سے زیادہ ترجیح کس آپریٹر کی ہے؟,Addition (+) / جمع (+),Multiplication (*) / ضرب (*),Exponentiation (**) / ایکسپونینشی ایشن (**),Subtraction (-) / تفریق (-),C | Exponentiation (**) / ایکسپونینشی ایشن (**),Easy,1,PRO,1
q_10_cs_ch3_006,1,3.4 Exercise-Derived Concepts,Analyze,What is the result of the expression: 5 > 3 and 2 < 1?,درج ذیل ایکسپریشن کا نتیجہ معلوم کریں: 5 > 3 and 2 < 1,True / True,False / False,Error / Error,None / None,B | False / False,Hard,1,PRO,1
q_10_cs_ch3_007,1,3.4 Exercise-Derived Concepts,Understand,What does the += operator do?,+= آپریٹر کیا کرتا ہے؟,Adds two numbers without assignment / دو نمبرز جمع کرتا ہے مگر اسائن نہیں کرتا,Compares two values / دو ویلیوز کا موازنہ کرتا ہے,Adds a value and assigns the result / ویلیو جمع کر کے نتیجہ اسی ویری ایبل کو اسائن کرتا ہے,Multiplies values / ویلیوز کو ضرب دیتا ہے,C | Adds a value and assigns the result / ویلیو جمع کر کے نتیجہ اسی ویری ایبل کو اسائن کرتا ہے,Medium,1,PRO,1
q_10_cs_ch3_008,1,3.4 Exercise-Derived Concepts,Remember,Which function converts a string to an integer?,کون سا فنکشن سٹرنگ کو انٹیجر میں تبدیل کرتا ہے؟,str() / str(),int() / int(),float() / float(),input() / input(),B | int() / int(),Easy,1,PRO,1
q_10_cs_ch3_009,1,3.4 Exercise-Derived Concepts,Apply,"What is displayed by the following code: age = 25; print(""Age:"", age)?","درج ذیل کوڈ کا آؤٹ پٹ کیا ہوگا: age = 25; print(""Age:"", age)",25 / 25,Age / Age,Age: 25 / Age: 25,age / age,C | Age: 25 / Age: 25,Medium,1,PRO,1
q_10_cs_ch3_010,1,3.4 Exercise-Derived Concepts,Remember,Which symbol is used for a single-line comment in Python?,Python میں سنگل لائن کمنٹ کے لیے کون سی علامت استعمال ہوتی ہے؟,// / //,/* / /*,@ / @,# / #,D | # / #,Easy,1,PRO,1
TOPIC_SEP,1,3.1 Introduction to Python Programming,Topic,,,,,,,,,,,1
q_10_cs_ch3_011,1,3.1 Introduction to Python Programming,Remember,Python is described as which type of programming language?,Python کو کس قسم کی پروگرامنگ لینگویج قرار دیا گیا ہے؟,Machine language / مشین لینگویج,Assembly language / اسمبلی لینگویج,High-level programming language / ہائی لیول پروگرامنگ لینگویج,Markup language / مارک اپ لینگویج,C | High-level programming language / ہائی لیول پروگرامنگ لینگویج,Easy,1,ULTRA,1
q_10_cs_ch3_012,1,3.1 Introduction to Python Programming,Understand,Why is Python considered suitable for both beginners and professionals?,Python کو مبتدی اور پیشہ ور دونوں کے لیے موزوں کیوں سمجھا جاتا ہے؟,"It is simple, readable, and versatile / یہ سادہ، قابلِ مطالعہ اور ہمہ گیر ہے",It uses only binary instructions / یہ صرف بائنری ہدایات استعمال کرتی ہے,It cannot be used for large software / اسے بڑے سافٹ ویئر کے لیے استعمال نہیں کیا جا سکتا,It requires no programming concepts / اس میں پروگرامنگ تصورات کی ضرورت نہیں ہوتی,"A | It is simple, readable, and versatile / یہ سادہ، قابلِ مطالعہ اور ہمہ گیر ہے",Medium,1,ULTRA,1
q_10_cs_ch3_013,1,3.1 Introduction to Python Programming,Remember,Which combination lists applications of Python mentioned in the chapter?,کون سا مجموعہ باب میں بیان کردہ Python کے استعمالات پر مشتمل ہے؟,"Disk formatting, BIOS repair, and file recovery / ڈسک فارمیٹنگ، BIOS مرمت اور فائل ریکوری","Web development, data analysis, and Artificial Intelligence / ویب ڈویلپمنٹ، ڈیٹا اینالیسس اور مصنوعی ذہانت","Word processing, printing, and scanning only / صرف ورڈ پروسیسنگ، پرنٹنگ اور اسکیننگ","Hardware assembly, cabling, and soldering / ہارڈویئر اسمبلنگ، کیبلنگ اور سولڈرنگ","B | Web development, data analysis, and Artificial Intelligence / ویب ڈویلپمنٹ، ڈیٹا اینالیسس اور مصنوعی ذہانت",Easy,1,ELITE,1
TOPIC_SEP,1,3.1.1 Basic Programming Concepts,Topic,,,,,,,,,,,1
q_10_cs_ch3_014,1,3.1.1 Basic Programming Concepts,Remember,Computer programming is the process of:,کمپیوٹر پروگرامنگ کس عمل کو کہتے ہیں؟,Creating hardware components / ہارڈویئر اجزاء بنانا,Deleting every program / ہر پروگرام حذف کرنا,Changing an IDE into an operating system / IDE کو آپریٹنگ سسٹم میں بدلنا,Creating instructions that tell a computer how to perform a task / ایسی ہدایات بنانا جو کمپیوٹر کو کام انجام دینے کا طریقہ بتائیں,D | Creating instructions that tell a computer how to perform a task / ایسی ہدایات بنانا جو کمپیوٹر کو کام انجام دینے کا طریقہ بتائیں,Easy,1,ULTRA,1
q_10_cs_ch3_015,1,3.1.1 Basic Programming Concepts,Understand,Why must programming instructions be clear and precise?,پروگرامنگ ہدایات کا واضح اور درست ہونا کیوں ضروری ہے؟,The computer automatically corrects every vague instruction / کمپیوٹر ہر مبہم ہدایت خود درست کر دیتا ہے,The computer follows the instructions exactly as written / کمپیوٹر ہدایات کو عین اسی طرح انجام دیتا ہے جیسے وہ لکھی گئی ہوں,Programs run without any instructions / پروگرام بغیر ہدایات کے چلتے ہیں,An IDE ignores the written code / IDE لکھے ہوئے کوڈ کو نظر انداز کرتا ہے,B | The computer follows the instructions exactly as written / کمپیوٹر ہدایات کو عین اسی طرح انجام دیتا ہے جیسے وہ لکھی گئی ہوں,Medium,1,ULTRA,1
TOPIC_SEP,1,3.1.2 Setting Up the Python Development Environment,Topic,,,,,,,,,,,1
