question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,7.1 Introduction to Artificial Intelligence (AI),topic_separator,,,,,,1
q_10_cs_ch7_sq_001,1,7.1 Introduction to Artificial Intelligence (AI),definition_function,Define Artificial Intelligence (AI) and state any two capabilities that enable machines to perform human-like tasks.,Artificial Intelligence (AI) کی تعریف کریں اور کوئی دو capabilities بیان کریں جو machines کو human-like tasks perform کرنے کے قابل بناتی ہیں۔,Easy,2,PRO,1
q_10_cs_ch7_sq_002,1,7.1 Introduction to Artificial Intelligence (AI),concept_explanation,Explain how AI systems learn from data and make smart decisions without being given fixed step-by-step instructions for every task.,وضاحت کریں کہ AI systems ہر task کے لیے fixed step-by-step instructions دیے بغیر data سے کیسے سیکھتے اور smart decisions کیسے کرتے ہیں۔,Medium,2,ULTRA,1
q_10_cs_ch7_sq_003,1,7.1 Introduction to Artificial Intelligence (AI),list_state,State any three real-world applications of AI and mention the service provided by each application.,AI کی کوئی تین real-world applications بیان کریں اور ہر application کے ذریعے فراہم کی جانے والی service لکھیں۔,Easy,2,PRO,1
TOPIC_SEP,1,7.1.1 Impact of AI on Jobs and Work,topic_separator,,,,,,1
q_10_cs_ch7_sq_004,1,7.1.1 Impact of AI on Jobs and Work,cause_effect,Explain how AI can replace some repetitive jobs while creating new employment opportunities.,وضاحت کریں کہ AI بعض repetitive jobs کو replace کرتے ہوئے نئی employment opportunities کیسے پیدا کر سکتی ہے۔,Medium,2,PRO,1
q_10_cs_ch7_sq_005,1,7.1.1 Impact of AI on Jobs and Work,list_state,State two types of work that robots or machines may perform and name two new AI-related job roles mentioned in the chapter.,کام کی دو types بیان کریں جو robots یا machines انجام دے سکتے ہیں، اور chapter میں بیان کردہ AI سے متعلق دو نئی job roles کے نام لکھیں۔,Easy,2,ULTRA,1
q_10_cs_ch7_sq_006,1,7.1.1 Impact of AI on Jobs and Work,explain_reason,"Explain why human experts are still required even when AI systems perform factory, healthcare, or office tasks.",وضاحت کریں کہ factory، healthcare یا office tasks میں AI systems کے استعمال کے باوجود human experts کی ضرورت کیوں برقرار رہتی ہے۔,Hard,2,ELITE,1
TOPIC_SEP,1,7.2 Data and AI,topic_separator,,,,,,1
q_10_cs_ch7_sq_007,1,7.2 Data and AI,explain_reason,Explain the importance of data in AI and state why both large and correct data are required for reliable results.,AI میں data کی اہمیت کی وضاحت کریں اور بیان کریں کہ reliable results کے لیے large اور correct data دونوں کیوں ضروری ہیں۔,Medium,2,PRO,1
q_10_cs_ch7_sq_008,1,7.2 Data and AI,features_characteristics,State any three ways in which a large amount of data helps an AI system learn and improve.,کوئی تین طریقے بیان کریں جن سے large amount of data، AI system کو سیکھنے اور improve ہونے میں مدد دیتا ہے۔,Easy,2,ULTRA,1
q_10_cs_ch7_sq_009,1,7.2 Data and AI,cause_effect,Explain how poor-quality data can cause an AI system to give wrong answers or make unfair decisions.,وضاحت کریں کہ poor-quality data، AI system سے wrong answers یا unfair decisions کیسے کروا سکتا ہے۔,Hard,2,PRO,1
TOPIC_SEP,1,7.2.1 Automatic Data Collection,topic_separator,,,,,,1
