question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_cs_ch2_001,1,2.1 Introduction to Post-Troubleshooting,Topic,topic_separator,,,,,,1
q_10_cs_ch2_lq_001,1,2.1 Introduction to Post-Troubleshooting,Long,cause_effect,"Explain post-troubleshooting and continuous maintenance. Discuss how regular maintenance improves system performance, reliability, security, and hardware life, and describe the major effects of poor maintenance.",پوسٹ ٹربل شوٹنگ اور مسلسل دیکھ بھال کی وضاحت کریں۔ بحث کریں کہ باقاعدہ دیکھ بھال سسٹم کی کارکردگی، قابلِ اعتماد ہونے، سکیورٹی اور ہارڈویئر کی عمر کو کس طرح بہتر بناتی ہے، اور ناقص دیکھ بھال کے اہم اثرات بیان کریں۔,Medium,5,ULTRA,1
q_10_cs_ch2_lq_002,1,2.1.3 Introduction to System Health Monitoring,Long,explain,"Explain the importance of system health monitoring. Describe how monitoring memory, processing power, applications, services, warnings, and error messages helps prevent serious computer problems.",سسٹم ہیلتھ مانیٹرنگ کی اہمیت کی وضاحت کریں۔ بیان کریں کہ میموری، پروسیسنگ پاور، ایپلی کیشنز، سروسز، وارننگز اور ایرر پیغامات کی نگرانی سنگین کمپیوٹر مسائل کو روکنے میں کس طرح مدد دیتی ہے۔,Easy,5,ELITE,1
sep_10_cs_ch2_002,1,2.2 Using Built-in Diagnostic Tools,Topic,topic_separator,,,,,,1
q_10_cs_ch2_lq_003,1,2.2.1 and 2.2.3 Task Manager and Event Viewer,Long,compare,Explain the roles of Task Manager and Event Viewer in system maintenance. Describe the information provided by each tool and give one practical situation in which each tool can help solve a computer problem.,سسٹم کی دیکھ بھال میں Task Manager اور Event Viewer کے کردار کی وضاحت کریں۔ ہر ٹول کے فراہم کردہ ڈیٹا کو بیان کریں اور ایک ایک عملی صورتِ حال لکھیں جس میں یہ ٹول کمپیوٹر مسئلہ حل کرنے میں مدد دے سکتا ہے۔,Medium,5,PRO,1
q_10_cs_ch2_lq_004,1,2.2.2 Resource Monitor,Long,describe,"Describe Resource Monitor and explain how its CPU, Memory, Disk, and Network tabs are used to identify applications or services that consume excessive system resources.",Resource Monitor کو بیان کریں اور وضاحت کریں کہ اس کے CPU، Memory، Disk اور Network ٹیبز کو ایسے پروگراموں یا سروسز کی نشاندہی کے لیے کس طرح استعمال کیا جاتا ہے جو ضرورت سے زیادہ سسٹم وسائل استعمال کرتے ہیں۔,Medium,5,ULTRA,1
sep_10_cs_ch2_003,1,2.3 System Recovery Options,Topic,topic_separator,,,,,,1
q_10_cs_ch2_lq_005,1,2.3.1 Safe Mode,Long,compare,"Explain Safe Mode and Safe Mode with Networking. Compare their features, describe how they are opened, and discuss the situations in which each mode is useful.",Safe Mode اور Safe Mode with Networking کی وضاحت کریں۔ ان کی خصوصیات کا موازنہ کریں، انہیں کھولنے کا طریقہ بیان کریں اور ان حالات پر بحث کریں جن میں ہر موڈ مفید ہوتا ہے۔,Medium,5,ULTRA,1
q_10_cs_ch2_lq_006,1,2.3.2 System Restore,Long,process_procedure,Explain System Restore and restore points. Describe the steps for creating a restore point and restoring the computer to an earlier working state without deleting personal files.,System Restore اور restore points کی وضاحت کریں۔ restore point بنانے اور ذاتی فائلیں حذف کیے بغیر کمپیوٹر کو پہلے کی درست حالت میں واپس لانے کے مراحل بیان کریں۔,Medium,5,ULTRA,1
q_10_cs_ch2_lq_007,1,2.3.2–2.3.3 System Restore and Bootable Recovery Media,Long,application_case,A computer is not starting properly because of a system issue. Describe how System Restore or a bootable recovery USB can be used to repair the computer without deleting personal files.,ایک کمپیوٹر سسٹم کے مسئلے کی وجہ سے درست طور پر شروع نہیں ہو رہا۔ بیان کریں کہ ذاتی فائلیں حذف کیے بغیر کمپیوٹر کو درست کرنے کے لیے System Restore یا bootable recovery USB کس طرح استعمال کی جا سکتی ہے۔,Hard,5,PRO,1
q_10_cs_ch2_lq_008,1,2.3.3 Bootable Recovery Media,Long,process_procedure,Explain the purpose and uses of bootable recovery media. Describe the steps for creating a bootable USB with Rufus and explain why the correct GPT or MBR partition style must be selected.,Bootable recovery media کے مقصد اور استعمالات کی وضاحت کریں۔ Rufus کے ذریعے bootable USB بنانے کے مراحل بیان کریں اور واضح کریں کہ درست GPT یا MBR partition style کا انتخاب کیوں ضروری ہے۔,Hard,5,ULTRA,1
sep_10_cs_ch2_004,1,2.4 BIOS/UEFI and Boot Process Awareness,Topic,topic_separator,,,,,,1
q_10_cs_ch2_lq_009,1,2.4 BIOS/UEFI and Boot Process Awareness,Long,elaborate,"Explain the role of BIOS and UEFI in computer startup. Describe the Power-On Self-Test (POST), the method of accessing and resetting BIOS/UEFI settings, and the importance of boot order in starting or repairing a computer.",کمپیوٹر کے آغاز میں BIOS اور UEFI کے کردار کی وضاحت کریں۔ Power-On Self-Test (POST)، BIOS/UEFI سیٹنگز تک رسائی اور انہیں ڈیفالٹ پر واپس لانے کا طریقہ، اور کمپیوٹر کو شروع یا درست کرنے میں boot order کی اہمیت بیان کریں۔,Medium,5,PRO,1
sep_10_cs_ch2_005,1,2.5 Data Recovery Techniques,Topic,topic_separator,,,,,,1
q_10_cs_ch2_lq_010,1,2.5.1 Built-in Tools,Long,classification,"Explain the built-in Windows methods used to recover deleted files. Describe the working and use of Recycle Bin, File History, and Previous Versions.",حذف شدہ فائلوں کی بازیابی کے لیے استعمال ہونے والے Windows کے بلٹ اِن طریقوں کی وضاحت کریں۔ Recycle Bin، File History اور Previous Versions کے کام اور استعمال کو بیان کریں۔,Easy,5,ULTRA,1
q_10_cs_ch2_lq_011,1,2.5.2–2.5.3 Third-Party Recovery and Limitations,Long,process_procedure,Explain how deleted files can be recovered using third-party recovery software such as Tenorshare. Also discuss the conditions under which recovery may fail and the best practices that improve the chance of successful recovery.,Tenorshare جیسے تھرڈ پارٹی ریکوری سافٹ ویئر کے ذریعے حذف شدہ فائلوں کی بازیابی کا طریقہ بیان کریں۔ مزید بحث کریں کہ کن حالات میں ریکوری ناکام ہو سکتی ہے اور کون سی بہترین احتیاطیں کامیاب ریکوری کے امکانات بڑھاتی ہیں۔,Hard,5,PRO,1
sep_10_cs_ch2_006,1,2.6 Best Practices for Preventive Maintenance,Topic,topic_separator,,,,,,1
q_10_cs_ch2_lq_012,1,2.6 Best Practices for Preventive Maintenance,Long,describe,"Briefly explain any two preventive-maintenance techniques that help a computer run smoothly. Describe the purpose, procedure, and benefit of each selected technique.",کمپیوٹر کو بہتر طور پر چلانے میں مدد دینے والی کسی دو preventive-maintenance تکنیکوں کی مختصر وضاحت کریں۔ منتخب کردہ ہر تکنیک کا مقصد، طریقۂ کار اور فائدہ بیان کریں۔,Easy,5,PRO,1
q_10_cs_ch2_lq_013,1,2.6.1 Disk Cleanup,Long,application_case,"A large Windows update has left many unnecessary files and reduced the available disk space. Explain how Disk Cleanup can be used safely, including the option for removing system files.",ایک بڑی Windows اپ ڈیٹ کے بعد بہت سی غیر ضروری فائلیں باقی رہ گئی ہیں اور ڈسک کی دستیاب جگہ کم ہو گئی ہے۔ وضاحت کریں کہ system files کو حذف کرنے کے آپشن سمیت Disk Cleanup کو محفوظ طریقے سے کس طرح استعمال کیا جا سکتا ہے۔,Medium,5,PRO,1
q_10_cs_ch2_lq_014,1,2.6.2–2.6.3 Patch Management and Windows Defender,Long,advantages_limitations,"Explain patch management and the role of Windows Defender in preventive maintenance. Describe system and application updates, the update procedure, Quick Scan, Full Scan, and real-time protection.",Preventive maintenance میں patch management اور Windows Defender کے کردار کی وضاحت کریں۔ system updates، application updates، اپ ڈیٹ کرنے کے طریقے، Quick Scan، Full Scan اور real-time protection کو بیان کریں۔,Medium,5,ULTRA,1
