question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_cs_ch1_001,1,1.1 Introduction to Operating System (OS),Topic,topic_separator,,,,,,1
q_10_cs_ch1_lq_001,1,1.1 Introduction to Operating System (OS),Long,explain,Explain the role of an operating system as the central controller of a computer. Describe how it manages hardware resources and acts as an interface between the user and the hardware.,آپریٹنگ سسٹم کے کمپیوٹر کے مرکزی کنٹرولر کے طور پر کردار کی وضاحت کریں۔ بیان کریں کہ یہ ہارڈویئر وسائل کو کس طرح منظم کرتا ہے اور صارف اور ہارڈویئر کے درمیان رابطے کا ذریعہ کیسے بنتا ہے۔,Easy,5,ULTRA,1
q_10_cs_ch1_lq_002,1,1.1.3–1.1.4 Multi-User Responsibilities and User Accounts,Long,describe,"Describe the responsibilities of an operating system in a multi-user environment. Also explain how separate user accounts are created and managed to maintain privacy, security, and fair resource sharing.",ملٹی یوزر ماحول میں آپریٹنگ سسٹم کی ذمہ داریوں کو بیان کریں۔ مزید وضاحت کریں کہ رازداری، سکیورٹی اور وسائل کی منصفانہ تقسیم برقرار رکھنے کے لیے الگ صارف اکاؤنٹس کس طرح بنائے اور منظم کیے جاتے ہیں۔,Medium,5,ELITE,1
sep_10_cs_ch1_002,1,1.2 Architecture of an Operating System,Topic,topic_separator,,,,,,1
q_10_cs_ch1_lq_003,1,1.2 Architecture of an Operating System,Long,diagram_based,"Describe the architecture of an operating system. Explain the functions of the kernel and shell and discuss the lower, middle, and upper layers of the layered design with suitable examples and a labelled diagram.",آپریٹنگ سسٹم کی ساخت بیان کریں۔ کرنل اور شیل کے افعال کی وضاحت کریں اور تہہ دار ڈیزائن کی نچلی، درمیانی اور بالائی تہوں کو مناسب مثالوں اور لیبل شدہ خاکے کے ساتھ بیان کریں۔,Medium,5,PRO,1
q_10_cs_ch1_lq_004,1,1.2.3 System Libraries and Device Drivers,Long,compare,Differentiate between system libraries and device drivers. Explain the purpose of each component and describe how both help applications communicate with the operating system and hardware devices.,سسٹم لائبریریز اور ڈیوائس ڈرائیورز میں فرق بیان کریں۔ ہر جزو کا مقصد واضح کریں اور بتائیں کہ دونوں ایپلی کیشنز کو آپریٹنگ سسٹم اور ہارڈویئر ڈیوائسز کے ساتھ رابطہ کرنے میں کس طرح مدد دیتے ہیں۔,Medium,5,ELITE,1
sep_10_cs_ch1_003,1,1.3 Process Management in Operating System (OS),Topic,topic_separator,,,,,,1
q_10_cs_ch1_lq_005,1,1.3.1 Process Life Cycle,Long,process_procedure,"Explain the process life cycle in detail. Describe the creation, execution, and termination stages and illustrate each stage with a suitable program example.",پراسیس لائف سائیکل کی تفصیل سے وضاحت کریں۔ تخلیق، عمل درآمد اور اختتام کے مراحل بیان کریں اور ہر مرحلے کو کسی مناسب پروگرام کی مثال سے واضح کریں۔,Easy,5,PRO,1
q_10_cs_ch1_lq_006,1,"1.3.2–1.3.3 Multitasking, Concurrency, and FCFS Scheduling",Long,advantages_limitations,"Explain multitasking and concurrency in an operating system. Describe how First Come, First Served (FCFS) scheduling works and discuss its main advantages and disadvantages.","آپریٹنگ سسٹم میں ملٹی ٹاسکنگ اور کنکرنسی کی وضاحت کریں۔ بیان کریں کہ First Come, First Served (FCFS) شیڈولنگ کس طرح کام کرتی ہے اور اس کے اہم فوائد اور نقصانات پر بحث کریں۔",Medium,5,ULTRA,1
sep_10_cs_ch1_004,1,1.3.3 Process Scheduling Concepts — Solved Examples,Topic,topic_separator,,,,,,1
q_10_cs_ch1_lq_007,1,1.3.3 Process Scheduling Concepts — Solved Examples,Numerical,schedule,"Using FCFS scheduling, determine the execution order, start time, completion time, waiting time of each process, and average waiting time: P1 (AT=0 s, BT=5 s), P2 (AT=1 s, BT=3 s), P3 (AT=2 s, BT=2 s).","درج ذیل پراسیسز کے لیے FCFS شیڈولنگ کے مطابق execution order، start time، completion time، ہر پراسیس کا waiting time اور average waiting time معلوم کریں: P1 (AT=0 s, BT=5 s), P2 (AT=1 s, BT=3 s), P3 (AT=2 s, BT=2 s)",Medium,4,ULTRA,1
sep_10_cs_ch1_005,1,1.4 Memory,Topic,topic_separator,,,,,,1
q_10_cs_ch1_lq_008,1,1.4 Memory,Long,compare,"Differentiate between RAM and virtual memory in terms of location, speed, purpose, and performance. Also explain how multithreading improves the performance and responsiveness of applications.",RAM اور ورچوئل میموری میں مقام، رفتار، مقصد اور کارکردگی کے لحاظ سے فرق بیان کریں۔ مزید وضاحت کریں کہ ملٹی تھریڈنگ ایپلی کیشنز کی کارکردگی اور ردِعمل کو کس طرح بہتر بناتی ہے۔,Medium,5,PRO,1
sep_10_cs_ch1_006,1,1.5 Processes vs Threads,Topic,topic_separator,,,,,,1
q_10_cs_ch1_lq_009,1,1.5 Processes vs Threads,Long,compare,Differentiate between a process and a thread. Explain how multiple threads work independently within one process while sharing the same memory and system resources.,پراسیس اور تھریڈ میں فرق بیان کریں۔ وضاحت کریں کہ متعدد تھریڈز ایک ہی پراسیس کے اندر آزادانہ طور پر کام کرتے ہوئے مشترکہ میموری اور سسٹم وسائل کس طرح استعمال کرتے ہیں۔,Medium,5,ULTRA,1
sep_10_cs_ch1_007,1,1.6 System Calls,Topic,topic_separator,,,,,,1
q_10_cs_ch1_lq_010,1,1.6 System Calls,Long,state_and_explain,"Define a system call and explain its purpose in providing safe access to operating-system services. Describe the open, read, write, and fork system calls with suitable examples.",سسٹم کال کی تعریف کریں اور آپریٹنگ سسٹم کی خدمات تک محفوظ رسائی فراہم کرنے میں اس کا مقصد واضح کریں۔ open، read، write اور fork سسٹم کالز کو مناسب مثالوں کے ساتھ بیان کریں۔,Easy,5,PRO,1
sep_10_cs_ch1_008,1,1.7 File System Structure and Management,Topic,topic_separator,,,,,,1
q_10_cs_ch1_lq_011,1,1.7 File System Structure and Management,Long,elaborate,"Explain file-system structure and management. Define files, folders, and metadata, and describe how FAT32, NTFS, APFS/HFS+, and EXT4 organize data on different operating systems.",فائل سسٹم کی ساخت اور انتظام کی وضاحت کریں۔ فائل، فولڈر اور میٹاڈیٹا کی تعریف کریں اور بیان کریں کہ FAT32، NTFS، APFS/HFS+ اور EXT4 مختلف آپریٹنگ سسٹمز میں ڈیٹا کو کس طرح منظم کرتے ہیں۔,Medium,5,ULTRA,1
sep_10_cs_ch1_009,1,1.8 Types of Operating Systems,Topic,topic_separator,,,,,,1
q_10_cs_ch1_lq_012,1,1.8 Types of Operating Systems,Long,classification,"Describe the major types of operating systems: Real-Time Operating System, Embedded Operating System, Network Operating System, and Mobile Operating System. State the key feature and one common use of each type.",آپریٹنگ سسٹم کی اہم اقسام بیان کریں: Real-Time Operating System، Embedded Operating System، Network Operating System اور Mobile Operating System۔ ہر قسم کی نمایاں خصوصیت اور ایک عام استعمال لکھیں۔,Easy,5,ULTRA,1
sep_10_cs_ch1_010,1,1.3.3 Exercise Numerical — FCFS Scheduling,Topic,topic_separator,,,,,,1
q_10_cs_ch1_lq_013,1,1.3.3 Exercise Numerical — FCFS Scheduling,Numerical,schedule,"A computer system uses First Come, First Served (FCFS) scheduling for the following processes: P1 (AT=0 s, BT=4 s), P2 (AT=1 s, BT=3 s), P3 (AT=2 s, BT=1 s). Determine: (a) execution order | (b) execution sequence | (c) start time and completion time of each process | (d) waiting time of each process | (e) average waiting time.","ایک کمپیوٹر سسٹم درج ذیل پراسیسز کے لیے First Come, First Served (FCFS) شیڈولنگ استعمال کرتا ہے۔ معلوم کریں: (a) execution order | (b) execution sequence | (c) ہر پراسیس کا start time اور completion time | (d) ہر پراسیس کا waiting time | (e) average waiting time: P1 (AT=0 s, BT=4 s), P2 (AT=1 s, BT=3 s), P3 (AT=2 s, BT=1 s)",Hard,4,PRO,1
