question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,9.1 Similarity of Polygons,topic_separator,,,,,,1
q_9_math_ch9_sq_001,1,9.1 Similarity of Polygons,definition_function,Define similar polygons and state the two conditions required for their similarity.,similar polygons کی تعریف کریں اور ان کی similarity کے لیے required two conditions بیان کریں۔,Easy,2,IMPORTANT,1
q_9_math_ch9_sq_002,1,9.1 Similarity of Polygons,definition_function,Define the scale factor of two similar figures and state how corresponding sides are related.,two similar figures کے scale factor کی تعریف کریں اور corresponding sides کا relationship بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,9.1.1 Identification of Similar Triangles,topic_separator,,,,,,1
q_9_math_ch9_sq_003,1,9.1.1 Identification of Similar Triangles,law_principle,State the AA criterion for similarity of two triangles.,two triangles کی similarity کے لیے AA criterion بیان کریں۔,Easy,2,ULTRA,1
q_9_math_ch9_sq_004,1,9.1.1 Identification of Similar Triangles,law_principle,State the SAS criterion for similarity of two triangles.,two triangles کی similarity کے لیے SAS criterion بیان کریں۔,Medium,2,ULTRA,1
q_9_math_ch9_sq_005,1,9.1.1 Identification of Similar Triangles,law_principle,State the SSS criterion for similarity of two triangles.,two triangles کی similarity کے لیے SSS criterion بیان کریں۔,Easy,2,ULTRA,1
q_9_math_ch9_sq_006,1,9.1.1 Identification of Similar Triangles,explain_reason,Explain why triangles formed by two intersecting transversals between parallel lines are similar.,وضاحت کریں کہ parallel lines کے درمیان two intersecting transversals سے formed triangles similar کیوں ہوتے ہیں۔,Medium,2,ELITE,1
TOPIC_SEP,1,9.1.2 Similarity of Quadrilaterals,topic_separator,,,,,,1
q_9_math_ch9_sq_007,1,9.1.2 Similarity of Quadrilaterals,definition_function,State the conditions under which two quadrilaterals are similar.,وہ conditions بیان کریں جن میں two quadrilaterals similar ہوتے ہیں۔,Easy,2,ULTRA,1
q_9_math_ch9_sq_008,1,9.1.2 Similarity of Quadrilaterals,application_scenario,Explain how corresponding angles and side ratios are checked to establish similarity of two parallelograms.,وضاحت کریں کہ two parallelograms کی similarity establish کرنے کے لیے corresponding angles اور side ratios کیسے check کیے جاتے ہیں۔,Medium,2,ELITE,1
TOPIC_SEP,1,9.2 Area of Similar Figures,topic_separator,,,,,,1
q_9_math_ch9_sq_009,1,9.2 Area of Similar Figures,formula_relationship,State the relationship between the ratio of areas and the ratio of corresponding lengths of two similar figures.,two similar figures کے areas کے ratio اور corresponding lengths کے ratio کا relationship بیان کریں۔,Easy,2,PRO,1
q_9_math_ch9_sq_010,1,9.2 Area of Similar Figures,cause_effect,"If the linear scale factor is k, state how the area changes and explain the exponent used.",اگر linear scale factor k ہو تو area میں change بیان کریں اور used exponent explain کریں۔,Medium,2,ELITE,1
TOPIC_SEP,1,9.3 Volume of Similar Solids,topic_separator,,,,,,1
q_9_math_ch9_sq_011,1,9.3 Volume of Similar Solids,formula_relationship,State the relationship between the ratio of volumes and the ratio of corresponding lengths of two similar solids.,two similar solids کے volumes کے ratio اور corresponding lengths کے ratio کا relationship بیان کریں۔,Easy,2,PRO,1
q_9_math_ch9_sq_012,1,9.3 Volume of Similar Solids,cause_effect,"If the linear scale factor is k, state how the volume changes and explain the exponent used.",اگر linear scale factor k ہو تو volume میں change بیان کریں اور used exponent explain کریں۔,Medium,2,ELITE,1
TOPIC_SEP,1,9.3 Masses of Similar Solids,topic_separator,,,,,,1
q_9_math_ch9_sq_013,1,9.3 Masses of Similar Solids,formula_relationship,State the relationship between masses and volumes of similar solids made of the same material.,same material سے made similar solids کے masses اور volumes کا relationship بیان کریں۔,Medium,2,ULTRA,1
TOPIC_SEP,1,9.4.1 Regular Polygons,topic_separator,,,,,,1
q_9_math_ch9_sq_014,1,9.4.1 Regular Polygons,definition_formula,State the formula for the sum of interior angles of an n-sided polygon and identify n.,n-sided polygon کے interior angles کے sum کا formula بیان کریں اور n identify کریں۔,Easy,2,ULTRA,1
q_9_math_ch9_sq_015,1,9.4.1 Regular Polygons,formula_relationship,State the formulas for one interior angle and one exterior angle of a regular n-gon.,regular n-gon کے one interior angle اور one exterior angle کے formulas بیان کریں۔,Medium,2,PRO,1
q_9_math_ch9_sq_016,1,9.4.1 Regular Polygons,formula_relationship,State the formula for the number of diagonals of an n-sided polygon.,n-sided polygon کی diagonals کی number کا formula بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,9.4.2 Triangles and 9.4.3 Parallelograms,topic_separator,,,,,,1
q_9_math_ch9_sq_017,1,9.4.2 Triangles and 9.4.3 Parallelograms,compare_contrast,Compare two geometrical properties of an isosceles triangle with two properties of a parallelogram.,isosceles triangle کی two geometrical properties کا parallelogram کی two properties کے ساتھ موازنہ کریں۔,Hard,2,ELITE,1
TOPIC_SEP,1,9.4.4 Tessellation,topic_separator,,,,,,1
q_9_math_ch9_sq_018,1,9.4.4 Tessellation,explain_reason,"Explain why equilateral triangles, squares, and regular hexagons can tessellate a plane by themselves.",وضاحت کریں کہ equilateral triangles، squares اور regular hexagons plane کو خود tessellate کیوں کر سکتے ہیں۔,Hard,2,ELITE,1
TOPIC_SEP,1,Exercise 9.1 — Similar Solids,topic_separator,,,,,,1
q_9_math_ch9_sq_019,1,Exercise 9.1 — Similar Solids,numerical_short,Determine whether cuboids with dimensions 3 cm × 5 cm × 4 cm and 4.5 cm × 7.5 cm × 6 cm are similar.,determine کریں کہ dimensions 3 cm × 5 cm × 4 cm اور 4.5 cm × 7.5 cm × 6 cm والے cuboids similar ہیں یا نہیں۔,Hard,2,PRO,1
TOPIC_SEP,1,Exercise 9.1 — SSS Similarity,topic_separator,,,,,,1
q_9_math_ch9_sq_020,1,Exercise 9.1 — SSS Similarity,numerical_short,"Show that triangles with side lengths 6 cm, 9 cm, 12 cm and 10.5 cm, 15.75 cm, 21 cm are similar.","show کریں کہ side lengths 6 cm, 9 cm, 12 cm اور 10.5 cm, 15.75 cm, 21 cm والے triangles similar ہیں۔",Medium,2,PRO,1
TOPIC_SEP,1,Exercise 9.1 — Corresponding Sides,topic_separator,,,,,,1
