question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_math_ch8_001,1,8 Introduction to Logic,Topic,topic_separator,,,,,,1
q_9_math_ch8_lq_001,1,8 Introduction to Logic,Long,compare,"Compare inductive and deductive reasoning in terms of their starting information, method of drawing conclusions, and role in mathematics.",starting information، conclusion draw کرنے کے method اور mathematics میں role کے لحاظ سے inductive اور deductive reasoning کا تقابل کریں۔,Medium,5,ULTRA,1
sep_9_math_ch8_002,1,8.1 Mathematical Statements,Topic,topic_separator,,,,,,1
q_9_math_ch8_lq_002,1,8.1 Mathematical Statements,Long,state_and_explain,Define a mathematical statement and explain how truth values are assigned. Include suitable mathematical examples of true and false statements.,mathematical statement کی تعریف کریں اور explain کریں کہ truth values کیسے assign ہوتی ہیں۔ true اور false mathematical statements کی suitable examples شامل کریں۔,Easy,5,PRO,1
sep_9_math_ch8_003,1,8.1.1–8.1.2 Logical Operators,Topic,topic_separator,,,,,,1
q_9_math_ch8_lq_003,1,8.1.1–8.1.2 Logical Operators,Long,classification,"Explain negation, conjunction, disjunction, conditional, and biconditional statements. State their symbols and describe the conditions under which each compound statement is true or false.",negation، conjunction، disjunction، conditional اور biconditional statements explain کریں۔ ان کے symbols بیان کریں اور describe کریں کہ each compound statement کن conditions میں true یا false ہوتی ہے۔,Hard,5,PRO,1
sep_9_math_ch8_004,1,8.1.2 Truth Tables,Topic,topic_separator,,,,,,1
q_9_math_ch8_lq_004,1,8.1.2 Truth Tables,Long,diagram_based,"Construct and explain the truth tables for negation, conjunction, disjunction, conditional, and biconditional statements.",negation، conjunction، disjunction، conditional اور biconditional statements کی truth tables construct اور explain کریں۔,Hard,5,PRO,1
sep_9_math_ch8_005,1,8.1.2 Related Conditionals,Topic,topic_separator,,,,,,1
q_9_math_ch8_lq_005,1,8.1.2 Related Conditionals,Long,compare,"For a conditional p → q, define and compare its converse, inverse, and contrapositive. Explain the logical equivalence relationships among them.",conditional p → q کے لیے converse، inverse اور contrapositive کی تعریف اور تقابل کریں۔ ان کے درمیان logical equivalence relationships explain کریں۔,Medium,5,PRO,1
sep_9_math_ch8_006,1,8.1.3 Mathematical Proof,Topic,topic_separator,,,,,,1
q_9_math_ch8_lq_006,1,8.1.3 Mathematical Proof,Long,elaborate,"What is a mathematical proof? Explain how a logical sequence of accepted facts, definitions, axioms, and previously proved results establishes a conclusion.",mathematical proof کیا ہے؟ explain کریں کہ accepted facts، definitions، axioms اور previously proved results کی logical sequence conclusion کو کیسے establish کرتی ہے۔,Medium,5,ULTRA,1
