question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,4.1 Common Factors,Topic,,,,,,,,,,,1
q_9_math_ch4_001,1,4.1 Common Factors,Remember,The greatest expression dividing two algebraic expressions without remainder is called:,two algebraic expressions کو remainder کے بغیر divide کرنے والی greatest expression کیا کہلاتی ہے؟,HCF / HCF,LCM / LCM,Square root / square root,Coefficient / coefficient,A | HCF / HCF,Easy,1,PRO,1
TOPIC_SEP,1,4.1 Factorization,Topic,,,,,,,,,,,1
q_9_math_ch4_002,1,4.1 Factorization,Apply,Factorize 12x + 36.,12x + 36 کو factorize کریں۔,12(3x + 1),x(12 + 36x),12(x + 3),6(x + 3),C | 12(x + 3),Easy,1,PRO,1
q_9_math_ch4_003,1,4.1 Factorization,Apply,Factorize x² − 9.,x² − 9 کو factorize کریں۔,(x − 3)(x + 3),(x − 9)(x + 1),(x − 3)²,(x + 3)²,A | (x − 3)(x + 3),Easy,1,PRO,1
TOPIC_SEP,1,4.1 Algebraic Identities,Topic,,,,,,,,,,,1
q_9_math_ch4_004,1,4.1 Algebraic Identities,Remember,The identity for (a + b)² is:,(a + b)² کی identity کیا ہے؟,a² + b²,a² + 2ab + b²,a² − 2ab + b²,a² + ab + b²,B | a² + 2ab + b²,Easy,1,PRO,1
q_9_math_ch4_005,1,4.1 Algebraic Identities,Remember,The identity for (a − b)² is:,(a − b)² کی identity کیا ہے؟,a² + 2ab + b²,a² − b²,a² − ab + b²,a² − 2ab + b²,D | a² − 2ab + b²,Easy,1,PRO,1
TOPIC_SEP,1,4.1 Trinomial Factorization,Topic,,,,,,,,,,,1
q_9_math_ch4_006,1,4.1 Trinomial Factorization,Apply,Factorize x² + 5x + 6.,x² + 5x + 6 کو factorize کریں۔,(x + 2)(x + 3),(x − 2)(x − 3),(x + 1)(x + 6),(x − 1)(x − 6),A | (x + 2)(x + 3),Easy,1,PRO,1
TOPIC_SEP,1,4.2 Cubic Identities,Topic,,,,,,,,,,,1
q_9_math_ch4_007,1,4.2 Cubic Identities,Remember,The factorization of a³ + b³ is:,a³ + b³ کی factorization کیا ہے؟,(a − b)(a² + ab + b²),(a + b)³,(a + b)(a² + ab + b²),(a + b)(a² − ab + b²),D | (a + b)(a² − ab + b²),Easy,1,PRO,1
q_9_math_ch4_008,1,4.2 Cubic Identities,Remember,The factorization of a³ − b³ is:,a³ − b³ کی factorization کیا ہے؟,(a − b)(a² + ab + b²),(a + b)(a² − ab + b²),(a − b)³,(a − b)(a² − ab + b²),A | (a − b)(a² + ab + b²),Easy,1,PRO,1
TOPIC_SEP,1,4.2 Perfect Cubes,Topic,,,,,,,,,,,1
q_9_math_ch4_009,1,4.2 Perfect Cubes,Apply,Factorize 8x³ + 27.,8x³ + 27 کو factorize کریں۔,(2x − 3)(4x² + 6x + 9),(8x + 27)(x² + 1),(2x + 3)(4x² − 6x + 9),(2x + 3)³,C | (2x + 3)(4x² − 6x + 9),Easy,1,PRO,1
TOPIC_SEP,1,4.3 HCF,Topic,,,,,,,,,,,1
q_9_math_ch4_010,1,4.3 HCF,Apply,The HCF of 6x²y and 9xy² is:,6x²y اور 9xy² کا HCF کیا ہے؟,18x²y²,3xy,3x²y²,xy,B | 3xy,Easy,1,PRO,1
TOPIC_SEP,1,4.3 LCM,Topic,,,,,,,,,,,1
q_9_math_ch4_011,1,4.3 LCM,Apply,The LCM of 4x²y and 8x³y² is:,4x²y اور 8x³y² کا LCM کیا ہے؟,4x²y,32x⁵y³,2xy,8x³y²,D | 8x³y²,Easy,1,PRO,1
