question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,11 Introduction to Loci and Construction,topic_separator,,,,,,1
q_9_math_ch11_sq_001,1,11 Introduction to Loci and Construction,definition_function,Define a locus and state how it is described by a geometrical condition.,locus کی تعریف کریں اور بیان کریں کہ اسے geometrical condition سے کیسے describe کیا جاتا ہے۔,Easy,2,IMPORTANT,1
TOPIC_SEP,1,11.1 Construction of Triangles,topic_separator,,,,,,1
q_9_math_ch11_sq_002,1,11.1 Construction of Triangles,list_state,"State the four sets of measurements used for constructing triangles: SSS, SAS, one side with two angles, and SSA.",triangles construct کرنے کے four sets of measurements بیان کریں: SSS، SAS، one side with two angles، اور SSA۔,Easy,2,ULTRA,1
TOPIC_SEP,1,11.1 Triangle Inequality,topic_separator,,,,,,1
q_9_math_ch11_sq_003,1,11.1 Triangle Inequality,law_principle,State the triangle inequality condition required for three given lengths to form a triangle.,three given lengths سے triangle form ہونے کے لیے triangle inequality condition بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,11.1 Classification of Triangles,topic_separator,,,,,,1
q_9_math_ch11_sq_004,1,11.1 Classification of Triangles,classification,Classify triangles according to sides and according to angles.,triangles کو sides اور angles کے مطابق classify کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,11.1 SSS Construction,topic_separator,,,,,,1
q_9_math_ch11_sq_005,1,11.1 SSS Construction,process_steps,State the construction steps for a triangle when all three side lengths are given.,all three side lengths given ہونے پر triangle construction کے steps بیان کریں۔,Medium,2,ELITE,1
TOPIC_SEP,1,11.1 SAS Construction,topic_separator,,,,,,1
q_9_math_ch11_sq_006,1,11.1 SAS Construction,process_steps,State the construction steps for a triangle when two sides and their included angle are given.,two sides اور included angle given ہونے پر triangle construction کے steps بیان کریں۔,Medium,2,ELITE,1
TOPIC_SEP,1,11.1 One Side and Two Angles,topic_separator,,,,,,1
q_9_math_ch11_sq_007,1,11.1 One Side and Two Angles,process_steps,State the construction steps for a triangle when one side and two angles are given.,one side اور two angles given ہونے پر triangle construction کے steps بیان کریں۔,Medium,2,ELITE,1
