question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_math_ch2_001,1,2.1 Scientific Notation,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_001,1,2.1 Scientific Notation,Long,explain,"Explain scientific notation, its coefficient and exponent conditions, and the procedures for converting between ordinary and scientific notation.",scientific notation، اس کے coefficient اور exponent کی conditions اور ordinary notation و scientific notation کے درمیان conversion procedures کی وضاحت کریں۔,Easy,5,PRO,1
sep_9_math_ch2_002,1,2.2 Logarithm of a Real Number,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_002,1,2.2 Logarithm of a Real Number,Long,state_and_explain,"Define the logarithm of a real number and explain the equivalence between logarithmic and exponential forms, including the restrictions on the base and argument.",real number کے logarithm کی تعریف کریں اور base و argument کی restrictions سمیت logarithmic اور exponential forms کی equivalence کی وضاحت کریں۔,Medium,5,PRO,1
sep_9_math_ch2_003,1,2.3 Common and Natural Logarithms,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_003,1,2.3 Common and Natural Logarithms,Long,compare,"Differentiate between common and natural logarithms in terms of base, notation, and textbook applications.",base، notation اور textbook applications کے لحاظ سے common اور natural logarithms میں فرق بیان کریں۔,Easy,5,ULTRA,1
sep_9_math_ch2_004,1,2.3.1 Characteristic and Mantissa,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_004,1,2.3.1 Characteristic and Mantissa,Long,process_procedure,Explain characteristic and mantissa and describe the procedures for finding logarithms and antilogarithms by using logarithm tables.,characteristic اور mantissa کی وضاحت کریں اور logarithm tables استعمال کرکے logarithms اور antilogarithms معلوم کرنے کی procedures بیان کریں۔,Medium,5,PRO,1
sep_9_math_ch2_005,1,2.4 Laws of Logarithms,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_005,1,2.4 Laws of Logarithms,Long,derive,"State and prove the product, quotient, power, and change-of-base laws of logarithms.",logarithms کے product، quotient، power اور change-of-base laws بیان کریں اور prove کریں۔,Hard,5,PRO,1
sep_9_math_ch2_006,1,2.4.1 Applications of Logarithms,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_006,1,2.4.1 Applications of Logarithms,Long,discuss,"Discuss the use of logarithms in measuring sound intensity, earthquake magnitude, exponential growth, and exponential decay through the mathematical models L=40log₁₀(I/I₀), M=log₁₀(A/A₀), y=100000(1.05)ᵗ, and T=20(0.97)ʰ⁄¹⁰⁰.","درج ذیل mathematical models کے ذریعے sound intensity، earthquake magnitude، exponential growth اور exponential decay میں logarithms کے استعمال پر بحث کریں: L=40log₁₀(I/I₀), M=log₁₀(A/A₀), y=100000(1.05)ᵗ, T=20(0.97)ʰ⁄¹⁰⁰",Hard,5,ELITE,1
sep_9_math_ch2_007,1,2.1 Scientific Notation — Solved Examples,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_007,1,2.1 Scientific Notation — Solved Examples,Numerical,evaluate,"Convert as directed: (a) 78,000,000 to scientific notation | (b) 0.0000000315 to scientific notation | (c) 3.47 × 10⁶ to ordinary notation | (d) 6.23 × 10⁻⁴ to ordinary notation.","ہدایت کے مطابق conversions کریں: (a) 78,000,000 کو scientific notation میں | (b) 0.0000000315 کو scientific notation میں | (c) 3.47 × 10⁶ کو ordinary notation میں | (d) 6.23 × 10⁻⁴ کو ordinary notation میں",Medium,4,ULTRA,1
sep_9_math_ch2_008,1,Exercise 2.1 Scientific Notation,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_008,1,Exercise 2.1 Scientific Notation,Numerical,evaluate,"Express in scientific notation: (a) 2,000,000 | (b) 48,900 | (c) 0.0042 | (d) −0.0000009.","درج ذیل numbers کو scientific notation میں express کریں: (a) 2,000,000 | (b) 48,900 | (c) 0.0042 | (d) −0.0000009",Medium,4,PRO,1
sep_9_math_ch2_009,1,Exercise 2.1 Real-Life Scientific Notation,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_009,1,Exercise 2.1 Real-Life Scientific Notation,Numerical,evaluate,"Solve the following: (a) Express 3 × 10⁸ metres per second in standard ordinary form. | (b) Express 40,075,000 metres in scientific notation. | (c) Express 6.7779 × 10³ km and 1.2756 × 10⁴ km in ordinary notation.","درج ذیل حل کریں: (a) 3 × 10⁸ metres per second کو standard ordinary form میں express کریں۔ | (b) 40,075,000 metres کو scientific notation میں express کریں۔ | (c) 6.7779 × 10³ km اور 1.2756 × 10⁴ km کو ordinary notation میں express کریں۔",Medium,4,PRO,1
sep_9_math_ch2_010,1,2.2 Logarithmic and Exponential Forms — Solved Examples,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_010,1,2.2 Logarithmic and Exponential Forms — Solved Examples,Numerical,evaluate,Convert as directed and solve where required: (a) log₂8 = 3 into exponential form | (b) log₁₀100 = 2 into exponential form | (c) 3⁴ = 81 into logarithmic form | (d) log₅25 = x | (e) log₂x = 6.,ہدایت کے مطابق convert کریں اور جہاں مطلوب ہو solve کریں: (a) log₂8 = 3 کو exponential form میں | (b) log₁₀100 = 2 کو exponential form میں | (c) 3⁴ = 81 کو logarithmic form میں | (d) log₅25 = x | (e) log₂x = 6,Medium,4,ULTRA,1
sep_9_math_ch2_011,1,Exercise 2.2 Logarithmic Form,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_011,1,Exercise 2.2 Logarithmic Form,Numerical,evaluate,Express in logarithmic form: (a) 10³ = 1000 | (b) 2⁸ = 256 | (c) 20² = 400 | (d) 11² = 121.,درج ذیل کو logarithmic form میں express کریں: (a) 10³ = 1000 | (b) 2⁸ = 256 | (c) 20² = 400 | (d) 11² = 121,Easy,4,PRO,1
sep_9_math_ch2_012,1,Exercise 2.2 Exponential Form,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_012,1,Exercise 2.2 Exponential Form,Numerical,evaluate,Express in exponential form: (a) log₅125 = 3 | (b) log₂16 = 4 | (c) log₁₀1 = 0 | (d) log₅5 = 1 | (e) log₉729 = 3 | (f) log₂1024 = 5.,درج ذیل کو exponential form میں express کریں: (a) log₅125 = 3 | (b) log₂16 = 4 | (c) log₁₀1 = 0 | (d) log₅5 = 1 | (e) log₉729 = 3 | (f) log₂1024 = 5,Medium,4,PRO,1
sep_9_math_ch2_013,1,Exercise 2.2 Logarithmic Equations,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_013,1,Exercise 2.2 Logarithmic Equations,Numerical,solve,Find x: (a) log₉x = 0.5 | (b) log₂x = 6 | (c) log₂1024 = x.,x معلوم کریں: (a) log₉x = 0.5 | (b) log₂x = 6 | (c) log₂1024 = x,Medium,4,PRO,1
sep_9_math_ch2_014,1,Exercise 2.3 Characteristic,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_014,1,Exercise 2.3 Characteristic,Numerical,determine,Find the characteristic of each common logarithm: (a) 5287 | (b) 59.28 | (c) 0.0567 | (d) 234.7 | (e) 0.000049 | (f) −145000.,ہر common logarithm کی characteristic معلوم کریں: (a) 5287 | (b) 59.28 | (c) 0.0567 | (d) 234.7 | (e) 0.000049 | (f) −145000,Medium,4,PRO,1
sep_9_math_ch2_015,1,Exercise 2.3 Logarithm Tables,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_015,1,Exercise 2.3 Logarithm Tables,Numerical,evaluate,Find the common logarithms by using logarithm tables: (a) 43 | (b) 579 | (c) 1.982 | (d) 0.0876 | (e) 0.047 | (f) 0.000354.,logarithm tables استعمال کرکے common logarithms معلوم کریں: (a) 43 | (b) 579 | (c) 1.982 | (d) 0.0876 | (e) 0.047 | (f) 0.000354,Hard,4,PRO,1
sep_9_math_ch2_016,1,Exercise 2.3 Decimal-Point Shifts in Logarithms,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_016,1,Exercise 2.3 Decimal-Point Shifts in Logarithms,Numerical,calculate,"Given log 3.177 = 0.5019, find: (a) log 3177 | (b) log 31.77 | (c) log 0.03177.",given value استعمال کرتے ہوئے مطلوبہ logarithms معلوم کریں: log 3.177 = 0.5019; (a) log 3177 | (b) log 31.77 | (c) log 0.03177,Hard,4,PRO,1
sep_9_math_ch2_017,1,Exercise 2.3 Antilogarithms,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_017,1,Exercise 2.3 Antilogarithms,Numerical,find,Find x by using antilogarithm tables: (a) log x = 0.0065 | (b) log x = 1.192 | (c) log x = −3.434 | (d) log x = −1.5726 | (e) log x = 4.3561 | (f) log x = −2.0184.,antilogarithm tables استعمال کرکے x معلوم کریں: (a) log x = 0.0065 | (b) log x = 1.192 | (c) log x = −3.434 | (d) log x = −1.5726 | (e) log x = 4.3561 | (f) log x = −2.0184,Hard,4,PRO,1
sep_9_math_ch2_018,1,2.4 Laws of Logarithms — Solved Examples,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_018,1,2.4 Laws of Logarithms — Solved Examples,Numerical,evaluate,Use logarithm laws to: (a) expand log₂(((x − y)/z)³) | (b) expand log₂((xy/z)⁸) | (c) write 2log₅10 − log₅4 as a single logarithm.,logarithm laws استعمال کریں: (a) log₂(((x − y)/z)³) کو expand کریں | (b) log₂((xy/z)⁸) کو expand کریں | (c) 2log₅10 − log₅4 کو single logarithm میں لکھیں۔,Hard,4,ULTRA,1
sep_9_math_ch2_019,1,Exercise 2.4 Evaluation by Logarithm Laws,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_019,1,Exercise 2.4 Evaluation by Logarithm Laws,Numerical,evaluate,Evaluate without a calculator: (a) log₂18 − log₂9 | (b) log₂64 + log₂2 | (c) 2log 2 + log 25 | (d) log 12 + log 0.25.,calculator استعمال کیے بغیر evaluate کریں: (a) log₂18 − log₂9 | (b) log₂64 + log₂2 | (c) 2log 2 + log 25 | (d) log 12 + log 0.25,Medium,4,PRO,1
sep_9_math_ch2_020,1,Exercise 2.4 Single Logarithm,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_020,1,Exercise 2.4 Single Logarithm,Numerical,evaluate,Write as a single logarithm: (a) 2log₃x + log₃y | (b) 4log₃x − log₃y + log₃z | (c) 2ln a + 3ln b − 4ln c.,درج ذیل کو single logarithm میں لکھیں: (a) 2log₃x + log₃y | (b) 4log₃x − log₃y + log₃z | (c) 2ln a + 3ln b − 4ln c,Medium,4,PRO,1
sep_9_math_ch2_021,1,Exercise 2.4 Logarithmic and Exponential Equations,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_021,1,Exercise 2.4 Logarithmic and Exponential Equations,Numerical,solve,Solve: (a) log 2 + log x = 1 | (b) log₂x + log₂8 = 5 | (c) 81ˣ = 243ˣ⁺² | (d) (1/9)³ˣ = 27 | (e) log(5x − 10) = 2 | (f) log₂(x + 1) − log₂(x − 4) = 2.,درج ذیل equations solve کریں: (a) log 2 + log x = 1 | (b) log₂x + log₂8 = 5 | (c) 81ˣ = 243ˣ⁺² | (d) (1/9)³ˣ = 27 | (e) log(5x − 10) = 2 | (f) log₂(x + 1) − log₂(x − 4) = 2,Hard,4,PRO,1
sep_9_math_ch2_022,1,Exercise 2.4 Logarithm-Table Computations,Topic,topic_separator,,,,,,1
q_9_math_ch2_lq_022,1,Exercise 2.4 Logarithm-Table Computations,Numerical,calculate,Evaluate by using logarithm tables: (a) (3.68 × 4.21)/5.234 | (b) 4.67 × 2.11 × 2.397 | (c) ((20.46)² × 2.4122)/754.3 | (d) (9.364 × 21.64)/3.21.,logarithm tables استعمال کرکے evaluate کریں: (a) (3.68 × 4.21)/5.234 | (b) 4.67 × 2.11 × 2.397 | (c) ((20.46)² × 2.4122)/754.3 | (d) (9.364 × 21.64)/3.21,Hard,4,PRO,1
