question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,12.1 Information Handling,Topic,,,,,,,,,,,1
q_9_math_ch12_001,1,12.1 Information Handling,Remember,"Information handling is the process of collecting, organizing, summarizing, analyzing and:",information handling collecting، organizing، summarizing، analyzing اور کس process پر مشتمل ہے؟,Ignoring numerical data / numerical data ignore کرنا,Drawing only triangles / صرف triangles draw کرنا,Proving theorems only / صرف theorems prove کرنا,Interpreting numerical data / numerical data کو interpret کرنا,D | Interpreting numerical data / numerical data کو interpret کرنا,Easy,1,PRO,1
TOPIC_SEP,1,12.1 Types of Data,Topic,,,,,,,,,,,1
q_9_math_ch12_002,1,12.1 Types of Data,Remember,Data that takes only specific countable values is called:,specific countable values لینے والے data کو کیا کہتے ہیں؟,Continuous data / continuous data,Grouped data only / صرف grouped data,Discrete data / discrete data,Class boundary / class boundary,C | Discrete data / discrete data,Easy,1,PRO,1
q_9_math_ch12_003,1,12.1 Types of Data,Remember,Data that can take every possible value in an interval is called:,interval میں every possible value لینے والے data کو کیا کہتے ہیں؟,Discrete data / discrete data,Tally data / tally data,Continuous data / continuous data,Modal data / modal data,C | Continuous data / continuous data,Easy,1,PRO,1
TOPIC_SEP,1,12.1 Ungrouped Data,Topic,,,,,,,,,,,1
q_9_math_ch12_004,1,12.1 Ungrouped Data,Remember,Ungrouped data is also known as:,ungrouped data کو اور کیا کہتے ہیں؟,Raw data / raw data,Adjusted data / adjusted data,Cumulative data / cumulative data,Weighted data / weighted data,A | Raw data / raw data,Easy,1,PRO,1
TOPIC_SEP,1,12.1 Grouped Data,Topic,,,,,,,,,,,1
q_9_math_ch12_005,1,12.1 Grouped Data,Remember,Data arranged into classes or groups is called:,classes یا groups میں arranged data کو کیا کہتے ہیں؟,Grouped data / grouped data,Ungrouped data / ungrouped data,Logical data / logical data,Sample space / sample space,A | Grouped data / grouped data,Easy,1,PRO,1
TOPIC_SEP,1,12.1 Frequency Distribution,Topic,,,,,,,,,,,1
q_9_math_ch12_006,1,12.1 Frequency Distribution,Remember,A table of classes with their frequencies is called a:,classes اور ان کی frequencies والی table کو کیا کہتے ہیں؟,Truth table / truth table,Probability tree / probability tree,Frequency distribution / frequency distribution,Coordinate plane / coordinate plane,C | Frequency distribution / frequency distribution,Easy,1,PRO,1
TOPIC_SEP,1,12.1 Frequency,Topic,,,,,,,,,,,1
q_9_math_ch12_007,1,12.1 Frequency,Remember,The number of times a value occurs in data is its:,data میں value جتنی times occur کرے اسے کیا کہتے ہیں؟,Range / range,Midpoint / midpoint,Frequency / frequency,Boundary / boundary,C | Frequency / frequency,Easy,1,PRO,1
TOPIC_SEP,1,12.1 Range,Topic,,,,,,,,,,,1
q_9_math_ch12_008,1,12.1 Range,Remember,The difference between the greatest and smallest data values is the:,greatest اور smallest data values کے difference کو کیا کہتے ہیں؟,Mean / mean,Mode / mode,Class mark / class mark,Range / range,D | Range / range,Easy,1,PRO,1
TOPIC_SEP,1,12.1 Class Limits,Topic,,,,,,,,,,,1
q_9_math_ch12_009,1,12.1 Class Limits,Remember,The smallest value included in a class is its:,class میں included smallest value کو کیا کہتے ہیں؟,Lower class limit / lower class limit,Upper class limit / upper class limit,Class frequency / class frequency,Adjusted frequency / adjusted frequency,A | Lower class limit / lower class limit,Easy,1,PRO,1
TOPIC_SEP,1,12.1 Histogram,Topic,,,,,,,,,,,1
q_9_math_ch12_010,1,12.1 Histogram,Remember,A histogram represents a frequency distribution by:,histogram frequency distribution کو کس کے ذریعے represent کرتا ہے؟,Separated circles / separated circles,Only points with no lines / صرف points بغیر lines,A single straight line / single straight line,Adjacent rectangles / adjacent rectangles,D | Adjacent rectangles / adjacent rectangles,Easy,1,PRO,1
TOPIC_SEP,1,12.1 Frequency Polygon,Topic,,,,,,,,,,,1
