question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,5.1 Linear Equations,Topic,,,,,,,,,,,1
q_9_math_ch5_001,1,5.1 Linear Equations,Remember,The general form of a linear equation in one variable is:,one variable میں linear equation کی general form کیا ہے؟,ax² + b = 0,a/x + b = 0,"ax + b = 0, a ≠ 0",ax + by = 0,"C | ax + b = 0, a ≠ 0",Easy,1,PRO,1
q_9_math_ch5_002,1,5.1 Linear Equations,Apply,Solve 3x − 5 = 7.,3x − 5 = 7 solve کریں۔,x = 4,x = 2,x = 3,x = 6,A | x = 4,Easy,1,PRO,1
q_9_math_ch5_003,1,5.1 Linear Equations,Apply,Solve 5x − 10 = 10.,5x − 10 = 10 solve کریں۔,x = 4,x = 0,x = 2,x = −4,A | x = 4,Easy,1,PRO,1
q_9_math_ch5_004,1,5.1 Linear Equations,Understand,A linear equation in one variable normally has:,one variable میں linear equation normally کتنے solutions رکھتی ہے؟,Two solutions / two solutions,One solution / one solution,No variable / no variable,Infinitely many variables / infinitely many variables,B | One solution / one solution,Easy,1,PRO,1
TOPIC_SEP,1,5.1 Number-Line Representation,Topic,,,,,,,,,,,1
q_9_math_ch5_005,1,5.1 Number-Line Representation,Remember,A single solution x=4 is shown on a number line by:,single solution x=4 کو number line پر کیسے show کیا جاتا ہے؟,An open point at 4 with a ray / 4 پر open point اور ray,The whole line / whole line,A solid point at 4 / 4 پر solid point,A point at −4 / −4 پر point,C | A solid point at 4 / 4 پر solid point,Easy,1,PRO,1
TOPIC_SEP,1,5.2 Linear Inequalities,Topic,,,,,,,,,,,1
q_9_math_ch5_006,1,5.2 Linear Inequalities,Remember,Which symbol means greater than or equal to?,کون سا symbol greater than or equal to mean کرتا ہے؟,≥,≤,>,<,A | ≥,Easy,1,PRO,1
q_9_math_ch5_007,1,5.2 Linear Inequalities,Remember,Multiplying an inequality by a negative number requires:,inequality کو negative number سے multiply کرنے پر کیا required ہے؟,Reversing the inequality sign / inequality sign reverse کرنا,Keeping the sign unchanged / sign unchanged رکھنا,Changing it to equality / اسے equality بنانا,Removing the variable / variable remove کرنا,A | Reversing the inequality sign / inequality sign reverse کرنا,Easy,1,PRO,1
q_9_math_ch5_008,1,5.2 Linear Inequalities,Apply,Solve x − 6 ≤ −2.,x − 6 ≤ −2 solve کریں۔,x ≥ 4,x < −4,x = 4 only,x ≤ 4,D | x ≤ 4,Easy,1,PRO,1
TOPIC_SEP,1,5.2 Interval Notation,Topic,,,,,,,,,,,1
q_9_math_ch5_009,1,5.2 Interval Notation,Understand,The interval for x > 1 is:,x > 1 کے لیے interval کیا ہے؟,"(1, ∞)","[1, ∞)","(−∞,1)","(−∞,1]","A | (1, ∞)",Easy,1,PRO,1
q_9_math_ch5_010,1,5.2 Interval Notation,Understand,The interval for x ≤ 1 is:,x ≤ 1 کے لیے interval کیا ہے؟,"(−∞,1)","(−∞,1]","[1,∞)","(1,∞)","B | (−∞,1]",Easy,1,PRO,1
TOPIC_SEP,1,5.2 Inequalities in Two Variables,Topic,,,,,,,,,,,1
