question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,8.1 ATP: The Cell’s Energy Currency,topic_separator,,,,,,1
q_9_bio_ch8_sq_001,1,8.1 ATP: The Cell’s Energy Currency,definition_function,Define Bioenergetics and state the area or subject it studies.,حیاتی توانائیات کی تعریف کریں اور اس کے مطالعے کا دائرہ بیان کریں۔,Easy,2,PRO,1
q_9_bio_ch8_sq_002,1,8.1 ATP: The Cell’s Energy Currency,process_steps,Define Oxidation and outline the process it represents.,تکسید کی تعریف کریں اور اس عمل کے بنیادی مراحل بیان کریں۔,Easy,2,PRO,1
q_9_bio_ch8_sq_003,1,8.1 ATP: The Cell’s Energy Currency,process_steps,Define Reduction and outline the process it represents.,اختزال کی تعریف کریں اور اس عمل کے بنیادی مراحل بیان کریں۔,Easy,2,ULTRA,1
q_9_bio_ch8_sq_004,1,8.1 ATP: The Cell’s Energy Currency,definition_function,Define ATP and explain why it is associated with the primary energy-transfer molecule of cells.,ATP کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: خلیات کا بنیادی energy-transfer molecule,Easy,2,ULTRA,1
q_9_bio_ch8_sq_005,1,8.1 ATP: The Cell’s Energy Currency,definition_function,Define Adenosine triphosphate and explain why it is associated with the full name of ATP.,اڈینوسین ٹرائی فاسفیٹ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: ATP کا مکمل نام,Easy,2,ULTRA,1
q_9_bio_ch8_sq_006,1,8.1 ATP: The Cell’s Energy Currency,features_characteristics,Name the components involved in the three major components of an ATP molecule and state one relevant feature.,درج ذیل کے اجزا نامزد کریں اور ایک متعلقہ خصوصیت بیان کریں: ATP molecule کے تین بڑے اجزا,Easy,2,ELITE,1
q_9_bio_ch8_sq_007,1,8.1 ATP: The Cell’s Energy Currency,classification,"Define ADP, Pᵢ, and energy and relate it to the products formed when ATP loses its outer phosphate group.",ADP، Pᵢ اور توانائی کی تعریف کریں اور اسے درج ذیل حیاتیاتی تصور سے متعلق کریں: ATP کے outer phosphate group ٹوٹنے پر بننے والی مصنوعات,Easy,2,ELITE,1
q_9_bio_ch8_sq_008,1,8.1 ATP: The Cell’s Energy Currency,definition_function,Define 7.3 kcal per mole and explain why it is associated with the approximate energy released by breaking one high-energy phosphate bond per mole of ATP.,7.3 kcal فی mole کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: ایک high-energy phosphate bond ٹوٹنے سے فی mole ATP خارج ہونے والی تقریباً توانائی,Easy,2,ELITE,1
q_9_bio_ch8_sq_009,1,8.1 ATP: The Cell’s Energy Currency,definition_function,Define The outer P–P bond and explain why it is associated with the ATP bond usually broken in common cellular energy reactions.,بیرونی P–P بند کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: عام cellular energy reactions میں عموماً ٹوٹنے والا ATP bond,Easy,2,IMPORTANT,1
