question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,4.1 Cell Cycle,Topic,,,,,,,,,,,1
q_9_bio_ch4_001,1,4.1 Cell Cycle,Remember,"Which term or option matches this textbook description: the regular series of growth, preparation, and division events in the life of a cell?",درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: خلیے کی زندگی میں بڑھوتری، تیاری اور تقسیم کے باقاعدہ واقعات کا سلسلہ,Cell cycle / خلوی چکر,M phase / M مرحلہ,Neuron / نیورون,G₁ phase / G₁ مرحلہ,A | Cell cycle / خلوی چکر,Easy,1,PRO,1
q_9_bio_ch4_002,1,4.1 Cell Cycle,Remember,Identify the correct answer for the following description: the stage between two divisions in which the cell grows and duplicates its DNA.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: دو تقسیموں کے درمیان مرحلہ جس میں خلیہ بڑھتا اور اپنا DNA نقل کرتا ہے,G₀ phase / G₀ مرحلہ,Interphase / انٹرفیز,G₁ phase / G₁ مرحلہ,Neuron / نیورون,B | Interphase / انٹرفیز,Easy,1,PRO,1
q_9_bio_ch4_003,1,4.1 Cell Cycle,Remember,"The textbook description “the growth phase in which proteins, organelles, and DNA-replication enzymes are produced” refers to which option?",کتابی وضاحت ”بڑھوتری کا مرحلہ جس میں پروٹین، عضیات اور DNA replication کے خامرے بنتے ہیں“ کس جواب کی طرف اشارہ کرتی ہے؟,G₂ phase / G₂ مرحلہ,Neuron / نیورون,G₁ phase / G₁ مرحلہ,S phase / S مرحلہ,C | G₁ phase / G₁ مرحلہ,Easy,1,ULTRA,1
q_9_bio_ch4_004,1,4.1 Cell Cycle,Remember,Which option is correctly identified by this description: the phase in which DNA of every chromosome is replicated?,درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: وہ مرحلہ جس میں ہر کروموسوم کا DNA نقل ہوتا ہے,Neuron / نیورون,G₀ phase / G₀ مرحلہ,Cell cycle / خلوی چکر,S phase / S مرحلہ,D | S phase / S مرحلہ,Easy,1,ULTRA,1
q_9_bio_ch4_005,1,4.1 Cell Cycle,Remember,Which term or option matches this textbook description: the phase in which the cell continues growth and prepares proteins for division?,درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: وہ مرحلہ جس میں خلیہ مزید بڑھتا اور تقسیم کے لیے پروٹین بناتا ہے,G₂ phase / G₂ مرحلہ,M phase / M مرحلہ,G₁ phase / G₁ مرحلہ,Interphase / انٹرفیز,A | G₂ phase / G₂ مرحلہ,Easy,1,ULTRA,1
q_9_bio_ch4_006,1,4.1 Cell Cycle,Remember,Identify the correct answer for the following description: the non-dividing state entered by many specialized cells.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: غیر تقسیمی حالت جس میں بہت سے تخصص یافتہ خلیات داخل ہوتے ہیں,Neuron / نیورون,G₀ phase / G₀ مرحلہ,G₁ phase / G₁ مرحلہ,Cell cycle / خلوی چکر,B | G₀ phase / G₀ مرحلہ,Easy,1,ELITE,1
q_9_bio_ch4_007,1,4.1 Cell Cycle,Remember,The textbook description “the division phase that includes nuclear division and cytokinesis” refers to which option?,کتابی وضاحت ”تقسیمی مرحلہ جس میں nuclear division اور cytokinesis شامل ہوتے ہیں“ کس جواب کی طرف اشارہ کرتی ہے؟,Cell cycle / خلوی چکر,Neuron / نیورون,M phase / M مرحلہ,G₀ phase / G₀ مرحلہ,C | M phase / M مرحلہ,Easy,1,ELITE,1
q_9_bio_ch4_008,1,4.1 Cell Cycle,Remember,Which option is correctly identified by this description: the type of cell that may remain in G₀ for an indefinite period?,درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: وہ خلیہ جو غیر معینہ مدت تک G₀ میں رہ سکتا ہے,M phase / M مرحلہ,G₂ phase / G₂ مرحلہ,S phase / S مرحلہ,Neuron / نیورون,D | Neuron / نیورون,Easy,1,ELITE,1
TOPIC_SEP,1,4.2 Mitosis,Topic,,,,,,,,,,,1
q_9_bio_ch4_009,1,4.2 Mitosis,Remember,Which term or option matches this textbook description: the mitotic phase in which chromatin condenses into visible chromosomes?,درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: mitosis کا مرحلہ جس میں chromatin متکثف ہو کر نمایاں chromosomes بناتا ہے,Prophase / پروفیز,Same chromosome number / کروموسومز کی یکساں تعداد,Two / دو,Metaphase / میٹافیز,A | Prophase / پروفیز,Easy,1,IMPORTANT,1
q_9_bio_ch4_010,1,4.2 Mitosis,Remember,Identify the correct answer for the following description: the mitotic phase in which chromosomes align at the cell equator.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: mitosis کا مرحلہ جس میں chromosomes خلیے کے خطِ استوا پر قطار بناتے ہیں,Cell plate / خلوی تختی,Metaphase / میٹافیز,Cleavage furrow / تقسیمی شگاف,Centrosome / سینٹروسوم,B | Metaphase / میٹافیز,Easy,1,IMPORTANT,1
q_9_bio_ch4_011,1,4.2 Mitosis,Remember,The textbook description “the mitotic phase in which sister chromatids separate and move to opposite poles” refers to which option?,کتابی وضاحت ”mitosis کا مرحلہ جس میں sister chromatids الگ ہو کر مخالف قطبین کی طرف جاتے ہیں“ کس جواب کی طرف اشارہ کرتی ہے؟,Mitotic spindle / مائٹو ٹک اسپنڈل,Somatic cells / جسمانی خلیات,Anaphase / اینافیز,Telophase / ٹیلوفیز,C | Anaphase / اینافیز,Easy,1,PRO,1
q_9_bio_ch4_012,1,4.2 Mitosis,Remember,Which option is correctly identified by this description: the mitotic phase in which nuclear envelopes and nucleoli reform?,درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: mitosis کا مرحلہ جس میں nuclear envelopes اور nucleoli دوبارہ بنتے ہیں,Centrosome / سینٹروسوم,Metaphase / میٹافیز,Cytokinesis / سائٹو کائنیسس,Telophase / ٹیلوفیز,D | Telophase / ٹیلوفیز,Easy,1,PRO,1
q_9_bio_ch4_013,1,4.2 Mitosis,Remember,Which term or option matches this textbook description: the division of cytoplasm following nuclear division?,درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: nuclear division کے بعد cytoplasm کی تقسیم,Cytokinesis / سائٹو کائنیسس,Cleavage furrow / تقسیمی شگاف,Telophase / ٹیلوفیز,Two / دو,A | Cytokinesis / سائٹو کائنیسس,Easy,1,ULTRA,1
q_9_bio_ch4_014,1,4.2 Mitosis,Remember,Identify the correct answer for the following description: the animal-cell structure produced at the equator during cytokinesis.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: حیوانی خلیے میں cytokinesis کے دوران خطِ استوا پر بننے والی ساخت,Same chromosome number / کروموسومز کی یکساں تعداد,Cleavage furrow / تقسیمی شگاف,Mitotic spindle / مائٹو ٹک اسپنڈل,Anaphase / اینافیز,B | Cleavage furrow / تقسیمی شگاف,Easy,1,ULTRA,1
q_9_bio_ch4_015,1,4.2 Mitosis,Remember,The textbook description “the plant-cell structure that develops between daughter nuclei during cytokinesis” refers to which option?,کتابی وضاحت ”نباتاتی خلیے میں cytokinesis کے دوران daughter nuclei کے درمیان بننے والی ساخت“ کس جواب کی طرف اشارہ کرتی ہے؟,Anaphase / اینافیز,Mitotic spindle / مائٹو ٹک اسپنڈل,Cell plate / خلوی تختی,Somatic cells / جسمانی خلیات,C | Cell plate / خلوی تختی,Easy,1,ULTRA,1
q_9_bio_ch4_016,1,4.2 Mitosis,Understand,Which option is correctly identified by this description: the microtubule network that moves chromosomes during division?,درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: microtubules کا جال جو تقسیم کے دوران chromosomes کو حرکت دیتا ہے,Prophase / پروفیز,Telophase / ٹیلوفیز,Same chromosome number / کروموسومز کی یکساں تعداد,Mitotic spindle / مائٹو ٹک اسپنڈل,D | Mitotic spindle / مائٹو ٹک اسپنڈل,Easy,1,ELITE,1
q_9_bio_ch4_017,1,4.2 Mitosis,Understand,Which term or option matches this textbook description: the animal-cell organelle that duplicates and organizes spindle formation?,درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: حیوانی خلیے کا عضیہ جو نقل ہو کر spindle formation منظم کرتا ہے,Centrosome / سینٹروسوم,Two / دو,Same chromosome number / کروموسومز کی یکساں تعداد,Somatic cells / جسمانی خلیات,A | Centrosome / سینٹروسوم,Medium,1,ELITE,1
q_9_bio_ch4_018,1,4.2 Mitosis,Understand,Identify the correct answer for the following description: the number of daughter cells produced by one mitotic division.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: ایک mitotic division سے بننے والے daughter cells کی تعداد,Mitotic spindle / مائٹو ٹک اسپنڈل,Two / دو,Centrosome / سینٹروسوم,Cell plate / خلوی تختی,B | Two / دو,Medium,1,ELITE,1
