question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,3.1 Cell,topic_separator,,,,,,1
q_9_bio_ch3_sq_001,1,3.1 Cell,definition_function,Define Cell and explain why it is associated with the basic structural and functional unit of life.,خلیہ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: زندگی کی بنیادی ساختی اور فعلی اکائی,Easy,2,PRO,1
q_9_bio_ch3_sq_002,1,3.1 Cell,definition_function,Define Cell membrane and explain why it is associated with the selectively permeable boundary that controls movement of substances into and out of a cell.,خلوی جھلی کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: انتخابی نفوذ پذیر حد جو خلیے میں مادّوں کے داخلے اور اخراج کو کنٹرول کرتی ہے,Easy,2,PRO,1
q_9_bio_ch3_sq_003,1,3.1 Cell,definition_function,Define Cell wall and explain why it is associated with the tough non-living outer layer that provides support to plant cells.,خلوی دیوار کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: سخت غیر زندہ بیرونی تہہ جو نباتاتی خلیات کو سہارا دیتی ہے,Easy,2,ULTRA,1
q_9_bio_ch3_sq_004,1,3.1 Cell,definition_function,Define Cytoplasm and explain why it is associated with the jelly-like material that fills the inside of a cell.,سائٹوپلازم کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: جیلی نما مادّہ جو خلیے کے اندرونی حصے کو بھرتا ہے,Easy,2,ULTRA,1
q_9_bio_ch3_sq_005,1,3.1 Cell,definition_function,Define Nucleus and explain why it is associated with the membrane-bound control centre of a eukaryotic cell.,مرکزہ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: یوکاریوٹک خلیے کا جھلی دار کنٹرول مرکز,Easy,2,ULTRA,1
q_9_bio_ch3_sq_006,1,3.1 Cell,definition_function,Define Nucleolus and explain why it is associated with the nuclear structure where ribosomal RNA is formed.,مرکزیچہ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: مرکزے کی وہ ساخت جہاں ribosomal RNA بنتا ہے,Easy,2,ELITE,1
q_9_bio_ch3_sq_007,1,3.1 Cell,definition_function,Define Chromatin and explain why it is associated with the thread-like DNA-protein material present in a non-dividing nucleus.,کرومیٹن کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: غیر منقسم مرکزے میں موجود دھاگہ نما DNA-protein مادّہ,Easy,2,ELITE,1
q_9_bio_ch3_sq_008,1,3.1 Cell,definition_function,Define Chromosome and explain why it is associated with the condensed form of chromatin visible during cell division.,کروموسوم کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: کرومیٹن کی متکثف شکل جو خلوی تقسیم کے دوران نظر آتی ہے,Easy,2,ELITE,1
q_9_bio_ch3_sq_009,1,3.1 Cell,definition_function,Define Cytoskeleton and explain why it is associated with the network of protein fibres that maintains cell shape and internal organization.,خلوی ڈھانچہ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: پروٹین ریشوں کا جال جو خلیے کی شکل اور اندرونی تنظیم برقرار رکھتا ہے,Easy,2,IMPORTANT,1
q_9_bio_ch3_sq_010,1,3.1 Cell,definition_function,Define Ribosomes and explain why it is associated with tiny granular structures that are the sites of protein synthesis.,رائبوسومز کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: چھوٹی دانے دار ساختیں جو پروٹین سازی کی جگہ ہیں,Easy,2,IMPORTANT,1
TOPIC_SEP,1,3.2 Structure of Cell,topic_separator,,,,,,1
q_9_bio_ch3_sq_011,1,3.2 Structure of Cell,definition_function,Define Rough endoplasmic reticulum and explain why it is associated with the endoplasmic reticulum bearing ribosomes and involved in protein synthesis.,کھردری اینڈوپلازمک ریٹیکیولم کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: رائبوسوم رکھنے والی endoplasmic reticulum جو پروٹین سازی میں شامل ہے,Easy,2,PRO,1
q_9_bio_ch3_sq_012,1,3.2 Structure of Cell,definition_function,Define Smooth endoplasmic reticulum and explain why it is associated with the endoplasmic reticulum lacking ribosomes and involved in lipid metabolism and detoxification.,ہموار اینڈوپلازمک ریٹیکیولم کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: رائبوسوم سے خالی endoplasmic reticulum جو lipid metabolism اور detoxification میں شامل ہے,Easy,2,PRO,1
q_9_bio_ch3_sq_013,1,3.2 Structure of Cell,definition_function,"Define Golgi apparatus and explain why it is associated with the organelle that modifies, sorts, and packages cell products.",گالجی جسم کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: وہ عضیہ جو خلوی مصنوعات میں ترمیم، ترتیب اور پیکنگ کرتا ہے,Easy,2,ULTRA,1
q_9_bio_ch3_sq_014,1,3.2 Structure of Cell,definition_function,Define Lysosomes and explain why it is associated with membrane-bound vesicles containing digestive enzymes.,لائسوسومز کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: ہاضم خامروں والی جھلی دار تھیلیاں,Easy,2,ULTRA,1
q_9_bio_ch3_sq_015,1,3.2 Structure of Cell,definition_function,Define Mitochondrion and explain why it is associated with the organelle where cellular respiration produces usable energy.,مائٹوکانڈریا کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: وہ عضیہ جہاں خلوی تنفس سے قابلِ استعمال توانائی بنتی ہے,Easy,2,ULTRA,1
q_9_bio_ch3_sq_016,1,3.2 Structure of Cell,definition_function,Define Chloroplast and explain why it is associated with the green plastid containing chlorophyll and carrying out photosynthesis.,کلوروپلاسٹ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: chlorophyll رکھنے والا سبز plastid جو photosynthesis کرتا ہے,Easy,2,ELITE,1
q_9_bio_ch3_sq_017,1,3.2 Structure of Cell,definition_function,Define Chromoplast and explain why it is associated with the coloured plastid that contains pigments other than chlorophyll.,کروموپلاسٹ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: وہ رنگ دار plastid جس میں chlorophyll کے علاوہ pigments ہوتے ہیں,Medium,2,ELITE,1
q_9_bio_ch3_sq_018,1,3.2 Structure of Cell,definition_function,Define Leucoplast and explain why it is associated with the colourless plastid mainly involved in food storage.,لیوکوپلاسٹ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: بے رنگ plastid جو بنیادی طور پر خوراک ذخیرہ کرتا ہے,Medium,2,ELITE,1
q_9_bio_ch3_sq_019,1,3.2 Structure of Cell,definition_function,Define Vacuole and explain why it is associated with a fluid-filled membrane-bound sac used for storage and maintenance of turgor in plant cells.,ویکیول کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: سیال سے بھری جھلی دار تھیلی جو نباتاتی خلیات میں ذخیرہ اور turgor برقرار رکھتی ہے,Medium,2,IMPORTANT,1
