question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_bio_ch5_001,1,5.1 Levels of Organization,Topic,topic_separator,,,,,,1
q_9_bio_ch5_lq_001,1,5.1 Levels of Organization,Long,explain,Explain the levels of organization in a multicellular organism. How does each level contribute to the overall functioning of an organism?,کثیر خلوی جاندار میں تنظیم کی سطحیں بیان کریں۔ ہر سطح جاندار کے مجموعی افعال میں کس طرح حصہ لیتی ہے؟,Hard,5,PRO,1
q_9_bio_ch5_lq_002,1,5.1 Levels of Organization,Long,classification,What is the tissue level of organization? Explain plant and animal tissues.,تنظیم کی بافتی سطح کیا ہے؟ نباتاتی اور حیوانی بافتوں کی وضاحت کریں۔,Medium,5,PRO,1
q_9_bio_ch5_lq_003,1,5.1 Levels of Organization,Long,cause_effect,Explain how the structure of epithelial tissue relates to its function in different parts of the body.,وضاحت کریں کہ اپی تھی لیئل بافت کی ساخت جسم کے مختلف حصوں میں اس کے فعل سے کس طرح متعلق ہے۔,Hard,5,PRO,1
sep_9_bio_ch5_002,1,5.2 Organs and Organ Systems in Plants,Topic,topic_separator,,,,,,1
q_9_bio_ch5_lq_004,1,5.2 Organs and Organ Systems in Plants,Long,describe,Describe the tissue composition of a leaf. How does each tissue contribute to the functions of the leaf?,پتے کی بافتی ساخت بیان کریں۔ ہر بافت پتے کے افعال میں کس طرح حصہ لیتی ہے؟,Hard,5,PRO,1
q_9_bio_ch5_lq_005,1,5.2 Organs and Organ Systems in Plants,Long,explain,Explain the functions of various plant organs.,پودے کے مختلف اعضا کے افعال بیان کریں۔,Easy,5,PRO,1
q_9_bio_ch5_lq_006,1,5.2 Organs and Organ Systems in Plants,Long,describe,Describe the structure and functions of the plant root system.,پودے کے جڑ کے نظام کی ساخت اور افعال بیان کریں۔,Medium,5,PRO,1
sep_9_bio_ch5_003,1,5.3 Organs and Organ Systems in Humans,Topic,topic_separator,,,,,,1
q_9_bio_ch5_lq_007,1,5.3 Organs and Organ Systems in Humans,Long,describe,Describe the tissue composition of the stomach. How does each tissue contribute to the digestive function of the stomach?,معدے کی بافتی ساخت بیان کریں۔ ہر بافت معدے کے ہاضمے کے فعل میں کس طرح حصہ لیتی ہے؟,Hard,5,PRO,1
q_9_bio_ch5_lq_008,1,5.3 Organs and Organ Systems in Humans,Long,explain,Explain how organ systems come together to form the human body.,وضاحت کریں کہ عضوی نظام مل کر انسانی جسم کیسے بناتے ہیں۔,Medium,5,PRO,1
sep_9_bio_ch5_004,1,5.4 Homeostasis,Topic,topic_separator,,,,,,1
q_9_bio_ch5_lq_009,1,5.4 Homeostasis,Long,discuss,Describe the roles of the digestive system and the excretory system in homeostasis.,ہومیو سٹیسس میں نظامِ ہضم اور نظامِ اخراج کے کردار بیان کریں۔,Medium,5,PRO,1
q_9_bio_ch5_lq_010,1,5.4 Homeostasis,Long,discuss,Define homeostasis and explain its importance. Discuss how different organ systems work together to maintain homeostasis.,ہومیو سٹیسس کی تعریف اور اہمیت بیان کریں۔ بحث کریں کہ مختلف عضوی نظام ہومیو سٹیسس برقرار رکھنے کے لیے کس طرح مل کر کام کرتے ہیں۔,Hard,5,PRO,1
q_9_bio_ch5_lq_011,1,5.4 Homeostasis,Long,explain,Describe how the respiratory and circulatory systems work together to maintain homeostasis of oxygen and carbon dioxide levels in the body.,بیان کریں کہ تنفسی اور دورانی نظام جسم میں آکسیجن اور کاربن ڈائی آکسائیڈ کی سطحوں کا ہومیو سٹیسس برقرار رکھنے کے لیے کس طرح مل کر کام کرتے ہیں۔,Hard,5,PRO,1
q_9_bio_ch5_lq_012,1,5.4 Homeostasis,Long,cause_effect,Evaluate the importance of organ systems working in harmony and predict the consequences of failure in one system on the others.,عضوی نظاموں کے باہمی ہم آہنگی سے کام کرنے کی اہمیت کا جائزہ لیں اور ایک نظام کی ناکامی کے دوسرے نظاموں پر نتائج کی پیش گوئی کریں۔,Hard,5,PRO,1
