question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,10.1 Types of Asexual Reproduction,Topic,,,,,,,,,,,1
q_9_bio_ch10_001,1,10.1 Types of Asexual Reproduction,Remember,Which term or option matches this textbook description: the usual asexual reproductive method of bacteria in which one cell divides into two identical cells?,درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: بیکٹیریا کا عام asexual طریقہ جس میں ایک خلیہ دو یکساں خلیات میں تقسیم ہوتا ہے,Binary fission / دو حصوں میں تقسیم,Vegetative propagation / نباتی افزائش,Budding / شگوفہ زنی,Tuber / ٹیوبر,A | Binary fission / دو حصوں میں تقسیم,Easy,1,PRO,1
q_9_bio_ch10_002,1,10.1 Types of Asexual Reproduction,Remember,Identify the correct answer for the following description: the asexual method in yeast in which a small outgrowth develops into a new organism.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: yeast کا asexual طریقہ جس میں ایک چھوٹی outgrowth سے نیا جاندار بنتا ہے,Bryophyllum / برائیوفائلم,Budding / شگوفہ زنی,Equal susceptibility to the same diseases and pests / ایک ہی بیماریوں اور pests کے لیے یکساں حساسیت,It produces a new generation quickly / یہ نئی نسل جلد بناتی ہے,B | Budding / شگوفہ زنی,Easy,1,PRO,1
q_9_bio_ch10_003,1,10.1 Types of Asexual Reproduction,Remember,The textbook description “the resistant reproductive units commonly produced by fungi such as Rhizopus” refers to which option?,کتابی وضاحت ”فنجائی مثلاً Rhizopus کی بنائی ہوئی resistant reproductive units“ کس جواب کی طرف اشارہ کرتی ہے؟,Budding / شگوفہ زنی,It produces a new generation quickly / یہ نئی نسل جلد بناتی ہے,Spores / تخمک,Binary fission / دو حصوں میں تقسیم,C | Spores / تخمک,Easy,1,ULTRA,1
q_9_bio_ch10_004,1,10.1 Types of Asexual Reproduction,Remember,Which option is correctly identified by this description: the structure in Rhizopus that contains spores?,درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: Rhizopus کی وہ ساخت جس میں spores ہوتے ہیں,Binary fission / دو حصوں میں تقسیم,Bulb / بلب,Budding / شگوفہ زنی,Sporangium / اسپورینجیم,D | Sporangium / اسپورینجیم,Easy,1,ULTRA,1
q_9_bio_ch10_005,1,10.1 Types of Asexual Reproduction,Remember,"Which term or option matches this textbook description: the production of new plants from roots, stems, or leaves?",درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: roots، stems یا leaves سے نئے plants بننے کا عمل,Vegetative propagation / نباتی افزائش,Budding / شگوفہ زنی,Bulb / بلب,Asexual reproduction / غیر جنسی تولید,A | Vegetative propagation / نباتی افزائش,Easy,1,ULTRA,1
q_9_bio_ch10_006,1,10.1 Types of Asexual Reproduction,Remember,Identify the correct answer for the following description: a horizontal above-ground stem that forms new plants at nodes.,درج ذیل وضاحت کے لیے درست جواب کی شناخت کریں: زمین کے اوپر افقی stem جو nodes پر نئے plants بناتا ہے,Sucker / سکر,Runner or stolon / رنر یا اسٹولون,Rhizome / رائزوم,Bulb / بلب,B | Runner or stolon / رنر یا اسٹولون,Easy,1,ELITE,1
q_9_bio_ch10_007,1,10.1 Types of Asexual Reproduction,Remember,"The textbook description “a horizontal underground stem used in vegetative propagation, as in ginger” refers to which option?",کتابی وضاحت ”افقی underground stem جو ginger میں vegetative propagation کرتی ہے“ کس جواب کی طرف اشارہ کرتی ہے؟,Tuber / ٹیوبر,Asexual reproduction / غیر جنسی تولید,Rhizome / رائزوم,Bulb / بلب,C | Rhizome / رائزوم,Easy,1,ELITE,1
q_9_bio_ch10_008,1,10.1 Types of Asexual Reproduction,Remember,"Which option is correctly identified by this description: a swollen underground stem with buds, as in potato?",درج ذیل وضاحت سے درست طور پر کون سا جواب پہچانا جاتا ہے: buds والی پھولی ہوئی underground stem، جیسے potato,Genetically identical offspring / جینیاتی طور پر یکساں اولاد,Sporangium / اسپورینجیم,Vegetative propagation / نباتی افزائش,Tuber / ٹیوبر,D | Tuber / ٹیوبر,Easy,1,ELITE,1
q_9_bio_ch10_009,1,10.1 Types of Asexual Reproduction,Remember,"Which term or option matches this textbook description: a short underground stem surrounded by fleshy storage leaves, as in onion?",درج ذیل کتابی وضاحت کے مطابق درست اصطلاح یا جواب منتخب کریں: چھوٹی underground stem جس کے گرد fleshy storage leaves ہوں، جیسے onion,Bulb / بلب,Genetically identical offspring / جینیاتی طور پر یکساں اولاد,Vegetative propagation / نباتی افزائش,Sporangium / اسپورینجیم,A | Bulb / بلب,Easy,1,IMPORTANT,1
