question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_bio_ch1_001,1,1.1 Biology and Its Branches,Topic,topic_separator,,,,,,1
q_9_bio_ch1_lq_001,1,1.1 Biology and Its Branches,Long,discuss,"Why is it important to classify Biology into different branches such as Botany, Zoology, and Microbiology? Explain how specialization benefits scientific research.",حیاتیات کو نباتیات، حیوانیات اور خرد حیاتیات جیسے مختلف شعبوں میں تقسیم کرنا کیوں اہم ہے؟ وضاحت کریں کہ تخصص سائنسی تحقیق کو کس طرح فائدہ پہنچاتا ہے۔,Hard,5,PRO,1
sep_9_bio_ch1_002,1,1.2 Relation of Biology with Other Sciences,Topic,topic_separator,,,,,,1
q_9_bio_ch1_lq_002,1,1.2 Relation of Biology with Other Sciences,Long,discuss,"Relate the study of Biology to Physics, Chemistry, Statistics, Geography, Economics, and Computer Science.",حیاتیات کے مطالعے کا طبیعیات، کیمیا، شماریات، جغرافیہ، معاشیات اور کمپیوٹر سائنس سے تعلق بیان کریں۔,Medium,5,PRO,1
sep_9_bio_ch1_003,1,1.3 Careers in Biology,Topic,topic_separator,,,,,,1
q_9_bio_ch1_lq_003,1,1.3 Careers in Biology,Long,explain,Explain how the study of Biology can lead to different professional studies.,وضاحت کریں کہ حیاتیات کا مطالعہ مختلف پیشہ ورانہ شعبوں تک کیسے لے جا سکتا ہے۔,Easy,5,PRO,1
sep_9_bio_ch1_004,1,1.5 Science as a Collaborative Field,Topic,topic_separator,,,,,,1
q_9_bio_ch1_lq_004,1,1.5 Science as a Collaborative Field,Long,discuss,Science is a collaborative field in which scientists work together to share knowledge. Prove this statement by giving examples.,سائنس ایک اشتراکی شعبہ ہے جس میں سائنس دان علم بانٹنے کے لیے مل کر کام کرتے ہیں۔ مثالوں کی مدد سے اس بیان کو ثابت کریں۔,Medium,5,PRO,1
sep_9_bio_ch1_005,1,1.6 Scientific Method,Topic,topic_separator,,,,,,1
q_9_bio_ch1_lq_005,1,1.6 Scientific Method,Long,process_procedure,Describe the basic steps a scientist adopts to solve a scientific problem.,کسی سائنسی مسئلے کو حل کرنے کے لیے سائنس دان کے اختیار کردہ بنیادی مراحل بیان کریں۔,Medium,5,PRO,1
q_9_bio_ch1_lq_006,1,1.6 Scientific Method,Long,application_case,Explain how a scientist can apply the scientific method to confirm the observation that a certain plant species grows more quickly in shady places than in direct sunlight.,وضاحت کریں کہ ایک سائنس دان سائنسی طریقۂ کار کو استعمال کرتے ہوئے اس مشاہدے کی تصدیق کیسے کر سکتا ہے کہ ایک مخصوص پودا براہِ راست دھوپ کی نسبت سایہ دار جگہوں میں زیادہ تیزی سے بڑھتا ہے۔,Hard,5,PRO,1
sep_9_bio_ch1_006,1,1.7 Theory and Law/Principle,Topic,topic_separator,,,,,,1
q_9_bio_ch1_lq_007,1,1.7 Theory and Law/Principle,Long,process_procedure,"Explain how a hypothesis is converted into a theory, law, or principle.",وضاحت کریں کہ ایک مفروضہ کس طرح نظریہ، قانون یا اصول میں تبدیل ہوتا ہے۔,Medium,5,PRO,1
sep_9_bio_ch1_007,1,1.8 Malaria—An Example of Biological Method,Topic,topic_separator,,,,,,1
q_9_bio_ch1_lq_008,1,1.8 Malaria—An Example of Biological Method,Long,describe,Describe the work of different scientists in discovering the cause of malaria.,ملیریا کی وجہ دریافت کرنے میں مختلف سائنس دانوں کے کام کو بیان کریں۔,Medium,5,PRO,1
q_9_bio_ch1_lq_009,1,1.8 Malaria—An Example of Biological Method,Long,experiment,Write a descriptive note on the experiments performed by Ronald Ross.,رونالڈ راس کے کیے گئے تجربات پر تفصیلی نوٹ لکھیں۔,Hard,5,PRO,1
