question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,4.1 Cell Cycle,topic_separator,,,,,,1
q_9_bio_ch4_sq_001,1,4.1 Cell Cycle,definition_function,"Define Cell cycle and explain why it is associated with the regular series of growth, preparation, and division events in the life of a cell.",خلوی چکر کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: خلیے کی زندگی میں بڑھوتری، تیاری اور تقسیم کے باقاعدہ واقعات کا سلسلہ,Easy,2,PRO,1
q_9_bio_ch4_sq_002,1,4.1 Cell Cycle,concept_explanation,Identify the stage between two divisions in which the cell grows and duplicates its DNA and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: دو تقسیموں کے درمیان مرحلہ جس میں خلیہ بڑھتا اور اپنا DNA نقل کرتا ہے,Easy,2,PRO,1
q_9_bio_ch4_sq_003,1,4.1 Cell Cycle,concept_explanation,"Identify the growth phase in which proteins, organelles, and DNA-replication enzymes are produced and briefly explain its importance.",درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: بڑھوتری کا مرحلہ جس میں پروٹین، عضیات اور DNA replication کے خامرے بنتے ہیں,Easy,2,ULTRA,1
q_9_bio_ch4_sq_004,1,4.1 Cell Cycle,concept_explanation,Identify the phase in which DNA of every chromosome is replicated and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: وہ مرحلہ جس میں ہر کروموسوم کا DNA نقل ہوتا ہے,Easy,2,ULTRA,1
q_9_bio_ch4_sq_005,1,4.1 Cell Cycle,concept_explanation,Identify the phase in which the cell continues growth and prepares proteins for division and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: وہ مرحلہ جس میں خلیہ مزید بڑھتا اور تقسیم کے لیے پروٹین بناتا ہے,Easy,2,ULTRA,1
q_9_bio_ch4_sq_006,1,4.1 Cell Cycle,definition_function,Define G₀ phase and explain why it is associated with the non-dividing state entered by many specialized cells.,G₀ مرحلہ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: غیر تقسیمی حالت جس میں بہت سے تخصص یافتہ خلیات داخل ہوتے ہیں,Easy,2,ELITE,1
q_9_bio_ch4_sq_007,1,4.1 Cell Cycle,concept_explanation,Identify the division phase that includes nuclear division and cytokinesis and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: تقسیمی مرحلہ جس میں nuclear division اور cytokinesis شامل ہوتے ہیں,Easy,2,ELITE,1
q_9_bio_ch4_sq_008,1,4.1 Cell Cycle,classification,Define Neuron and relate it to the type of cell that may remain in G₀ for an indefinite period.,نیورون کی تعریف کریں اور اسے درج ذیل حیاتیاتی تصور سے متعلق کریں: وہ خلیہ جو غیر معینہ مدت تک G₀ میں رہ سکتا ہے,Easy,2,ELITE,1
TOPIC_SEP,1,4.2 Mitosis,topic_separator,,,,,,1
q_9_bio_ch4_sq_009,1,4.2 Mitosis,concept_explanation,Identify the mitotic phase in which chromatin condenses into visible chromosomes and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: mitosis کا مرحلہ جس میں chromatin متکثف ہو کر نمایاں chromosomes بناتا ہے,Easy,2,IMPORTANT,1
q_9_bio_ch4_sq_010,1,4.2 Mitosis,concept_explanation,Identify the mitotic phase in which chromosomes align at the cell equator and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: mitosis کا مرحلہ جس میں chromosomes خلیے کے خطِ استوا پر قطار بناتے ہیں,Easy,2,IMPORTANT,1
q_9_bio_ch4_sq_011,1,4.2 Mitosis,concept_explanation,Identify the mitotic phase in which sister chromatids separate and move to opposite poles and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: mitosis کا مرحلہ جس میں sister chromatids الگ ہو کر مخالف قطبین کی طرف جاتے ہیں,Easy,2,PRO,1
q_9_bio_ch4_sq_012,1,4.2 Mitosis,concept_explanation,Identify the mitotic phase in which nuclear envelopes and nucleoli reform and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: mitosis کا مرحلہ جس میں nuclear envelopes اور nucleoli دوبارہ بنتے ہیں,Easy,2,PRO,1
q_9_bio_ch4_sq_013,1,4.2 Mitosis,definition_function,Define Cytokinesis and explain why it is associated with the division of cytoplasm following nuclear division.,سائٹو کائنیسس کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: nuclear division کے بعد cytoplasm کی تقسیم,Easy,2,ULTRA,1
q_9_bio_ch4_sq_014,1,4.2 Mitosis,definition_function,Define Cleavage furrow and explain why it is associated with the animal-cell structure produced at the equator during cytokinesis.,تقسیمی شگاف کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: حیوانی خلیے میں cytokinesis کے دوران خطِ استوا پر بننے والی ساخت,Easy,2,ULTRA,1
q_9_bio_ch4_sq_015,1,4.2 Mitosis,concept_explanation,Identify the plant-cell structure that develops between daughter nuclei during cytokinesis and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: نباتاتی خلیے میں cytokinesis کے دوران daughter nuclei کے درمیان بننے والی ساخت,Easy,2,ULTRA,1
q_9_bio_ch4_sq_016,1,4.2 Mitosis,definition_function,Define Mitotic spindle and explain why it is associated with the microtubule network that moves chromosomes during division.,مائٹو ٹک اسپنڈل کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: microtubules کا جال جو تقسیم کے دوران chromosomes کو حرکت دیتا ہے,Easy,2,ELITE,1
q_9_bio_ch4_sq_017,1,4.2 Mitosis,definition_function,Define Centrosome and explain why it is associated with the animal-cell organelle that duplicates and organizes spindle formation.,سینٹروسوم کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: حیوانی خلیے کا عضیہ جو نقل ہو کر spindle formation منظم کرتا ہے,Medium,2,ELITE,1
q_9_bio_ch4_sq_018,1,4.2 Mitosis,concept_explanation,State the number of daughter cells produced by one mitotic division and briefly explain the basis of your answer.,درج ذیل مقدار یا حالت بیان کریں اور اپنے جواب کی مختصر بنیاد واضح کریں: ایک mitotic division سے بننے والے daughter cells کی تعداد,Medium,2,ELITE,1
q_9_bio_ch4_sq_019,1,4.2 Mitosis,concept_explanation,State the chromosome condition of mitotic daughter cells compared with the parent cell and briefly explain the basis of your answer.,درج ذیل مقدار یا حالت بیان کریں اور اپنے جواب کی مختصر بنیاد واضح کریں: mitosis کے daughter cells میں parent cell کے مقابلے میں chromosome کی حالت,Medium,2,IMPORTANT,1
q_9_bio_ch4_sq_020,1,4.2 Mitosis,definition_function,Define Somatic cells and explain why it is associated with the cells in which mitosis normally occurs.,جسمانی خلیات کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: وہ خلیات جن میں عام طور پر mitosis ہوتی ہے,Medium,2,IMPORTANT,1
q_9_bio_ch4_sq_021,1,4.2 Mitosis,concept_explanation,State the mitotic significance that increases the number of cells and body size and briefly explain the basis of your answer.,درج ذیل مقدار یا حالت بیان کریں اور اپنے جواب کی مختصر بنیاد واضح کریں: mitosis کی وہ اہمیت جو خلیات کی تعداد اور جسمانی جسامت بڑھاتی ہے,Medium,2,PRO,1
q_9_bio_ch4_sq_022,1,4.2 Mitosis,definition_function,Define Replacement and repair and explain why it is associated with the mitotic significance that restores worn-out or damaged cells.,تبدیلی اور مرمت کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: mitosis کی وہ اہمیت جو گھسے یا خراب خلیات کی جگہ نئے خلیات بناتی ہے,Medium,2,PRO,1
TOPIC_SEP,1,4.3 Meiosis,topic_separator,,,,,,1
q_9_bio_ch4_sq_023,1,4.3 Meiosis,concept_explanation,State the division that reduces the chromosome number to half and briefly explain the basis of your answer.,درج ذیل مقدار یا حالت بیان کریں اور اپنے جواب کی مختصر بنیاد واضح کریں: وہ تقسیم جو chromosome number کو نصف کر دیتی ہے,Medium,2,ULTRA,1
q_9_bio_ch4_sq_024,1,4.3 Meiosis,definition_function,Define Four haploid daughter cells and explain why it is associated with the products formed when one diploid parent cell completes meiosis.,چار haploid daughter cells کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: ایک diploid parent cell کے meiosis مکمل کرنے پر بننے والی مصنوعات,Medium,2,ULTRA,1
q_9_bio_ch4_sq_025,1,4.3 Meiosis,definition_function,Define Synapsis and explain why it is associated with the pairing of homologous chromosomes during prophase-I.,سائنیپسس کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: prophase-I کے دوران homologous chromosomes کا جوڑا بنانا,Medium,2,ULTRA,1
q_9_bio_ch4_sq_026,1,4.3 Meiosis,definition_function,Define Crossing over and explain why it is associated with the exchange of segments between non-sister chromatids of homologous chromosomes.,کراسنگ اوور کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: homologous chromosomes کی non-sister chromatids کے درمیان حصوں کا تبادلہ,Medium,2,ELITE,1
q_9_bio_ch4_sq_027,1,4.3 Meiosis,definition_function,Define Chiasmata and explain why it is associated with the visible points where non-sister chromatids remain attached after crossing over.,کیازمیٹا کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: crossing over کے بعد non-sister chromatids کے جڑے رہنے کے نمایاں مقامات,Medium,2,ELITE,1
q_9_bio_ch4_sq_028,1,4.3 Meiosis,concept_explanation,Identify the phase in which homologous chromosome pairs align at the equator and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: وہ مرحلہ جس میں homologous chromosome pairs خطِ استوا پر قطار بناتے ہیں,Medium,2,ELITE,1
q_9_bio_ch4_sq_029,1,4.3 Meiosis,concept_explanation,Identify the phase in which homologous chromosomes separate while sister chromatids remain together and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: وہ مرحلہ جس میں homologous chromosomes الگ ہوتے ہیں مگر sister chromatids ساتھ رہتی ہیں,Medium,2,IMPORTANT,1
q_9_bio_ch4_sq_030,1,4.3 Meiosis,concept_explanation,Identify the phase that produces two haploid cells after the first meiotic division and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: پہلی meiotic division کے بعد دو haploid خلیات بنانے والا مرحلہ,Medium,2,IMPORTANT,1
q_9_bio_ch4_sq_031,1,4.3 Meiosis,concept_explanation,Identify the meiotic stage in which sister chromatids finally separate and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: meiosis کا مرحلہ جس میں sister chromatids آخرکار الگ ہوتی ہیں,Medium,2,PRO,1
q_9_bio_ch4_sq_032,1,4.3 Meiosis,definition_function,Define Meiosis and explain why it is associated with the cell-division process that produces gametes in animals.,میوسس کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: حیوانات میں gametes بنانے والا خلوی تقسیمی عمل,Medium,2,PRO,1
q_9_bio_ch4_sq_033,1,4.3 Meiosis,concept_explanation,State the meiotic importance that keeps the species chromosome number constant after fertilization and briefly explain the basis of your answer.,درج ذیل مقدار یا حالت بیان کریں اور اپنے جواب کی مختصر بنیاد واضح کریں: meiosis کی وہ اہمیت جو fertilization کے بعد نوع کا chromosome number مستقل رکھتی ہے,Hard,2,ULTRA,1
q_9_bio_ch4_sq_034,1,4.3 Meiosis,definition_function,Define Genetic diversity and explain why it is associated with the meiotic importance produced by crossing over and independent distribution.,جینیاتی تنوع کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: crossing over اور آزاد تقسیم سے پیدا ہونے والی meiosis کی اہمیت,Hard,2,ULTRA,1
TOPIC_SEP,1,4.4 Comparison between Meiosis and Mitosis,topic_separator,,,,,,1
q_9_bio_ch4_sq_035,1,4.4 Comparison between Meiosis and Mitosis,concept_explanation,State the number of nuclear divisions in mitosis and briefly explain the basis of your answer.,درج ذیل مقدار یا حالت بیان کریں اور اپنے جواب کی مختصر بنیاد واضح کریں: mitosis میں nuclear divisions کی تعداد,Hard,2,ULTRA,1
q_9_bio_ch4_sq_036,1,4.4 Comparison between Meiosis and Mitosis,concept_explanation,State the number of nuclear divisions in meiosis and briefly explain the basis of your answer.,درج ذیل مقدار یا حالت بیان کریں اور اپنے جواب کی مختصر بنیاد واضح کریں: meiosis میں nuclear divisions کی تعداد,Hard,2,ELITE,1
q_9_bio_ch4_sq_037,1,4.4 Comparison between Meiosis and Mitosis,definition_function,Define Crossing over and explain why it is associated with the process absent in mitosis but present in prophase-I of meiosis.,کراسنگ اوور کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: وہ عمل جو mitosis میں نہیں مگر meiosis کے prophase-I میں ہوتا ہے,Hard,2,ELITE,1
q_9_bio_ch4_sq_038,1,4.4 Comparison between Meiosis and Mitosis,concept_explanation,Identify a tumour that remains at its original location and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: وہ tumour جو اپنی اصل جگہ تک محدود رہتا ہے,Hard,2,ELITE,1
q_9_bio_ch4_sq_039,1,4.4 Comparison between Meiosis and Mitosis,definition_function,Define Malignant tumour and explain why it is associated with a tumour that invades neighbouring tissues.,مہلک رسولی کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: وہ tumour جو قریبی بافتوں میں داخل ہو جاتا ہے,Hard,2,IMPORTANT,1
q_9_bio_ch4_sq_040,1,4.4 Comparison between Meiosis and Mitosis,concept_explanation,Identify the spreading of cancer cells from one body site to another and briefly explain its importance.,درج ذیل کی شناخت کریں اور مختصر اہمیت بیان کریں: سرطانی خلیات کا جسم کی ایک جگہ سے دوسری جگہ پھیلنا,Hard,2,IMPORTANT,1
