question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_phy_ch1_001,1,1.2 Base and Derived Physical Quantities,Topic,topic_separator,,,,,,1
q_9_phy_ch1_lq_001,1,1.2 Base and Derived Physical Quantities,Long,classification,Explain base and derived physical quantities with suitable examples. Also write the names and symbols of all seven SI base units.,بنیادی اور اخذ شدہ طبعی مقداروں کی مناسب مثالوں سمیت وضاحت کریں۔ نیز تمام سات SI بنیادی اکائیوں کے نام اور علامات لکھیں۔,Easy,5,PRO,1
sep_9_phy_ch1_002,1,1.3 International System of Units,Topic,topic_separator,,,,,,1
q_9_phy_ch1_lq_002,1,1.3 International System of Units,Long,classification,State the most suitable unit for expressing each of the following quantities: (a) thickness of a five-rupee coin | (b) length of a book | (c) length of a football field | (d) distance between two cities | (e) mass of a five-rupee coin | (f) mass of a school bag | (g) duration of a class period | (h) volume of petrol in a car tank | (i) time required to boil one litre of milk.,درج ذیل quantities کو ظاہر کرنے کے لیے موزوں ترین unit بیان کریں: (a) five-rupee coin کی thickness | (b) book کی length | (c) football field کی length | (d) two cities کے درمیان distance | (e) five-rupee coin کی mass | (f) school bag کی mass | (g) class period کی duration | (h) car tank میں petrol کا volume | (i) one litre milk کو boil کرنے کا time,Easy,5,PRO,1
sep_9_phy_ch1_003,1,1.3 Derived Units,Topic,topic_separator,,,,,,1
q_9_phy_ch1_lq_003,1,1.3 Derived Units,Long,explain,Give three examples of derived SI units and explain briefly how each is obtained from base units.,اخذ شدہ SI اکائیوں کی تین مثالیں دیں اور مختصراً وضاحت کریں کہ ہر اکائی بنیادی اکائیوں سے کیسے حاصل ہوتی ہے۔,Medium,5,PRO,1
q_9_phy_ch1_lq_004,1,1.3 Derived Units,Numerical,determine,Convert the density of mercury from 13.6 g cm⁻³ to kg m⁻³.,mercury کی درج ذیل density کو kg m⁻³ میں تبدیل کریں: 13.6 g cm⁻³,Medium,4,PRO,1
sep_9_phy_ch1_004,1,1.3 SI Prefixes,Topic,topic_separator,,,,,,1
q_9_phy_ch1_lq_005,1,1.3 SI Prefixes,Numerical,calculate,"Calculate the number of seconds in (a) one day, (b) one week, and (c) one 30-day month. Express each result using a suitable SI prefix and also in scientific notation.",درج ذیل time intervals میں seconds کی تعداد calculate کریں اور ہر result کو suitable SI prefix اور scientific notation دونوں میں ظاہر کریں: (a) one day | (b) one week | (c) one 30-day month,Medium,4,PRO,1
q_9_phy_ch1_lq_006,1,1.3 SI Prefixes,Numerical,determine,Rewrite the following quantities using correct SI prefixes: (a) 5.0 × 10⁴ cm | (b) 580 × 10² g | (c) 45 × 10⁻⁴ s.,درج ذیل quantities کو correct SI prefixes استعمال کرتے ہوئے دوبارہ لکھیں: (a) 5.0 × 10⁴ cm | (b) 580 × 10² g | (c) 45 × 10⁻⁴ s,Medium,4,PRO,1
sep_9_phy_ch1_005,1,1.4 Scientific Notation,Topic,topic_separator,,,,,,1
q_9_phy_ch1_lq_007,1,1.4 Scientific Notation,Numerical,calculate,Perform the following addition or subtraction and express each result in scientific notation: (a) 4 × 10⁻⁴ kg + 3 × 10⁻⁵ kg | (b) 5.4 × 10⁻⁶ m − 3.2 × 10⁻⁵ m.,درج ذیل addition یا subtraction حل کریں اور ہر result کو scientific notation میں ظاہر کریں: (a) 4 × 10⁻⁴ kg + 3 × 10⁻⁵ kg | (b) 5.4 × 10⁻⁶ m − 3.2 × 10⁻⁵ m,Medium,4,PRO,1
q_9_phy_ch1_lq_008,1,1.4 Scientific Notation,Numerical,calculate,Perform the following multiplication or division and express each result in scientific notation: (a) (5 × 10⁴ m)(3 × 10⁻² m) | (b) (6 × 10⁸ kg)/(3 × 10⁴ m³).,درج ذیل multiplication یا division حل کریں اور ہر result کو scientific notation میں ظاہر کریں: (a) (5 × 10⁴ m)(3 × 10⁻² m) | (b) (6 × 10⁸ kg)/(3 × 10⁴ m³),Medium,4,PRO,1
q_9_phy_ch1_lq_009,1,1.4 Scientific Notation,Numerical,evaluate,Calculate the following expression and state the result in scientific notation: [(3 × 10² kg)(4.0 km)]/(5 × 10² s²).,درج ذیل expression calculate کریں اور result کو scientific notation میں ظاہر کریں: [(3 × 10² kg)(4.0 km)]/(5 × 10² s²),Hard,4,PRO,1
q_9_phy_ch1_lq_010,1,1.4 Scientific Notation,Numerical,determine,Write the following measurements in scientific notation: (a) 0.0035 m | (b) 206.4 × 10² m.,درج ذیل measurements کو scientific notation میں لکھیں: (a) 0.0035 m | (b) 206.4 × 10² m,Easy,4,PRO,1
q_9_phy_ch1_lq_011,1,1.4 Scientific Notation,Numerical,calculate,"A light-year is the distance travelled by light in one year. Taking the speed of light as 3.0 × 10⁸ m s⁻¹, calculate one light-year in metres.",light-year وہ distance ہے جو light one year میں travel کرتی ہے۔ درج ذیل speed استعمال کرتے ہوئے one light-year کو metres میں calculate کریں: 3.0 × 10⁸ m s⁻¹,Hard,4,PRO,1
sep_9_phy_ch1_006,1,1.5 Length Measuring Instruments,Topic,topic_separator,,,,,,1
q_9_phy_ch1_lq_012,1,1.5 Length Measuring Instruments,Long,application_case,"Using a metre scale and a bundle of identical pencils, describe how the diameter of one pencil can be measured with precision comparable to that of Vernier Callipers.",metre scale اور identical pencils کے bundle کو استعمال کرتے ہوئے بیان کریں کہ one pencil کا diameter، Vernier Callipers کے comparable precision کے ساتھ کیسے measure کیا جا سکتا ہے۔,Medium,5,PRO,1
