question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,2.1 Scalars and Vectors,topic_separator,,,,,,1
q_9_phy_ch2_sq_001,1,2.1 Scalars and Vectors,definition_example,Define a scalar quantity and give three suitable examples.,scalar quantity کی تعریف کریں اور تین مناسب مثالیں دیں۔,Easy,2,PRO,1
q_9_phy_ch2_sq_002,1,2.1 Scalars and Vectors,definition_example,Define a vector quantity and give three suitable examples.,vector quantity کی تعریف کریں اور تین مناسب مثالیں دیں۔,Easy,2,PRO,1
q_9_phy_ch2_sq_003,1,2.1 Scalars and Vectors,difference,Differentiate between scalar and vector quantities using magnitude and direction.,magnitude اور direction کے لحاظ سے scalar اور vector quantities میں فرق بیان کریں۔,Medium,2,PRO,1
TOPIC_SEP,1,2.1 Representation of Vectors,topic_separator,,,,,,1
q_9_phy_ch2_sq_004,1,2.1 Representation of Vectors,features_characteristics,State how the magnitude and direction of a vector are represented graphically.,بیان کریں کہ vector کی magnitude اور direction کو graphically کیسے represent کیا جاتا ہے۔,Easy,2,ULTRA,1
q_9_phy_ch2_sq_005,1,2.1 Representation of Vectors,application_scenario,Explain how the direction of a vector is indicated when it is written without bold type.,وضاحت کریں کہ vector کو bold type کے بغیر لکھنے پر اس کی direction کیسے ظاہر کی جاتی ہے۔,Medium,2,PRO,1
q_9_phy_ch2_sq_006,1,2.1 Representation of Vectors,process_steps,Describe the steps for drawing a vector of a given magnitude and direction using a suitable scale.,مناسب scale استعمال کرتے ہوئے دی گئی magnitude اور direction کا vector draw کرنے کے steps بیان کریں۔,Medium,2,ELITE,1
TOPIC_SEP,1,2.1 Resultant Vector,topic_separator,,,,,,1
q_9_phy_ch2_sq_007,1,2.1 Resultant Vector,definition_function,Define a resultant vector and state what combined effect it represents.,resultant vector کی تعریف کریں اور بیان کریں کہ یہ کس combined effect کو represent کرتا ہے۔,Medium,2,ULTRA,1
TOPIC_SEP,1,2.1 Addition of Vectors,topic_separator,,,,,,1
q_9_phy_ch2_sq_008,1,2.1 Addition of Vectors,law_principle,State the head-to-tail rule for the graphical addition of vectors.,vectors کی graphical addition کے لیے head-to-tail rule بیان کریں۔,Easy,2,PRO,1
TOPIC_SEP,1,2.2 Rest and Motion,topic_separator,,,,,,1
q_9_phy_ch2_sq_009,1,2.2 Rest and Motion,difference,Differentiate between rest and motion with reference to surroundings.,surroundings کے حوالے سے rest اور motion میں فرق بیان کریں۔,Easy,2,PRO,1
q_9_phy_ch2_sq_010,1,2.2 Rest and Motion,concept_explanation,Explain why the state of rest or motion of a body is relative.,وضاحت کریں کہ body کی rest یا motion کی state relative کیوں ہوتی ہے۔,Medium,2,ELITE,1
TOPIC_SEP,1,2.3 Types of Motion,topic_separator,,,,,,1
q_9_phy_ch2_sq_011,1,2.3 Types of Motion,classification,"Classify motion into translatory, rotatory, and vibratory motion and give one example of each.",motion کو translatory، rotatory اور vibratory motion میں classify کریں اور ہر ایک کی ایک example دیں۔,Easy,2,PRO,1
TOPIC_SEP,1,2.3 Translatory Motion,topic_separator,,,,,,1
q_9_phy_ch2_sq_012,1,2.3 Translatory Motion,classification,Name the three types of translatory motion and give one example of each.,translatory motion کی تین types کے نام لکھیں اور ہر ایک کی ایک example دیں۔,Easy,2,ULTRA,1
q_9_phy_ch2_sq_013,1,2.3 Types of Motion,difference,Differentiate between rotatory and vibratory motion using their paths and examples.,path اور examples کے لحاظ سے rotatory اور vibratory motion میں فرق بیان کریں۔,Medium,2,PRO,1
TOPIC_SEP,1,2.4 Distance and Displacement,topic_separator,,,,,,1
q_9_phy_ch2_sq_014,1,2.4 Distance and Displacement,difference,"Differentiate between distance and displacement using path, direction, and type of quantity.",path، direction اور quantity کی type کے لحاظ سے distance اور displacement میں فرق بیان کریں۔,Medium,2,PRO,1
q_9_phy_ch2_sq_015,1,2.4 Distance and Displacement,concept_explanation,Explain when the magnitude of displacement can be equal to the distance travelled.,وضاحت کریں کہ displacement کی magnitude، travelled distance کے equal کب ہو سکتی ہے۔,Medium,2,PRO,1
q_9_phy_ch2_sq_016,1,2.4 Distance and Displacement,application_scenario,A runner completes one full circular lap and returns to the starting point. State the distance and displacement conditions.,runner ایک مکمل circular lap کے بعد starting point پر واپس آتا ہے۔ distance اور displacement کی conditions بیان کریں۔,Hard,2,ELITE,1
