question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,6.1 Deformation of Solids,topic_separator,,,,,,1
q_9_phy_ch6_sq_001,1,6.1 Deformation of Solids,definition_example,Define deforming force and give one example of extension and one of compression.,deforming force کی تعریف کریں اور extension اور compression کی ایک ایک example دیں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,6.1 Elasticity,topic_separator,,,,,,1
q_9_phy_ch6_sq_002,1,6.1 Elasticity,definition_function,Define elasticity and state what happens when the elastic limit is exceeded.,elasticity کی تعریف کریں اور بیان کریں کہ elastic limit exceed ہونے پر کیا ہوتا ہے۔,Easy,2,PRO,1
TOPIC_SEP,1,6.1 Elastic and Inelastic Materials,topic_separator,,,,,,1
q_9_phy_ch6_sq_003,1,6.1 Elastic and Inelastic Materials,difference,Differentiate between elastic and inelastic materials and give one example of each.,elastic اور inelastic materials میں فرق بیان کریں اور ہر ایک کی ایک example دیں۔,Medium,2,ELITE,1
TOPIC_SEP,1,6.1 Elastic Limit,topic_separator,,,,,,1
q_9_phy_ch6_sq_004,1,6.1 Elastic Limit,explain_reason,Explain why a material does not regain its original shape after deformation beyond the elastic limit.,وضاحت کریں کہ elastic limit سے beyond deformation کے بعد material original shape کیوں regain نہیں کرتی۔,Medium,2,PRO,1
TOPIC_SEP,1,6.2 Hooke's Law,topic_separator,,,,,,1
q_9_phy_ch6_sq_005,1,6.2 Hooke's Law,law_principle,State Hooke's law and write its mathematical relationship.,Hooke's law بیان کریں اور اس کا mathematical relationship لکھیں۔,Easy,2,PRO,1
TOPIC_SEP,1,6.2 Spring Constant,topic_separator,,,,,,1
q_9_phy_ch6_sq_006,1,6.2 Spring Constant,definition_unit,Define spring constant and state its SI unit and physical meaning.,spring constant کی تعریف کریں اور اس کی SI unit اور physical meaning بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,6.2 Load-Extension Graph,topic_separator,,,,,,1
q_9_phy_ch6_sq_007,1,6.2 Load-Extension Graph,diagram_based,Describe the force-extension graph within and beyond the elastic limit and state what its gradient represents.,elastic limit کے within اور beyond force-extension graph بیان کریں اور اس کا gradient کیا represent کرتا ہے یہ state کریں۔,Hard,2,PRO,1
TOPIC_SEP,1,6.2 Hooke's Law Experiment,topic_separator,,,,,,1
