question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,4.1 Parallel Forces,Topic,,,,,,,,,,,1
q_9_phy_ch4_001,1,4.1 Parallel Forces,Remember,Parallel forces acting in the same direction are called:,same direction میں acting parallel forces کو کیا کہتے ہیں؟,Like parallel forces / like parallel forces,Unlike parallel forces / unlike parallel forces,Centripetal forces / centripetal forces,Balanced couples / balanced couples,A | Like parallel forces / like parallel forces,Easy,1,ULTRA,1
q_9_phy_ch4_002,1,4.1 Parallel Forces,Remember,Parallel forces acting in opposite directions are called:,opposite directions میں acting parallel forces کو کیا کہتے ہیں؟,Like parallel forces / like parallel forces,Unlike parallel forces / unlike parallel forces,Scalar forces / scalar forces,Radial forces / radial forces,B | Unlike parallel forces / unlike parallel forces,Easy,1,ULTRA,1
TOPIC_SEP,1,4.2 Addition of Forces,Topic,,,,,,,,,,,1
q_9_phy_ch4_003,1,4.2 Addition of Forces,Remember,A single force having the same effect as several forces is called:,کئی forces کے same effect والی single force کو کیا کہتے ہیں؟,Moment arm / moment arm,Resultant force / resultant force,Couple arm / couple arm,Centre of gravity / centre of gravity,B | Resultant force / resultant force,Easy,1,PRO,1
q_9_phy_ch4_004,1,4.2 Addition of Forces,Analyze,Two forces of 4 N and 3 N act simultaneously on a particle. The resultant magnitude must lie:,4 N اور 3 N forces simultaneously particle پر act کرتی ہیں۔ resultant magnitude کس range میں ہوگی؟,Between 1 N and 7 N / 1 N اور 7 N کے درمیان,Exactly 8 N,Exactly 0 N,Greater than 10 N,A | Between 1 N and 7 N / 1 N اور 7 N کے درمیان,Hard,1,PRO,1
TOPIC_SEP,1,4.4 Resolution of Vectors,Topic,,,,,,,,,,,1
q_9_phy_ch4_005,1,4.4 Resolution of Vectors,Remember,The component of force F along the x-axis is:,force F کا x-axis کے along component کیا ہے؟,F sinθ,F tanθ,F/θ,F cosθ,D | F cosθ,Medium,1,PRO,1
q_9_phy_ch4_006,1,4.4 Resolution of Vectors,Remember,The component of force F along the y-axis is:,force F کا y-axis کے along component کیا ہے؟,F cosθ,F/ sinθ,Fθ,F sinθ,D | F sinθ,Medium,1,PRO,1
q_9_phy_ch4_007,1,4.4 Resolution of Vectors,Apply,A 200 N force acts at 30° above the horizontal. Its vertical component is:,200 N force horizontal سے 30° above act کرتی ہے۔ vertical component معلوم کریں۔,173.2 N,100 N,200 N,50 N,B | 100 N,Hard,1,PRO,1
q_9_phy_ch4_008,1,4.4 Resolution of Vectors,Apply,A force F makes an angle of 60° with the x-axis. Its y-component is:,force F، x-axis کے ساتھ 60° angle بناتی ہے۔ y-component کیا ہے؟,F cos60°,F tan60°,F,F sin60°,D | F sin60°,Medium,1,PRO,1
TOPIC_SEP,1,4.3 Line of Action and Moment,Topic,,,,,,,,,,,1
q_9_phy_ch4_009,1,4.3 Line of Action and Moment,Remember,The line along which a force acts is called its:,وہ line جس کے along force act کرتی ہے کیا کہلاتی ہے؟,Moment arm / moment arm,Line of action / line of action,Axis of mass / axis of mass,Velocity line / velocity line,B | Line of action / line of action,Easy,1,PRO,1
q_9_phy_ch4_010,1,4.3 Line of Action and Moment,Remember,The perpendicular distance from the axis of rotation to the line of action is the:,axis of rotation سے line of action تک perpendicular distance کیا کہلاتا ہے؟,Resultant force / resultant force,Centre of mass / centre of mass,Angular speed / angular speed,Moment arm / moment arm,D | Moment arm / moment arm,Easy,1,PRO,1
q_9_phy_ch4_011,1,4.3 Line of Action and Moment,Remember,The moment or torque of a force is calculated by:,force کا moment یا torque کیسے calculate کیا جاتا ہے؟,τ = F × perpendicular distance,τ = F/area,τ = mv,τ = W/t,A | τ = F × perpendicular distance,Easy,1,PRO,1
q_9_phy_ch4_012,1,4.3 Line of Action and Moment,Remember,The SI unit of torque is:,torque کی SI unit کیا ہے؟,N·m,N/m²,kg/m³,J/s,A | N·m,Easy,1,ULTRA,1
TOPIC_SEP,1,4.3 Couple,Topic,,,,,,,,,,,1
