question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,9.1 Science and Physical Sciences,Topic,,,,,,,,,,,1
q_9_phy_ch9_001,1,9.1 Science and Physical Sciences,Remember,Science is described as collective knowledge about:,science کو کس کے بارے میں collective knowledge کہا گیا ہے؟,Only personal opinions / صرف personal opinions,Only machines / صرف machines,Only social customs / صرف social customs,"Natural phenomena, processes and events / natural phenomena، processes اور events","D | Natural phenomena, processes and events / natural phenomena، processes اور events",Easy,1,ULTRA,1
q_9_phy_ch9_002,1,9.1 Science and Physical Sciences,Remember,The two main groups of science discussed are:,science کے two main groups کون سے ہیں؟,Mechanics and optics / mechanics اور optics,Technology and engineering / technology اور engineering,Matter and energy / matter اور energy,Biological sciences and physical sciences / biological sciences اور physical sciences,D | Biological sciences and physical sciences / biological sciences اور physical sciences,Easy,1,PRO,1
TOPIC_SEP,1,9.1 Scope of Physics,Topic,,,,,,,,,,,1
q_9_phy_ch9_003,1,9.1 Scope of Physics,Remember,Physics belongs to:,Physics کس group سے belong کرتی ہے؟,Social sciences / social sciences,Biological sciences only / صرف biological sciences,Physical sciences / physical sciences,Fine arts / fine arts,C | Physical sciences / physical sciences,Easy,1,PRO,1
q_9_phy_ch9_004,1,9.1 Scope of Physics,Remember,"Physics studies matter, energy, space, time and their:",Physics matter، energy، space، time اور ان کے کس aspect کو study کرتی ہے؟,Colours only / صرف colours,Names only / صرف names,Mutual relationships and interactions / mutual relationships اور interactions,Economic prices / economic prices,C | Mutual relationships and interactions / mutual relationships اور interactions,Hard,1,PRO,1
TOPIC_SEP,1,9.2 Branches of Physics,Topic,,,,,,,,,,,1
q_9_phy_ch9_005,1,9.2 Branches of Physics,Remember,Which branch studies motion and its physical effects?,کون سی branch motion اور اس کے physical effects کو study کرتی ہے؟,Mechanics / mechanics,Optics / optics,Acoustics / acoustics,Cosmology / cosmology,A | Mechanics / mechanics,Easy,1,PRO,1
q_9_phy_ch9_006,1,9.2 Branches of Physics,Remember,Which branch deals with thermal energy and its transfer?,کون سی branch thermal energy اور اس کی transfer سے deal کرتی ہے؟,Particle physics / particle physics,Heat and thermodynamics / heat and thermodynamics,Optics / optics,Astronomy / astronomy,B | Heat and thermodynamics / heat and thermodynamics,Easy,1,PRO,1
q_9_phy_ch9_007,1,9.2 Branches of Physics,Remember,Which branch deals with audible sound?,کون سی branch audible sound سے deal کرتی ہے؟,Optics / optics,Nuclear physics / nuclear physics,Acoustics / acoustics,Cosmology / cosmology,C | Acoustics / acoustics,Easy,1,PRO,1
q_9_phy_ch9_008,1,9.2 Branches of Physics,Remember,Which branch deals with visible light?,کون سی branch visible light سے deal کرتی ہے؟,Acoustics / acoustics,Optics / optics,Mechanics / mechanics,Geophysics / geophysics,B | Optics / optics,Easy,1,PRO,1
q_9_phy_ch9_009,1,9.2 Branches of Physics,Remember,Which branch studies the relationship between electric current and magnetic field?,کون سی branch electric current اور magnetic field کے relationship کو study کرتی ہے؟,Thermodynamics / thermodynamics,Astronomy / astronomy,Biophysics / biophysics,Electromagnetism / electromagnetism,D | Electromagnetism / electromagnetism,Easy,1,PRO,1
q_9_phy_ch9_010,1,9.2 Branches of Physics,Remember,Which branch explains particles at atomic and subatomic levels?,کون سی branch atomic اور subatomic levels پر particles کو explain کرتی ہے؟,Quantum mechanics / quantum mechanics,Classical mechanics / classical mechanics,Acoustics / acoustics,Climate physics / climate physics,A | Quantum mechanics / quantum mechanics,Hard,1,ULTRA,1
q_9_phy_ch9_011,1,9.2 Branches of Physics,Remember,Which branch explains how space and time depend on gravity and speed?,کون سی branch explain کرتی ہے کہ space اور time gravity اور speed پر کیسے depend کرتے ہیں؟,Solid-state physics / solid-state physics,Relativistic mechanics / relativistic mechanics,Heat / heat,Acoustics / acoustics,B | Relativistic mechanics / relativistic mechanics,Medium,1,ULTRA,1
q_9_phy_ch9_012,1,9.2 Branches of Physics,Remember,Which branch studies atomic nuclei?,کون سی branch atomic nuclei کو study کرتی ہے؟,Nuclear physics / nuclear physics,Particle physics / particle physics,Optics / optics,Astronomy / astronomy,A | Nuclear physics / nuclear physics,Medium,1,PRO,1
q_9_phy_ch9_013,1,9.2 Branches of Physics,Remember,Which branch studies subatomic and elementary particles?,کون سی branch subatomic اور elementary particles کو study کرتی ہے؟,Nuclear physics only / صرف nuclear physics,Particle physics / particle physics,Thermodynamics / thermodynamics,Acoustics / acoustics,B | Particle physics / particle physics,Medium,1,PRO,1
q_9_phy_ch9_014,1,9.2 Branches of Physics,Remember,"Which branch studies planets, stars and galaxies?",کون سی branch planets، stars اور galaxies کو study کرتی ہے؟,Mechanics / mechanics,Acoustics / acoustics,Solid-state physics / solid-state physics,Astronomy / astronomy,D | Astronomy / astronomy,Easy,1,PRO,1
q_9_phy_ch9_015,1,9.2 Branches of Physics,Remember,Which branch explores the large-scale structure and evolution of the universe?,کون سی branch universe کی large-scale structure اور evolution کو explore کرتی ہے؟,Cosmology / cosmology,Optics / optics,Heat / heat,Electromagnetism / electromagnetism,A | Cosmology / cosmology,Medium,1,ELITE,1
q_9_phy_ch9_016,1,9.2 Branches of Physics,Remember,Which branch studies specific properties of matter in solid form?,کون سی branch solid form میں matter کی specific properties کو study کرتی ہے؟,Astronomy / astronomy,Solid-state physics / solid-state physics,Acoustics / acoustics,Climate physics / climate physics,B | Solid-state physics / solid-state physics,Medium,1,ELITE,1
TOPIC_SEP,1,9.3 Interdisciplinary Fields,Topic,,,,,,,,,,,1
q_9_phy_ch9_017,1,9.3 Interdisciplinary Fields,Remember,Biophysics applies physics to:,biophysics، physics کو کس field میں apply کرتی ہے؟,Biological systems and processes / biological systems اور processes,Only bridge design / صرف bridge design,Only weather forecasting / صرف weather forecasting,Only computer software / صرف computer software,A | Biological systems and processes / biological systems اور processes,Medium,1,PRO,1
q_9_phy_ch9_018,1,9.3 Interdisciplinary Fields,Remember,Medical physics includes imaging techniques such as:,medical physics میں کون سی imaging techniques شامل ہیں؟,Only metre rules and stopwatches / صرف metre rules اور stopwatches,Only hydraulic presses / صرف hydraulic presses,"X-rays, ultrasound, MRI and CT scan / X-rays، ultrasound، MRI اور CT scan",Only wind turbines / صرف wind turbines,"C | X-rays, ultrasound, MRI and CT scan / X-rays، ultrasound، MRI اور CT scan",Medium,1,PRO,1
q_9_phy_ch9_019,1,9.3 Interdisciplinary Fields,Remember,Astrophysics studies:,astrophysics کیا study کرتی ہے؟,Physical properties and processes of celestial bodies / celestial bodies کی physical properties اور processes,Only living cells / صرف living cells,Only road vehicles / صرف road vehicles,Only household circuits / صرف household circuits,A | Physical properties and processes of celestial bodies / celestial bodies کی physical properties اور processes,Medium,1,PRO,1
q_9_phy_ch9_020,1,9.3 Interdisciplinary Fields,Remember,Geophysics applies physics to the study of:,geophysics، physics کو کس study میں apply کرتی ہے؟,Only human biology / صرف human biology,Only software applications / صرف software applications,Earth's internal structure and fields / Earth کی internal structure اور fields,Only sound in halls / صرف halls میں sound,C | Earth's internal structure and fields / Earth کی internal structure اور fields,Medium,1,PRO,1
q_9_phy_ch9_021,1,9.3 Interdisciplinary Fields,Remember,Climate physics deals with physical processes in:,climate physics کن physical processes سے deal کرتی ہے؟,The environment and atmosphere / environment اور atmosphere,Only atomic nuclei / صرف atomic nuclei,Only metal crystals / صرف metal crystals,Only musical instruments / صرف musical instruments,A | The environment and atmosphere / environment اور atmosphere,Medium,1,ELITE,1
