question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_phy_ch5_001,1,5.2 Kinetic Energy,Topic,topic_separator,,,,,,1
q_9_phy_ch5_lq_001,1,5.2 Kinetic Energy,Long,state_and_explain,"Define kinetic energy, state its SI unit, and explain how it depends on the mass and speed of a moving body.",kinetic energy کی تعریف کریں، اس کی SI unit بیان کریں، اور explain کریں کہ یہ moving body کی mass اور speed پر کیسے depend کرتی ہے۔,Easy,5,PRO,1
sep_9_phy_ch5_002,1,5.3 Conservation of Energy,Topic,topic_separator,,,,,,1
q_9_phy_ch5_lq_002,1,5.3 Conservation of Energy,Long,state_and_explain,State the principle of conservation of energy and explain the continuous interchange of gravitational potential energy and kinetic energy in a freely falling body.,principle of conservation of energy کو state کریں اور freely falling body میں gravitational potential energy اور kinetic energy کے continuous interchange کو explain کریں۔,Medium,5,PRO,1
sep_9_phy_ch5_003,1,5.4–5.5 Renewable and Non-Renewable Energy Sources,Topic,topic_separator,,,,,,1
q_9_phy_ch5_lq_003,1,5.4–5.5 Renewable and Non-Renewable Energy Sources,Long,compare,Differentiate between renewable and non-renewable energy sources and give three textbook-supported examples of each.,renewable اور non-renewable energy sources میں فرق بیان کریں اور ہر ایک کی تین textbook-supported examples دیں۔,Easy,5,PRO,1
sep_9_phy_ch5_004,1,5.8 Efficiency,Topic,topic_separator,,,,,,1
q_9_phy_ch5_lq_004,1,5.8 Efficiency,Long,state_and_explain,"Define the efficiency of a machine, explain how it is calculated, and discuss why the efficiency of a real machine is always less than 100%.",machine کی efficiency کی تعریف کریں، explain کریں کہ اسے کیسے calculate کیا جاتا ہے، اور discuss کریں کہ real machine کی efficiency ہمیشہ 100% سے less کیوں ہوتی ہے۔,Medium,5,PRO,1
sep_9_phy_ch5_005,1,5.4 Electricity Generation,Topic,topic_separator,,,,,,1
q_9_phy_ch5_lq_005,1,5.4 Electricity Generation,Long,process_procedure,"Describe, with block diagrams, the main energy-conversion stages in (a) hydroelectric power generation and (b) electricity generation using fossil fuels.",block diagrams کے ساتھ main energy-conversion stages بیان کریں: (a) hydroelectric power generation | (b) fossil fuels سے electricity generation,Hard,5,PRO,1
q_9_phy_ch5_lq_006,1,5.2 Kinetic Energy,Long,application_case,Discuss whether kinetic energy can be negative. Compare the kinetic energies of a body of mass m moving with speed v and a body of mass 2m moving with speed v/2.,discuss کریں کہ kinetic energy negative ہو سکتی ہے یا نہیں۔ mass m اور speed v والی body کی kinetic energy کو mass 2m اور speed v/2 والی body کے ساتھ compare کریں۔,Medium,5,PRO,1
sep_9_phy_ch5_006,1,5.2 Kinetic Energy in Circular Motion,Topic,topic_separator,,,,,,1
q_9_phy_ch5_lq_007,1,5.2 Kinetic Energy in Circular Motion,Long,application_case,A car moves around a curved road with constant speed. Explain whether its kinetic energy changes and justify the answer.,car curved road پر constant speed سے move کرتی ہے۔ explain کریں کہ اس کی kinetic energy change ہوتی ہے یا نہیں، اور answer justify کریں۔,Easy,5,PRO,1
sep_9_phy_ch5_007,1,5.2–5.3 Energy Transformations,Topic,topic_separator,,,,,,1
q_9_phy_ch5_lq_008,1,5.2–5.3 Energy Transformations,Long,application_case,Explain the energy transformations when a cricket ball strikes and breaks a window pane.,cricket ball کے window pane کو strike کرکے break کرنے کے دوران energy transformations explain کریں۔,Medium,5,PRO,1
sep_9_phy_ch5_008,1,5.1 Work,Topic,topic_separator,,,,,,1
q_9_phy_ch5_lq_009,1,5.1 Work,Long,application_case,A man rows a boat upstream but remains at rest relative to the riverbank. Discuss whether he is doing mechanical work on the boat and justify the answer.,man boat کو upstream row کرتا ہے مگر riverbank کے relative rest میں رہتا ہے۔ discuss کریں کہ وہ boat پر mechanical work کر رہا ہے یا نہیں، اور answer justify کریں۔,Hard,5,PRO,1
