question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,8.1 Magnetic Materials,Topic,,,,,,,,,,,1
q_9_phy_ch8_001,1,8.1 Magnetic Materials,Remember,Which material is strongly magnetic?,کون سا material strongly magnetic ہے؟,Wood / wood,Iron / iron,Plastic / plastic,Glass / glass,B | Iron / iron,Easy,1,PRO,1
q_9_phy_ch8_002,1,8.1 Magnetic Materials,Apply,Which material listed in the exercise is not magnetic?,exercise میں listed کون سا material magnetic نہیں ہے؟,Aluminium / aluminium,Cobalt / cobalt,Iron / iron,Nickel / nickel,A | Aluminium / aluminium,Easy,1,PRO,1
q_9_phy_ch8_003,1,8.1 Magnetic Materials,Remember,Magnetic materials can be attracted by a magnet even when they are:,magnetic materials magnet سے attract ہو سکتی ہیں even when they are کیا؟,Not in direct contact / direct contact میں نہ ہوں,At absolute zero only / صرف absolute zero پر,Inside a liquid only / صرف liquid کے اندر,Without electrons / electrons کے بغیر,A | Not in direct contact / direct contact میں نہ ہوں,Easy,1,ULTRA,1
q_9_phy_ch8_004,1,8.1 Magnetic Materials,Understand,A magnet can be distinguished from an unmagnetised magnetic material by testing for:,magnet کو unmagnetised magnetic material سے distinguish کرنے کے لیے کس effect کا test کیا جاتا ہے؟,Attraction only / صرف attraction,Heating / heating,Repulsion / repulsion,Density / density,C | Repulsion / repulsion,Hard,1,PRO,1
TOPIC_SEP,1,8.2 Properties of Magnets,Topic,,,,,,,,,,,1
q_9_phy_ch8_005,1,8.2 Properties of Magnets,Remember,Every magnet has:,ہر magnet کے کتنے poles ہوتے ہیں؟,Two poles / two poles,One isolated pole / one isolated pole,Three poles / three poles,No poles / no poles,A | Two poles / two poles,Easy,1,PRO,1
q_9_phy_ch8_006,1,8.2 Properties of Magnets,Remember,Like magnetic poles:,like magnetic poles کیا کرتے ہیں؟,Attract / attract,Repel / repel,Disappear / disappear,Produce no field / no field produce کرتے ہیں,B | Repel / repel,Easy,1,PRO,1
q_9_phy_ch8_007,1,8.2 Properties of Magnets,Remember,Unlike magnetic poles:,unlike magnetic poles کیا کرتے ہیں؟,Repel / repel,Attract / attract,Have zero force / zero force رکھتے ہیں,Become electric charges / electric charges بن جاتے ہیں,B | Attract / attract,Easy,1,PRO,1
q_9_phy_ch8_008,1,8.2 Properties of Magnets,Understand,Cutting a bar magnet into two pieces produces:,bar magnet کو two pieces میں cut کرنے سے کیا produce ہوتا ہے؟,An isolated north pole and isolated south pole / isolated north pole اور isolated south pole,Two non-magnetic pieces always / always two non-magnetic pieces,Only one magnetic pole / صرف one magnetic pole,"Two smaller magnets, each with north and south poles / two smaller magnets، ہر ایک کے north اور south poles","D | Two smaller magnets, each with north and south poles / two smaller magnets، ہر ایک کے north اور south poles",Hard,1,ULTRA,1
TOPIC_SEP,1,8.3 Induced Magnetism,Topic,,,,,,,,,,,1
q_9_phy_ch8_009,1,8.3 Induced Magnetism,Remember,Induced magnetism occurs when a magnetic material becomes magnetised due to:,induced magnetism کب occur ہوتی ہے؟,A nearby magnetic field / nearby magnetic field,Heating alone / صرف heating,Mechanical pressure only / صرف mechanical pressure,A temperature scale / temperature scale,A | A nearby magnetic field / nearby magnetic field,Easy,1,PRO,1
q_9_phy_ch8_010,1,8.3 Induced Magnetism,Understand,The end of an iron piece nearest a north pole becomes:,north pole کے nearest iron piece کا end کیا بن جاتا ہے؟,A north pole / north pole,Electrically neutral with no magnetism / no magnetism کے ساتھ electrically neutral,A south pole / south pole,A permanent electric charge / permanent electric charge,C | A south pole / south pole,Medium,1,PRO,1
q_9_phy_ch8_011,1,8.3 Induced Magnetism,Understand,Attraction alone cannot prove that an object is a magnet because:,صرف attraction object کے magnet ہونے کو prove کیوں نہیں کرتی؟,Magnets never attract anything / magnets کبھی کچھ attract نہیں کرتے,A magnet also attracts unmagnetised magnetic material / magnet unmagnetised magnetic material کو بھی attract کرتا ہے,Only electric charges attract / صرف electric charges attract کرتے ہیں,All materials repel magnets / تمام materials magnets کو repel کرتے ہیں,B | A magnet also attracts unmagnetised magnetic material / magnet unmagnetised magnetic material کو بھی attract کرتا ہے,Hard,1,ELITE,1
TOPIC_SEP,1,8.4 Temporary and Permanent Magnets,Topic,,,,,,,,,,,1
q_9_phy_ch8_012,1,8.4 Temporary and Permanent Magnets,Remember,A temporary magnet retains magnetism:,temporary magnet magnetism کب retain کرتی ہے؟,Forever after the field is removed / field remove ہونے کے بعد forever,Only when heated strongly / صرف strongly heated ہونے پر,Mainly while the magnetising field is present / mainly magnetising field present ہونے تک,Without any magnetic field / کسی magnetic field کے بغیر,C | Mainly while the magnetising field is present / mainly magnetising field present ہونے تک,Medium,1,PRO,1
q_9_phy_ch8_013,1,8.4 Temporary and Permanent Magnets,Remember,A permanent magnet is commonly made from:,permanent magnet commonly کس material سے made ہوتی ہے؟,Steel / steel,Soft iron / soft iron,Wood / wood,Plastic / plastic,A | Steel / steel,Easy,1,PRO,1
q_9_phy_ch8_014,1,8.4 Temporary and Permanent Magnets,Remember,An electromagnet normally uses a core of:,electromagnet normally کس core کو use کرتی ہے؟,Steel for permanent retention / permanent retention کے لیے steel,Glass / glass,Aluminium only / صرف aluminium,Soft iron / soft iron,D | Soft iron / soft iron,Medium,1,PRO,1
