question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,21.1 Introduction and Open-Chain Organic Compounds,Topic,,,,,,,,,,,1
q_10_chem_ch21_001,1,21.1 Introduction and Open-Chain Organic Compounds,Remember,What branch of chemistry studies hydrocarbons and their derivatives?,chemistry کی کون سی branch hydrocarbons اور ان کے derivatives کا مطالعہ کرتی ہے؟,Electrochemistry / electrochemistry,Chemical kinetics / chemical kinetics,Organic chemistry / organic chemistry,Inorganic salt chemistry / inorganic salt chemistry,C | Organic chemistry / organic chemistry,Easy,1,PRO,1
q_10_chem_ch21_002,1,21.1 Introduction and Open-Chain Organic Compounds,Remember,Which elements are present in the majority of organic compounds?,organic compounds کی majority میں کون سے elements موجود ہوتے ہیں؟,Sodium and chlorine / sodium اور chlorine,Calcium and magnesium / calcium اور magnesium,Nitrogen and sulphur only / صرف nitrogen اور sulphur,Carbon and hydrogen / carbon اور hydrogen,D | Carbon and hydrogen / carbon اور hydrogen,Easy,1,ULTRA,1
q_10_chem_ch21_003,1,21.1 Introduction and Open-Chain Organic Compounds,Remember,Which carbon compounds are conventionally studied as inorganic compounds?,کون سے carbon compounds conventionally inorganic compounds کے طور پر پڑھے جاتے ہیں؟,"Alkanes, alkenes and alcohols / alkanes، alkenes اور alcohols","Carbon oxides, carbonates and hydrogen carbonates / carbon oxides، carbonates اور hydrogen carbonates","Aldehydes, ketones and esters / aldehydes، ketones اور esters",Carboxylic acids and amines / carboxylic acids اور amines,"B | Carbon oxides, carbonates and hydrogen carbonates / carbon oxides، carbonates اور hydrogen carbonates",Easy,1,PRO,1
q_10_chem_ch21_004,1,21.1 Introduction and Open-Chain Organic Compounds,Understand,What is an open-chain or acyclic organic compound?,open-chain یا acyclic organic compound کیا ہوتا ہے؟,A compound containing only a benzene ring / compound جس میں صرف benzene ring ہو,A compound containing an open chain of carbon atoms / compound جس میں carbon atoms کی open chain ہو,A compound containing no carbon atoms / compound جس میں carbon atoms نہ ہوں,A compound containing only ionic bonds / compound جس میں صرف ionic bonds ہوں,B | A compound containing an open chain of carbon atoms / compound جس میں carbon atoms کی open chain ہو,Medium,1,PRO,1
q_10_chem_ch21_005,1,21.1 Introduction and Open-Chain Organic Compounds,Understand,Which two forms can an open carbon chain have?,open carbon chain کی کون سی two forms ہو سکتی ہیں؟,Only aromatic and heterocyclic / صرف aromatic اور heterocyclic,Only saturated and ionic / صرف saturated اور ionic,Straight-chain and branched-chain / straight-chain اور branched-chain,Only metallic and non-metallic / صرف metallic اور non-metallic,C | Straight-chain and branched-chain / straight-chain اور branched-chain,Medium,1,ULTRA,1
q_10_chem_ch21_006,1,21.1 Introduction and Open-Chain Organic Compounds,Analyze,Which compound is a branched-chain organic compound?,کون سا compound branched-chain organic compound ہے؟,Butane / butane,But-1-ene / but-1-ene,2-Methylpropane / 2-methylpropane,Butan-1-ol / butan-1-ol,C | 2-Methylpropane / 2-methylpropane,Hard,1,ELITE,1
TOPIC_SEP,1,"21.1 Closed-Chain, Alicyclic and Aromatic Compounds",Topic,,,,,,,,,,,1
q_10_chem_ch21_007,1,"21.1 Closed-Chain, Alicyclic and Aromatic Compounds",Remember,What is a closed-chain organic compound?,closed-chain organic compound کیا ہوتا ہے؟,A compound containing one or more rings of atoms / compound جس میں atoms کی one or more rings ہوں,A compound containing only a straight carbon chain / compound جس میں صرف straight carbon chain ہو,A compound containing no covalent bonds / compound جس میں covalent bonds نہ ہوں,A compound containing only hydrogen atoms / compound جس میں صرف hydrogen atoms ہوں,A | A compound containing one or more rings of atoms / compound جس میں atoms کی one or more rings ہوں,Easy,1,PRO,1
q_10_chem_ch21_008,1,"21.1 Closed-Chain, Alicyclic and Aromatic Compounds",Remember,What is a carbocyclic compound?,carbocyclic compound کیا ہوتا ہے؟,A ring containing no carbon atom / ring جس میں carbon atom نہ ہو,A cyclic compound whose ring contains carbon atoms only / cyclic compound جس کی ring میں صرف carbon atoms ہوں,An open-chain compound containing oxygen / open-chain compound جس میں oxygen ہو,An ionic compound containing carbonate ions / ionic compound جس میں carbonate ions ہوں,B | A cyclic compound whose ring contains carbon atoms only / cyclic compound جس کی ring میں صرف carbon atoms ہوں,Easy,1,ULTRA,1
q_10_chem_ch21_009,1,"21.1 Closed-Chain, Alicyclic and Aromatic Compounds",Remember,What is the general formula of saturated alicyclic hydrocarbons?,saturated alicyclic hydrocarbons کی general formula کیا ہے؟,CₙH₂ₙ₊₂ / CₙH₂ₙ₊₂,CₙH₂ₙ / CₙH₂ₙ,CₙH₂ₙ₋₂ / CₙH₂ₙ₋₂,CₙH₂ₙ₊₁OH / CₙH₂ₙ₊₁OH,B | CₙH₂ₙ / CₙH₂ₙ,Easy,1,PRO,1
q_10_chem_ch21_010,1,"21.1 Closed-Chain, Alicyclic and Aromatic Compounds",Understand,How does a heterocyclic compound differ from a carbocyclic compound?,heterocyclic compound، carbocyclic compound سے کیسے different ہوتا ہے؟,Its ring contains carbon atoms only / اس کی ring میں صرف carbon atoms ہوتے ہیں,It has no ring structure / اس میں ring structure نہیں ہوتی,Its ring contains atoms other than carbon along with carbon / اس کی ring میں carbon کے ساتھ دوسرے atoms بھی ہوتے ہیں,It contains only single carbon-carbon bonds / اس میں صرف single carbon-carbon bonds ہوتے ہیں,C | Its ring contains atoms other than carbon along with carbon / اس کی ring میں carbon کے ساتھ دوسرے atoms بھی ہوتے ہیں,Medium,1,PRO,1
