question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_chem_ch23_001,1,23.1 Manufacture of Ethanol by Fermentation,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_001,1,23.1 Manufacture of Ethanol by Fermentation,Long,process_procedure,"Describe the manufacture of ethanol by fermentation of glucose with yeast. Include the equation, temperature, pH conditions, exclusion of oxygen, role of enzymes and product separation.",yeast کے ساتھ glucose fermentation کے ذریعے ethanol manufacture بیان کریں۔ equation، temperature، pH conditions، oxygen exclusion، enzymes کا role اور product separation شامل کریں۔,Hard,5,ULTRA,1
sep_10_chem_ch23_002,1,23.1 Conditions and Limitations of Fermentation,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_002,1,23.1 Conditions and Limitations of Fermentation,Long,cause_effect,Explain why fermentation is carried out near 35°C in anaerobic conditions and why ethanol concentration does not normally exceed about 15%.,explain کریں کہ fermentation تقریباً 35°C پر anaerobic conditions میں کیوں carried out ہوتی ہے اور ethanol concentration عموماً تقریباً 15% سے زیادہ کیوں نہیں ہوتی۔,Hard,5,ELITE,1
sep_10_chem_ch23_003,1,23.1 Manufacture of Ethanol by Hydration of Ethene,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_003,1,23.1 Manufacture of Ethanol by Hydration of Ethene,Long,process_procedure,"Describe the industrial preparation of ethanol by catalytic hydration of ethene. Include the addition mechanism, catalyst, temperature, pressure, equation and condensation of the product.",ethene کی catalytic hydration کے ذریعے ethanol کی industrial preparation بیان کریں۔ addition mechanism، catalyst، temperature، pressure، equation اور product condensation شامل کریں۔,Hard,5,ULTRA,1
sep_10_chem_ch23_004,1,23.1 Comparison of Ethanol-Manufacturing Methods,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_004,1,23.1 Comparison of Ethanol-Manufacturing Methods,Long,compare,"Compare fermentation of glucose and catalytic hydration of ethene in raw material, renewability, temperature, pressure, rate, purity, cost and energy requirement.",raw material، renewability، temperature، pressure، rate، purity، cost اور energy requirement کی بنیاد پر glucose fermentation اور ethene catalytic hydration کا موازنہ کریں۔,Hard,5,ULTRA,1
sep_10_chem_ch23_005,1,23.2 Combustion of Alcohols,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_005,1,23.2 Combustion of Alcohols,Long,state_and_explain,"Describe the complete combustion of methanol, ethanol, propanol and butanol, and explain why the heat evolved increases along the homologous series.",methanol، ethanol، propanol اور butanol کی complete combustion بیان کریں اور explain کریں کہ homologous series میں heat evolved کیوں increase ہوتی ہے۔,Medium,5,PRO,1
sep_10_chem_ch23_006,1,23.3 Alcohols as Fuels,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_006,1,23.3 Alcohols as Fuels,Long,advantages_limitations,Discuss the advantages and disadvantages of using alcohols as fuels compared with petrol and diesel.,petrol اور diesel کے مقابلے میں alcohols کو fuels کے طور پر use کرنے کے advantages اور disadvantages discuss کریں۔,Medium,5,ULTRA,1
sep_10_chem_ch23_007,1,23.3 Alcohols as Renewable and Carbon-Neutral Fuels,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_007,1,23.3 Alcohols as Renewable and Carbon-Neutral Fuels,Long,cause_effect,"Explain why bioalcohols may be described as renewable and approximately carbon neutral, and state their effect on sulphur-oxide and greenhouse-gas emissions.",explain کریں کہ bioalcohols کو renewable اور approximately carbon neutral کیوں کہا جا سکتا ہے، اور sulphur-oxide اور greenhouse-gas emissions پر ان کا effect بیان کریں۔,Hard,5,ELITE,1
sep_10_chem_ch23_008,1,23.4 Ethanol in the Pharmaceutical Industry,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_008,1,23.4 Ethanol in the Pharmaceutical Industry,Long,discuss,"Describe the applications of ethanol and isopropanol in pharmaceutical products as disinfectants, solvents, preservatives and drug-solubilizing agents.",pharmaceutical products میں ethanol اور isopropanol کے disinfectants، solvents، preservatives اور drug-solubilizing agents کے طور پر applications بیان کریں۔,Medium,5,PRO,1
sep_10_chem_ch23_009,1,23.4 Ethanol in the Cosmetic Industry,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_009,1,23.4 Ethanol in the Cosmetic Industry,Long,cause_effect,"Explain how volatility, deodorizing, anti-inflammatory, refreshing and antimicrobial properties make ethanol useful in cosmetic and hygiene products.",explain کریں کہ volatility، deodorizing، anti-inflammatory، refreshing اور antimicrobial properties ethanol کو cosmetic اور hygiene products میں useful کیسے بناتی ہیں۔,Medium,5,PRO,1
sep_10_chem_ch23_010,1,23.5 Alcohols in Daily Life,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_010,1,23.5 Alcohols in Daily Life,Long,discuss,"Discuss the uses of ethanol in first-aid materials, wound dressing, perfumes, solvents and vehicle fuels, and mention the risks associated with drinking alcohol.",first-aid materials، wound dressing، perfumes، solvents اور vehicle fuels میں ethanol کے uses discuss کریں اور drinking alcohol سے associated risks mention کریں۔,Medium,5,PRO,1
sep_10_chem_ch23_011,1,23.1 Ethanol from the Sugar Industry,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_011,1,23.1 Ethanol from the Sugar Industry,Long,application_case,Explain how ethanol can be obtained as a by-product in the sugar industry and why the alcohol produced by fermentation requires further distillation.,explain کریں کہ sugar industry میں ethanol by-product کے طور پر کیسے obtain ہوتا ہے اور fermentation سے produced alcohol کو further distillation کیوں require ہوتی ہے۔,Hard,5,ELITE,1
sep_10_chem_ch23_012,1,23.2–23.3 Fuel Selection,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_012,1,23.2–23.3 Fuel Selection,Long,application_case,"Evaluate ethanol as an automobile fuel by considering energy per unit volume, engine wear, land use, fuel efficiency and environmental effects.",energy per unit volume، engine wear، land use، fuel efficiency اور environmental effects consider کرتے ہوئے ethanol کو automobile fuel کے طور پر evaluate کریں۔,Hard,5,ELITE,1
sep_10_chem_ch23_013,1,23.1–23.5 Integrated Role of Ethanol,Topic,topic_separator,,,,,,1
q_10_chem_ch23_lq_013,1,23.1–23.5 Integrated Role of Ethanol,Long,elaborate,"Explain why ethanol is considered a versatile industrial and daily-life chemical, linking its preparation, combustion, solvent action, antiseptic behaviour and use as a fuel.",explain کریں کہ ethanol کو versatile industrial اور daily-life chemical کیوں سمجھا جاتا ہے، اور اس کی preparation، combustion، solvent action، antiseptic behaviour اور fuel use کو link کریں۔,Medium,5,ULTRA,1
