question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,16.1 Oxidation Numbers in Compounds and Ions,topic_separator,,,,,,1
q_10_chem_ch16_sq_001,1,16.1 Oxidation Numbers in Compounds and Ions,definition_function,Define oxidation number and state two purposes for assigning oxidation numbers in chemical reactions.,oxidation number کی تعریف کریں اور chemical reactions میں oxidation numbers assign کرنے کے دو purposes بیان کریں۔,Easy,2,ULTRA,1
q_10_chem_ch16_sq_002,1,16.1 Oxidation Numbers in Compounds and Ions,list_state,"State the oxidation-number rules for a free element and a monatomic ion, and give one example of each.",free element اور monatomic ion کے oxidation-number rules بیان کریں اور ہر ایک کی one example دیں۔,Easy,2,PRO,1
q_10_chem_ch16_sq_003,1,16.1 Oxidation Numbers in Compounds and Ions,list_state,"State the usual oxidation numbers of Group 1, Group 2 and Group 13 elements in their compounds.",اپنے compounds میں Group 1، Group 2 اور Group 13 elements کے usual oxidation numbers بیان کریں۔,Easy,2,ELITE,1
q_10_chem_ch16_sq_004,1,16.1 Oxidation Numbers in Compounds and Ions,compare_contrast,"Compare the oxidation number of hydrogen in HCl and NaH, and explain the difference in terms of electronegativity.",HCl اور NaH میں hydrogen کے oxidation numbers کا موازنہ کریں اور electronegativity کی بنیاد پر فرق کی وضاحت کریں۔,Medium,2,PRO,1
q_10_chem_ch16_sq_005,1,16.1 Oxidation Numbers in Compounds and Ions,formula_relationship,State the summation rule for oxidation numbers in a neutral compound and in a polyatomic ion.,neutral compound اور polyatomic ion میں oxidation numbers کے summation rule بیان کریں۔,Medium,2,ULTRA,1
q_10_chem_ch16_sq_006,1,16.1 Oxidation Numbers in Compounds and Ions,numerical_short,Calculate the oxidation number of chlorine in Ca(ClO₃)₂.,درج ذیل compound میں chlorine کا oxidation number calculate کریں: Ca(ClO₃)₂,Medium,2,PRO,1
q_10_chem_ch16_sq_007,1,16.1 Oxidation Numbers in Compounds and Ions,numerical_short,"Calculate the oxidation numbers of the indicated elements in Al(NO₃)₃, H₂S₂O₇ and Na₂S₂O₃.","درج ذیل compounds میں indicated elements کے oxidation numbers calculate کریں: Al(NO₃)₃, H₂S₂O₇, Na₂S₂O₃",Hard,2,PRO,1
TOPIC_SEP,1,16.2–16.3 Writing Formulae of Ionic Compounds,topic_separator,,,,,,1
q_10_chem_ch16_sq_008,1,16.2–16.3 Writing Formulae of Ionic Compounds,process_steps,Describe the steps used to write the formula of an ionic compound from the oxidation numbers of its constituent elements.,constituent elements کے oxidation numbers سے ionic compound کی formula لکھنے کے steps بیان کریں۔,Easy,2,ULTRA,1
