question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,24.0 Introduction to Carboxylic Acids,Topic,,,,,,,,,,,1
q_10_chem_ch24_001,1,24.0 Introduction to Carboxylic Acids,Remember,Which functional group is present in carboxylic acids?,carboxylic acids میں کون سا functional group موجود ہوتا ہے؟,"Hydroxyl group, −OH / hydroxyl group، −OH","Amino group, −NH₂ / amino group، −NH₂","Ester group, −COOR / ester group، −COOR","Carboxyl group, −COOH / carboxyl group، −COOH","D | Carboxyl group, −COOH / carboxyl group، −COOH",Easy,1,PRO,1
q_10_chem_ch24_002,1,24.0 Introduction to Carboxylic Acids,Remember,To what is the carboxyl group attached in carboxylic acids?,carboxylic acids میں carboxyl group کس سے attached ہوتا ہے؟,An alkyl group or hydrogen / alkyl group یا hydrogen,Only a metal ion / صرف metal ion,Only an oxygen molecule / صرف oxygen molecule,Only a benzene ring in every case / ہر case میں صرف benzene ring,A | An alkyl group or hydrogen / alkyl group یا hydrogen,Easy,1,ULTRA,1
q_10_chem_ch24_003,1,24.0 Introduction to Carboxylic Acids,Remember,How are carboxylic acids generally classified relative to mineral acids?,carboxylic acids کو mineral acids کے مقابلے میں عموماً کیسے classify کیا جاتا ہے؟,Weak acids / weak acids,Strong bases / strong bases,Neutral salts / neutral salts,Strong oxidizing agents / strong oxidizing agents,A | Weak acids / weak acids,Easy,1,PRO,1
q_10_chem_ch24_004,1,24.0 Introduction to Carboxylic Acids,Understand,Why are carboxylic acids generally weaker than mineral acids?,carboxylic acids عموماً mineral acids سے weaker کیوں ہوتے ہیں؟,They contain no hydrogen / ان میں hydrogen نہیں ہوتا,They do not give a proton easily / وہ proton آسانی سے نہیں دیتے,They are always insoluble in water / وہ ہمیشہ water میں insoluble ہوتے ہیں,They cannot form salts / وہ salts نہیں بنا سکتے,B | They do not give a proton easily / وہ proton آسانی سے نہیں دیتے,Medium,1,PRO,1
q_10_chem_ch24_005,1,24.0 Introduction to Carboxylic Acids,Understand,Which statement about the occurrence of carboxylic acids is correct?,carboxylic acids کے occurrence کے بارے میں کون سا statement درست ہے؟,They occur naturally in living organisms and can also be synthesized / وہ living organisms میں naturally occur ہوتے ہیں اور synthesize بھی کیے جا سکتے ہیں,They occur only in metals / وہ صرف metals میں occur ہوتے ہیں,They can be prepared only by electrolysis / انہیں صرف electrolysis سے prepare کیا جا سکتا ہے,They do not occur in living organisms / وہ living organisms میں occur نہیں ہوتے,A | They occur naturally in living organisms and can also be synthesized / وہ living organisms میں naturally occur ہوتے ہیں اور synthesize بھی کیے جا سکتے ہیں,Medium,1,ULTRA,1
q_10_chem_ch24_006,1,24.0 Introduction to Carboxylic Acids,Analyze,Which compound class is identified by the presence of −COOH attached to hydrogen or an alkyl group?,−COOH کا hydrogen یا alkyl group کے ساتھ attached ہونا کس compound class کو identify کرتا ہے؟,Alcohols / alcohols,Amines / amines,Alkenes / alkenes,Carboxylic acids / carboxylic acids,D | Carboxylic acids / carboxylic acids,Hard,1,ELITE,1
TOPIC_SEP,1,24.1 Preparation of Ethanoic Acid by Oxidation of Ethanol,Topic,,,,,,,,,,,1
q_10_chem_ch24_007,1,24.1 Preparation of Ethanoic Acid by Oxidation of Ethanol,Remember,Which oxidizing agent is used to oxidize ethanol to ethanoic acid?,ethanol کو ethanoic acid میں oxidize کرنے کے لیے کون سا oxidizing agent استعمال ہوتا ہے؟,Aqueous sodium hydroxide / aqueous sodium hydroxide,Hot acidified potassium manganate(VII) / hot acidified potassium manganate(VII),Concentrated phosphoric acid / concentrated phosphoric acid,Nickel catalyst / nickel catalyst,B | Hot acidified potassium manganate(VII) / hot acidified potassium manganate(VII),Easy,1,PRO,1
q_10_chem_ch24_008,1,24.1 Preparation of Ethanoic Acid by Oxidation of Ethanol,Remember,What is the first oxidation product of ethanol in the reaction described?,بیان کردہ reaction میں ethanol کا first oxidation product کیا ہے؟,Ethanal / ethanal,Ethene / ethene,Methanol / methanol,Ethyl ethanoate / ethyl ethanoate,A | Ethanal / ethanal,Easy,1,PRO,1
q_10_chem_ch24_009,1,24.1 Preparation of Ethanoic Acid by Oxidation of Ethanol,Remember,What final organic product forms on further oxidation of ethanal?,ethanal کی further oxidation سے final organic product کیا بنتا ہے؟,Ethanol / ethanol,Ethanoic acid / ethanoic acid,Ethene / ethene,Methane / methane,B | Ethanoic acid / ethanoic acid,Easy,1,ULTRA,1
q_10_chem_ch24_010,1,24.1 Preparation of Ethanoic Acid by Oxidation of Ethanol,Understand,What colour change occurs when acidified KMnO₄ oxidizes ethanol?,acidified KMnO₄ ethanol کو oxidize کرے تو کون سی colour change ہوتی ہے؟,Colourless to purple / colourless سے purple,Blue to green / blue سے green,Purple to colourless / purple سے colourless,White to black / white سے black,C | Purple to colourless / purple سے colourless,Medium,1,PRO,1
q_10_chem_ch24_011,1,24.1 Preparation of Ethanoic Acid by Oxidation of Ethanol,Understand,Which sequence correctly shows oxidation of ethanol?,کون سی sequence ethanol کی oxidation کو درست show کرتی ہے؟,Ethanol → ethanal → ethanoic acid / ethanol → ethanal → ethanoic acid,Ethanol → ethene → ethane / ethanol → ethene → ethane,Ethanoic acid → ethanol → ethanal / ethanoic acid → ethanol → ethanal,Ethanol → methane → methanol / ethanol → methane → methanol,A | Ethanol → ethanal → ethanoic acid / ethanol → ethanal → ethanoic acid,Medium,1,PRO,1
q_10_chem_ch24_012,1,24.1 Preparation of Ethanoic Acid by Oxidation of Ethanol,Understand,"During oxidation of ethanol by acidified KMnO₄, which element in the reagent is reduced?",acidified KMnO₄ کے ذریعے ethanol کی oxidation میں reagent کا کون سا element reduced ہوتا ہے؟,Potassium / potassium,Oxygen / oxygen,Hydrogen / hydrogen,Manganese / manganese,D | Manganese / manganese,Medium,1,PRO,1
q_10_chem_ch24_013,1,24.1 Preparation of Ethanoic Acid by Oxidation of Ethanol,Analyze,Why is acidified potassium manganate(VII) described as an efficient oxidizing agent in this preparation?,اس preparation میں acidified potassium manganate(VII) کو efficient oxidizing agent کیوں کہا گیا ہے؟,It converts ethanoic acid back into ethanol / یہ ethanoic acid کو دوبارہ ethanol میں convert کرتا ہے,It acts only as a dehydrating agent / یہ صرف dehydrating agent کے طور پر act کرتا ہے,It oxidizes ethanol through ethanal to ethanoic acid under the reaction conditions / یہ reaction conditions میں ethanol کو ethanal کے through ethanoic acid تک oxidize کرتا ہے,It prevents any colour change / یہ کسی colour change کو prevent کرتا ہے,C | It oxidizes ethanol through ethanal to ethanoic acid under the reaction conditions / یہ reaction conditions میں ethanol کو ethanal کے through ethanoic acid تک oxidize کرتا ہے,Hard,1,ELITE,1
q_10_chem_ch24_014,1,24.1 Preparation of Ethanoic Acid by Oxidation of Ethanol,Analyze,Which observation provides direct evidence that acidified KMnO₄ has reacted during ethanol oxidation?,کون سا observation direct evidence دیتا ہے کہ ethanol oxidation کے دوران acidified KMnO₄ react کر چکا ہے؟,A blue precipitate forms / blue precipitate بنتا ہے,The purple reagent becomes colourless / purple reagent colourless ہو جاتا ہے,Hydrogen burns with a pop / hydrogen pop کے ساتھ burn کرتی ہے,The mixture becomes strongly alkaline / mixture strongly alkaline ہو جاتا ہے,B | The purple reagent becomes colourless / purple reagent colourless ہو جاتا ہے,Hard,1,ELITE,1
TOPIC_SEP,1,24.1 Preparation of Ethanoic Acid by Oxidative Fermentation,Topic,,,,,,,,,,,1
q_10_chem_ch24_015,1,24.1 Preparation of Ethanoic Acid by Oxidative Fermentation,Remember,Which product is formed when alcoholic foodstuffs undergo oxidative fermentation?,alcoholic foodstuffs oxidative fermentation undergo کریں تو کون سا product بنتا ہے؟,Polyester / polyester,Vinegar / vinegar,Plexiglass / Plexiglass,Ethene / ethene,B | Vinegar / vinegar,Easy,1,PRO,1
q_10_chem_ch24_016,1,24.1 Preparation of Ethanoic Acid by Oxidative Fermentation,Remember,Which raw materials are listed as alcoholic foodstuffs for vinegar production?,vinegar production کے لیے کون سے raw materials alcoholic foodstuffs کے طور پر listed ہیں؟,"Marble, limestone and chalk / marble، limestone اور chalk","Sulphur, iodine and oils / sulphur، iodine اور oils","Grain, malt, rice or potato mash / grain، malt، rice یا potato mash","Apples, lemons and carrots only / صرف apples، lemons اور carrots","C | Grain, malt, rice or potato mash / grain، malt، rice یا potato mash",Easy,1,ULTRA,1
q_10_chem_ch24_017,1,24.1 Preparation of Ethanoic Acid by Oxidative Fermentation,Remember,What concentration of ethanoic acid can be obtained in vinegar by the stated method?,stated method سے vinegar میں ethanoic acid کی کون سی concentration حاصل ہو سکتی ہے؟,5% / 5%,35% / 35%,98% / 98%,15% / 15%,D | 15% / 15%,Easy,1,PRO,1
q_10_chem_ch24_018,1,24.1 Preparation of Ethanoic Acid by Oxidative Fermentation,Understand,Why is a sufficient supply of oxygen provided during vinegar production?,vinegar production کے دوران sufficient oxygen supply کیوں دی جاتی ہے؟,Oxygen prevents bacteria from functioning / oxygen bacteria کو function کرنے سے روکتی ہے,Oxygen converts ethanoic acid into ethanol / oxygen ethanoic acid کو ethanol میں convert کرتی ہے,Oxygen removes all water from the tank / oxygen tank سے تمام water remove کرتی ہے,Oxygen oxidizes the ethanol formed during the process / oxygen process میں formed ethanol کو oxidize کرتی ہے,D | Oxygen oxidizes the ethanol formed during the process / oxygen process میں formed ethanol کو oxidize کرتی ہے,Medium,1,PRO,1
q_10_chem_ch24_019,1,24.1 Preparation of Ethanoic Acid by Oxidative Fermentation,Understand,Why is the liquid in the fermentation tank stirred continuously while oxygen is bubbled through it?,oxygen bubble کرتے وقت fermentation tank کے liquid کو continuously stir کیوں کیا جاتا ہے؟,To remove all bacteria from the tank / tank سے تمام bacteria remove کرنے کے لیے,To crystallize ethanoic acid / ethanoic acid crystallize کرنے کے لیے,To stop oxidation of ethanol / ethanol کی oxidation stop کرنے کے لیے,"To maintain effective contact between oxygen, liquid and bacteria / oxygen، liquid اور bacteria کے درمیان effective contact maintain کرنے کے لیے","D | To maintain effective contact between oxygen, liquid and bacteria / oxygen، liquid اور bacteria کے درمیان effective contact maintain کرنے کے لیے",Medium,1,PRO,1
q_10_chem_ch24_020,1,24.1 Preparation of Ethanoic Acid by Oxidative Fermentation,Understand,Which overall equation represents oxidative fermentation of ethanol to ethanoic acid?,کون سی overall equation ethanol کی ethanoic acid میں oxidative fermentation کو represent کرتی ہے؟,CH₃CH₂OH + O₂ → CH₃COOH + H₂O / CH₃CH₂OH + O₂ → CH₃COOH + H₂O,CH₃COOH + H₂O → CH₃CH₂OH + O₂ / CH₃COOH + H₂O → CH₃CH₂OH + O₂,CH₃CH₂OH → CH₂=CH₂ + H₂O / CH₃CH₂OH → CH₂=CH₂ + H₂O,CH₃CH₂OH + H₂ → CH₃CH₃ + H₂O / CH₃CH₂OH + H₂ → CH₃CH₃ + H₂O,A | CH₃CH₂OH + O₂ → CH₃COOH + H₂O / CH₃CH₂OH + O₂ → CH₃COOH + H₂O,Medium,1,ULTRA,1
q_10_chem_ch24_021,1,24.1 Preparation of Ethanoic Acid by Oxidative Fermentation,Analyze,A vinegar tank receives too little oxygen. Which consequence is most directly expected?,vinegar tank کو بہت کم oxygen ملتی ہے۔ کون سا consequence most directly expected ہے؟,Ethanoic acid forms faster without oxygen / ethanoic acid oxygen کے بغیر faster بنتی ہے,Oxidation of ethanol to ethanoic acid becomes less effective / ethanol کی ethanoic acid میں oxidation less effective ہو جاتی ہے,All ethanol immediately becomes polyester / تمام ethanol فوراً polyester بن جاتی ہے,The bacteria produce magnesium ethanoate / bacteria magnesium ethanoate بناتے ہیں,B | Oxidation of ethanol to ethanoic acid becomes less effective / ethanol کی ethanoic acid میں oxidation less effective ہو جاتی ہے,Hard,1,ELITE,1
q_10_chem_ch24_022,1,24.1 Preparation of Ethanoic Acid by Oxidative Fermentation,Analyze,Which feature distinguishes oxidative fermentation for vinegar from ordinary alcoholic fermentation described in the previous chapter?,کون سی feature vinegar کی oxidative fermentation کو previous chapter کی ordinary alcoholic fermentation سے distinguish کرتی ہے؟,Vinegar production must be carried out without oxygen / vinegar production oxygen کے بغیر ہونی چاہیے,Both processes form only ethanol and carbon dioxide / دونوں processes صرف ethanol اور carbon dioxide بناتے ہیں,Vinegar production requires oxygen to oxidize ethanol / vinegar production ethanol oxidize کرنے کے لیے oxygen require کرتی ہے,Neither process involves microorganisms / کسی process میں microorganisms involve نہیں ہوتے,C | Vinegar production requires oxygen to oxidize ethanol / vinegar production ethanol oxidize کرنے کے لیے oxygen require کرتی ہے,Hard,1,PRO,1
TOPIC_SEP,1,"24.2 Reactions of Carboxylic Acids with Metals, Bases and Carbonates",Topic,,,,,,,,,,,1
q_10_chem_ch24_023,1,"24.2 Reactions of Carboxylic Acids with Metals, Bases and Carbonates",Remember,What gas is evolved when ethanoic acid reacts with magnesium?,ethanoic acid magnesium کے ساتھ react کرے تو کون سی gas evolve ہوتی ہے؟,Carbon dioxide / carbon dioxide,Oxygen / oxygen,Hydrogen / hydrogen,Nitrogen / nitrogen,C | Hydrogen / hydrogen,Easy,1,PRO,1
q_10_chem_ch24_024,1,"24.2 Reactions of Carboxylic Acids with Metals, Bases and Carbonates",Remember,What salt is formed when ethanoic acid reacts with magnesium?,ethanoic acid magnesium کے ساتھ react کرے تو کون سا salt بنتا ہے؟,Magnesium chloride / magnesium chloride,Sodium ethanoate / sodium ethanoate,Magnesium ethanoate / magnesium ethanoate,Calcium ethanoate / calcium ethanoate,C | Magnesium ethanoate / magnesium ethanoate,Easy,1,PRO,1
q_10_chem_ch24_025,1,"24.2 Reactions of Carboxylic Acids with Metals, Bases and Carbonates",Remember,What type of reaction occurs between ethanoic acid and sodium hydroxide?,ethanoic acid اور sodium hydroxide کے درمیان کس type کی reaction ہوتی ہے؟,Neutralization / neutralization,Addition / addition,Polymerization / polymerization,Cracking / cracking,A | Neutralization / neutralization,Easy,1,ULTRA,1
