question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,23.1 Fermentation of Glucose by Yeast,Topic,,,,,,,,,,,1
q_10_chem_ch23_001,1,23.1 Fermentation of Glucose by Yeast,Remember,What is fermentation?,fermentation کیا ہوتی ہے؟,Complete combustion of a substance in excess oxygen / excess oxygen میں substance کی complete combustion,Conversion of an alcohol into an alkene by removing water / alcohol سے water remove کر کے alkene بنانا,Separation of a liquid mixture by fractional distillation / liquid mixture کی fractional distillation سے separation,Breakdown of a substance into simpler substances in the presence of enzymes in yeast / yeast کے enzymes کی presence میں substance کا simpler substances میں breakdown,D | Breakdown of a substance into simpler substances in the presence of enzymes in yeast / yeast کے enzymes کی presence میں substance کا simpler substances میں breakdown,Easy,1,PRO,1
q_10_chem_ch23_002,1,23.1 Fermentation of Glucose by Yeast,Remember,Which microorganism is used to ferment glucose into ethanol?,glucose کو ethanol میں ferment کرنے کے لیے کون سا microorganism استعمال ہوتا ہے؟,Yeast / yeast,Algae / algae,Viruses / viruses,Protozoa / protozoa,A | Yeast / yeast,Easy,1,ULTRA,1
q_10_chem_ch23_003,1,23.1 Fermentation of Glucose by Yeast,Remember,Which temperature is considered suitable for fermentation of glucose?,glucose کی fermentation کے لیے کون سا temperature suitable سمجھا جاتا ہے؟,Around 5 °C / تقریباً 5 °C,Around 100 °C / تقریباً 100 °C,Around 35 °C / تقریباً 35 °C,Around 180 °C / تقریباً 180 °C,C | Around 35 °C / تقریباً 35 °C,Easy,1,PRO,1
q_10_chem_ch23_004,1,23.1 Fermentation of Glucose by Yeast,Remember,Which products are formed when glucose ferments?,glucose کی fermentation سے کون سے products بنتے ہیں؟,Ethanol and carbon dioxide / ethanol اور carbon dioxide,Ethene and water / ethene اور water,Methanol and oxygen / methanol اور oxygen,Ethanoic acid and hydrogen / ethanoic acid اور hydrogen,A | Ethanol and carbon dioxide / ethanol اور carbon dioxide,Easy,1,PRO,1
q_10_chem_ch23_005,1,23.1 Fermentation of Glucose by Yeast,Understand,Why must fermentation be carried out in the absence of air?,fermentation کو air کی absence میں کیوں carry out کیا جاتا ہے؟,Oxygen converts glucose directly into nitrogen / oxygen glucose کو directly nitrogen میں convert کرتی ہے,Air lowers the boiling point of ethanol to zero / air ethanol کا boiling point zero کر دیتی ہے,Yeast can work only in pure oxygen / yeast صرف pure oxygen میں work کرتی ہے,Oxygen can convert the produced ethanol into ethanoic acid / oxygen produced ethanol کو ethanoic acid میں convert کر سکتی ہے,D | Oxygen can convert the produced ethanol into ethanoic acid / oxygen produced ethanol کو ethanoic acid میں convert کر سکتی ہے,Medium,1,PRO,1
q_10_chem_ch23_006,1,23.1 Fermentation of Glucose by Yeast,Understand,Why does a temperature lower than 35 °C reduce ethanol production rate?,35 °C سے lower temperature ethanol production rate کیوں reduce کرتا ہے؟,The enzyme is instantly destroyed / enzyme instantly destroy ہو جاتا ہے,Ethanol changes into ethene / ethanol ethene میں change ہو جاتا ہے,The fermentation reaction becomes slower / fermentation reaction slower ہو جاتی ہے,Carbon dioxide becomes a catalyst / carbon dioxide catalyst بن جاتی ہے,C | The fermentation reaction becomes slower / fermentation reaction slower ہو جاتی ہے,Medium,1,PRO,1
q_10_chem_ch23_007,1,23.1 Fermentation of Glucose by Yeast,Understand,Why does a temperature higher than the optimum reduce fermentation yield?,optimum سے higher temperature fermentation yield کیوں reduce کرتا ہے؟,Glucose becomes a catalyst / glucose catalyst بن جاتا ہے,The enzyme in yeast becomes inactive / yeast کا enzyme inactive ہو جاتا ہے,The reaction becomes a neutralization reaction / reaction neutralization reaction بن جاتی ہے,Carbon dioxide dissolves completely in ethanol / carbon dioxide ethanol میں completely dissolve ہو جاتی ہے,B | The enzyme in yeast becomes inactive / yeast کا enzyme inactive ہو جاتا ہے,Medium,1,ULTRA,1
q_10_chem_ch23_008,1,23.1 Fermentation of Glucose by Yeast,Apply,Which set gives the best conditions for fermentation of glucose?,کون سا set glucose کی fermentation کے best conditions دیتا ہے؟,"Fresh yeast, about 35 °C and absence of oxygen / fresh yeast، تقریباً 35 °C اور oxygen کی absence","No yeast, 100 °C and excess oxygen / no yeast، 100 °C اور excess oxygen","Fresh yeast, 5 °C and excess oxygen / fresh yeast، 5 °C اور excess oxygen","Nickel catalyst, 300 °C and high pressure / nickel catalyst، 300 °C اور high pressure","A | Fresh yeast, about 35 °C and absence of oxygen / fresh yeast، تقریباً 35 °C اور oxygen کی absence",Medium,1,ELITE,1
q_10_chem_ch23_009,1,23.1 Fermentation of Glucose by Yeast,Analyze,Why does fermentation normally produce an ethanol solution of only about 15%?,fermentation عموماً صرف تقریباً 15% ethanol solution کیوں produce کرتی ہے؟,Glucose cannot dissolve above 15% / glucose 15% سے above dissolve نہیں کر سکتا,Carbon dioxide prevents ethanol formation from the start / carbon dioxide start سے ethanol formation روکتی ہے,Higher ethanol concentration makes yeast inactive because ethanol is toxic to it / higher ethanol concentration yeast کو inactive کرتی ہے کیونکہ ethanol اس کے لیے toxic ہے,Water becomes solid at 15% ethanol / 15% ethanol پر water solid بن جاتا ہے,C | Higher ethanol concentration makes yeast inactive because ethanol is toxic to it / higher ethanol concentration yeast کو inactive کرتی ہے کیونکہ ethanol اس کے لیے toxic ہے,Hard,1,ELITE,1
