question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_chem_ch20_001,1,20.1–20.2 Test for Water and Purity,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_001,1,20.1–20.2 Test for Water and Purity,Long,experiment,"Describe the chemical test for water using anhydrous copper(II) sulphate. Include the preparation of the reagent, colour change, equation and practical importance.",anhydrous copper(II) sulphate استعمال کرتے ہوئے water کا chemical test بیان کریں۔ reagent preparation، colour change، equation اور practical importance شامل کریں۔,Medium,5,PRO,1
q_10_chem_ch20_lq_002,1,20.1–20.2 Test for Water and Purity,Long,compare,"Explain how boiling point and melting point are used to test the purity of water, and describe the effects of impurities on both physical constants.",explain کریں کہ boiling point اور melting point water purity test کرنے کے لیے کیسے use ہوتے ہیں، اور دونوں physical constants پر impurities کے effects بیان کریں۔,Medium,5,PRO,1
sep_10_chem_ch20_002,1,20.3 Distilled Water and Tap Water,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_003,1,20.3 Distilled Water and Tap Water,Long,compare,"Differentiate between distilled water and tap water in source, preparation, dissolved substances, pH, electrical conductivity and practical applications.",source، preparation، dissolved substances، pH، electrical conductivity اور practical applications کی بنیاد پر distilled water اور tap water میں فرق بیان کریں۔,Medium,5,ULTRA,1
q_10_chem_ch20_lq_004,1,20.3 Distilled Water and Tap Water,Long,process_procedure,"Describe the laboratory distillation of water and explain how the process removes minerals, microorganisms and contaminants.",water کی laboratory distillation بیان کریں اور explain کریں کہ یہ process minerals، microorganisms اور contaminants کو کیسے remove کرتا ہے۔,Medium,5,PRO,1
sep_10_chem_ch20_003,1,20.4 Useful Substances in Natural Water,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_005,1,20.4 Useful Substances in Natural Water,Long,explain,"Explain how dissolved oxygen enters natural water and discuss its importance for aquatic organisms, ecosystem health and biodiversity.",explain کریں کہ dissolved oxygen natural water میں کیسے enter کرتی ہے، اور aquatic organisms، ecosystem health اور biodiversity کے لیے اس کی importance discuss کریں۔,Medium,5,PRO,1
sep_10_chem_ch20_004,1,20.4 Harmful Microbes and Heavy Metals,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_006,1,20.4 Harmful Microbes and Heavy Metals,Long,cause_effect,Describe the sources of harmful microbes and heavy metals in natural water and discuss their effects on human health.,natural water میں harmful microbes اور heavy metals کے sources بیان کریں اور human health پر ان کے effects discuss کریں۔,Hard,5,ULTRA,1
sep_10_chem_ch20_005,1,"20.4 Plastics, Nitrates, Phosphates and Eutrophication",Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_007,1,"20.4 Plastics, Nitrates, Phosphates and Eutrophication",Long,cause_effect,"Discuss the entry of microplastics, nitrates and phosphates into natural water and explain their harmful effects on humans, aquatic life and dissolved oxygen.",natural water میں microplastics، nitrates اور phosphates کی entry discuss کریں اور humans، aquatic life اور dissolved oxygen پر ان کے harmful effects explain کریں۔,Hard,5,ULTRA,1
q_10_chem_ch20_lq_008,1,"20.4 Plastics, Nitrates, Phosphates and Eutrophication",Long,process_procedure,"Explain the process of eutrophication from excess nitrate and phosphate nutrients to algal growth, oxygen depletion and ecosystem disruption.",excess nitrate اور phosphate nutrients سے algal growth، oxygen depletion اور ecosystem disruption تک eutrophication process explain کریں۔,Hard,5,ELITE,1
sep_10_chem_ch20_006,1,20.5 Treatment of Domestic Water Supply,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_009,1,20.5 Treatment of Domestic Water Supply,Long,process_procedure,"Describe how a domestic water supply is made fit for drinking through sedimentation, filtration, chlorination, activated carbon and aeration.",sedimentation، filtration، chlorination، activated carbon اور aeration کے ذریعے domestic water supply کو drinking کے لیے fit بنانے کا process بیان کریں۔,Hard,5,ULTRA,1
q_10_chem_ch20_lq_010,1,20.5 Treatment of Domestic Water Supply,Long,compare,"Differentiate between sedimentation, filtration, chlorination and activated-carbon treatment in terms of the impurities removed and the principle involved.",removed impurities اور involved principle کی بنیاد پر sedimentation، filtration، chlorination اور activated-carbon treatment میں فرق بیان کریں۔,Medium,5,PRO,1
sep_10_chem_ch20_007,1,20.6 Water Pollution and Its Control,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_011,1,20.6 Water Pollution and Its Control,Long,discuss,"Discuss the negative effects of water pollution on human health, aquatic ecosystems, agriculture and industries, and describe measures used to control these effects.",human health، aquatic ecosystems، agriculture اور industries پر water pollution کے negative effects discuss کریں اور ان effects کو control کرنے کے measures بیان کریں۔,Hard,5,ULTRA,1
sep_10_chem_ch20_008,1,20.6 Water-Borne Diseases,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_012,1,20.6 Water-Borne Diseases,Long,state_and_explain,"Describe major water-borne diseases and explain the measures required to prevent them through clean water, boiling, hygiene and sanitation.",major water-borne diseases بیان کریں اور clean water، boiling، hygiene اور sanitation کے ذریعے انہیں prevent کرنے کے required measures explain کریں۔,Medium,5,PRO,1
sep_10_chem_ch20_009,1,20.7 Water Scarcity in Pakistan,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_013,1,20.7 Water Scarcity in Pakistan,Long,cause_effect,Explain the causes of severe water scarcity in Pakistan and discuss practical measures for addressing the crisis.,Pakistan میں severe water scarcity کے causes explain کریں اور crisis address کرنے کے practical measures discuss کریں۔,Hard,5,ULTRA,1
sep_10_chem_ch20_010,1,20.8 Micro-Nutrients and Macro-Nutrients,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_014,1,20.8 Micro-Nutrients and Macro-Nutrients,Long,compare,"Differentiate between plant micro-nutrients and macro-nutrients in required quantity, examples and effects of excessive supply.",required quantity، examples اور excessive supply کے effects کی بنیاد پر plant micro-nutrients اور macro-nutrients میں فرق بیان کریں۔,Medium,5,PRO,1
sep_10_chem_ch20_011,1,20.9 Fertilizers and Their Qualities,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_015,1,20.9 Fertilizers and Their Qualities,Long,state_and_explain,"Define fertilizers and explain the essential qualities of a good fertilizer, including solubility, nutrient availability, stability, cost, safety and effect on soil pH.",fertilizers کی تعریف کریں اور good fertilizer کی essential qualities explain کریں، اور solubility، nutrient availability، stability، cost، safety اور soil pH پر effect شامل کریں۔,Medium,5,ULTRA,1
sep_10_chem_ch20_012,1,20.10 Classification of Fertilizers,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_016,1,20.10 Classification of Fertilizers,Long,classification,"Classify fertilizers as nitrogenous, phosphatic and potassium fertilizers. Explain the functions of each nutrient group and give important examples.",fertilizers کو nitrogenous، phosphatic اور potassium fertilizers میں classify کریں۔ each nutrient group کے functions explain کریں اور important examples دیں۔,Hard,5,ULTRA,1
q_10_chem_ch20_lq_017,1,20.10 Classification of Fertilizers,Long,compare,"Compare nitrogenous, phosphatic and potassium fertilizers in their effects on stems and leaves, seed and fruit formation, disease resistance, root development and crop ripening.",stems اور leaves، seed اور fruit formation، disease resistance، root development اور crop ripening پر effects کی بنیاد پر nitrogenous، phosphatic اور potassium fertilizers کا موازنہ کریں۔,Hard,5,ELITE,1
sep_10_chem_ch20_013,1,20.10 Nitrogenous Fertilizers,Topic,topic_separator,,,,,,1
q_10_chem_ch20_lq_018,1,20.10 Nitrogenous Fertilizers,Long,application_case,Explain why urea is regarded as a high-quality nitrogenous fertilizer and why ammonium nitrate is unsuitable for paddy rice.,explain کریں کہ urea کو high-quality nitrogenous fertilizer کیوں سمجھا جاتا ہے اور ammonium nitrate paddy rice کے لیے unsuitable کیوں ہے۔,Medium,5,PRO,1
