question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,14.1 Internal Energy and Kinetic Particle Theory,topic_separator,,,,,,1
q_10_chem_ch14_sq_001,1,14.1 Internal Energy and Kinetic Particle Theory,definition_function,Define kinetic particle theory and state two assumptions about the particles of a gas.,حرکی ذرّاتی نظریے کی تعریف کریں اور گیس کے ذرّات کے بارے میں اس کے دو مفروضے بیان کریں۔,Easy,2,ULTRA,1
q_10_chem_ch14_sq_002,1,14.1 Internal Energy and Kinetic Particle Theory,list_state,Name the three types of particle motion and identify the physical states in which particles show all three motions.,ذرّات کی حرکت کی تین اقسام کے نام لکھیں اور ان طبعی حالتوں کی نشاندہی کریں جن میں ذرّات تینوں حرکات ظاہر کرتے ہیں۔,Easy,2,ELITE,1
q_10_chem_ch14_sq_003,1,14.1 Internal Energy and Kinetic Particle Theory,explain_reason,Explain how a gas exerts pressure on the walls of its container.,وضاحت کریں کہ گیس اپنے برتن کی دیواروں پر دباؤ کیسے ڈالتی ہے۔,Easy,2,PRO,1
q_10_chem_ch14_sq_004,1,14.1 Internal Energy and Kinetic Particle Theory,compare_contrast,"Compare the arrangement and movement of particles in solids, liquids and gases using two relevant points.",دو متعلقہ نکات کی مدد سے ٹھوس، مائع اور گیس میں ذرّات کی ترتیب اور حرکت کا موازنہ کریں۔,Medium,2,PRO,1
q_10_chem_ch14_sq_005,1,14.1 Internal Energy and Kinetic Particle Theory,definition_function,Define internal energy and identify its kinetic-energy and potential-energy components.,اندرونی توانائی کی تعریف کریں اور اس کے حرکی توانائی اور امکانی توانائی کے اجزا کی نشاندہی کریں۔,Easy,2,ULTRA,1
q_10_chem_ch14_sq_006,1,14.1 Internal Energy and Kinetic Particle Theory,explain_reason,Explain why a solid has a fixed shape and a fixed volume in terms of particle motion and inter-particle forces.,ذرّات کی حرکت اور بین الذرّاتی قوتوں کی مدد سے وضاحت کریں کہ ٹھوس کی شکل اور حجم مقرر کیوں ہوتے ہیں۔,Medium,2,PRO,1
q_10_chem_ch14_sq_007,1,14.1 Internal Energy and Kinetic Particle Theory,explain_reason,Explain why a liquid has a fixed volume but no fixed shape.,وضاحت کریں کہ مائع کا حجم مقرر لیکن شکل مقرر کیوں نہیں ہوتی۔,Medium,2,PRO,1
q_10_chem_ch14_sq_008,1,14.1 Internal Energy and Kinetic Particle Theory,formula_relationship,"State the relationship between average kinetic energy and absolute temperature, and compare the average kinetic energies of different gases at the same temperature.",اوسط حرکی توانائی اور مطلق درجہ حرارت کا تعلق بیان کریں اور ایک ہی درجہ حرارت پر مختلف گیسوں کی اوسط حرکی توانائیوں کا موازنہ کریں۔,Hard,2,ELITE,1
TOPIC_SEP,1,14.2 Interconversion of Physical States,topic_separator,,,,,,1
