question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b1_short_001,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,textbook_exercise_direct,حدیث کے معنی و مفہوم بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b1_short_002,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,textbook_exercise_direct,تدوین حدیث سے کیا مراد ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_003,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,textbook_exercise_direct,دور نبوی میں حفاظت حدیث کے دو ذرائع لکھیں۔,Medium,2,ELITE,1
q_10_isl_b1_short_004,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,textbook_exercise_direct,صحیفہ صادقہ کیا ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_005,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,textbook_exercise_direct,صحاح ستہ میں سے دو کتابوں کے نام لکھیں۔,Medium,2,ELITE,1
q_10_isl_b1_short_006,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,حدیث قولی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_007,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,حدیث فعلی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_008,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,حدیث تقریری سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_009,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,حدیث قدسی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_010,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,احادیث مبارکہ قرآن مجید کی تفسیر و تشریح کیسے کرتی ہیں؟,Medium,2,ULTRA,1
q_10_isl_b1_short_011,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,رسول اللہ ﷺ کی اطاعت کی اہمیت مختصراً بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_012,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,عبادات و معاملات کی تفصیل معلوم کرنے میں حدیث کی کیا اہمیت ہے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_013,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,دور نبوی ﷺ میں حفظ حدیث کا طریقہ کیسے اختیار کیا جاتا تھا؟,Medium,2,ULTRA,1
q_10_isl_b1_short_014,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,نبی کریم ﷺ اہم بات کو تین مرتبہ کیوں دہراتے تھے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_015,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,حفاظت حدیث میں صحابہ کرام رضی اللہ عنہم کے عمل کا کیا کردار تھا؟,Medium,2,ULTRA,1
q_10_isl_b1_short_016,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,دور نبوی ﷺ میں کتابت حدیث کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_017,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,نبی کریم ﷺ کے مختلف حکمرانوں کو بھیجے گئے خطوط حدیث کی تحریری حفاظت کی مثال کیسے ہیں؟,Medium,2,ULTRA,1
q_10_isl_b1_short_018,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,حضرت عمرو بن حزم رضی اللہ عنہ کو کون سے تحریری احکامات دیے گئے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_019,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,زکوٰۃ وصول کرنے والے عاملین کو تحریری ہدایات کیوں دی جاتی تھیں؟,Medium,2,ULTRA,1
q_10_isl_b1_short_020,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,صحیفہ صادقہ کس صحابی نے مرتب کیا؟,Medium,2,ULTRA,1
