question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_bio_ch4_001,1,4.1 Structure of Kidney,Topic,topic_separator,,,,,,1
q_10_bio_ch4_lq_001,1,4.1 Structure of Kidney,Long,describe,"Write a detailed note on the structure of a human kidney, including its external features and the arrangement of the renal capsule, cortex, medulla, renal pyramids, renal pelvis, hilus, and ureter.",انسانی گردے کی ساخت پر تفصیلی نوٹ لکھیں، جس میں اس کی بیرونی خصوصیات اور renal capsule، cortex، medulla، renal pyramids، renal pelvis، hilus اور ureter کی ترتیب شامل ہو۔,Easy,5,PRO,1
sep_10_bio_ch4_002,1,4.1 Structure of Nephron,Topic,topic_separator,,,,,,1
q_10_bio_ch4_lq_002,1,4.1 Structure of Nephron,Long,diagram_based,"Describe the structure of a nephron and draw a labelled diagram showing the renal corpuscle, glomerulus, Bowman's capsule, proximal convoluted tubule, Loop of Henle, distal convoluted tubule, collecting duct, and associated blood capillaries.",نیفرون کی ساخت بیان کریں اور ایک لیبل شدہ خاکہ بنائیں جس میں renal corpuscle، glomerulus، Bowman's capsule، proximal convoluted tubule، Loop of Henle، distal convoluted tubule، collecting duct اور متعلقہ خون کی کیپلریز دکھائی گئی ہوں۔,Medium,5,PRO,1
sep_10_bio_ch4_003,1,4.2 Pressure Filtration and Reabsorption,Topic,topic_separator,,,,,,1
q_10_bio_ch4_lq_003,1,4.2 Pressure Filtration and Reabsorption,Long,process_procedure,Describe the processes of pressure filtration and reabsorption in the kidneys. Explain where each process occurs and identify the major substances filtered or reabsorbed.,گردوں میں pressure filtration اور reabsorption کے عمل بیان کریں۔ وضاحت کریں کہ ہر عمل کہاں واقع ہوتا ہے اور فلٹر یا دوبارہ جذب ہونے والے اہم مادّوں کی نشاندہی کریں۔,Hard,5,PRO,1
sep_10_bio_ch4_004,1,4.2 Tubular Secretion,Topic,topic_separator,,,,,,1
q_10_bio_ch4_lq_004,1,4.2 Tubular Secretion,Long,state_and_explain,Define tubular secretion and explain how it helps in removing waste materials from blood through the renal tubules.,tubular secretion کی تعریف کریں اور وضاحت کریں کہ یہ renal tubules کے ذریعے خون سے فاضل مادّے نکالنے میں کیسے مدد دیتا ہے۔,Medium,5,PRO,1
sep_10_bio_ch4_005,1,4.3 Disorders of Kidney — Kidney Stones,Topic,topic_separator,,,,,,1
q_10_bio_ch4_lq_005,1,4.3 Disorders of Kidney — Kidney Stones,Long,discuss,"Write a comprehensive note on kidney stones, including their formation, common sites of obstruction, causes, signs and symptoms, and treatment by water intake, lithotripsy, or surgery.",گردے کی پتھری پر جامع نوٹ لکھیں، جس میں اس کی تشکیل، رکاوٹ کے عام مقامات، وجوہات، علامات اور پانی کے استعمال، lithotripsy یا surgery کے ذریعے علاج شامل ہو۔,Medium,5,PRO,1
sep_10_bio_ch4_006,1,4.3 Disorders of Kidney — Kidney Failure,Topic,topic_separator,,,,,,1
q_10_bio_ch4_lq_006,1,4.3 Disorders of Kidney — Kidney Failure,Long,cause_effect,Describe the major symptoms and causes of kidney failure.,گردے کی ناکامی کی اہم علامات اور وجوہات بیان کریں۔,Easy,5,PRO,1
sep_10_bio_ch4_007,1,4.3 Treatment of Kidney Failure — Dialysis,Topic,topic_separator,,,,,,1
q_10_bio_ch4_lq_007,1,4.3 Treatment of Kidney Failure — Dialysis,Long,compare,"Define dialysis and describe the processes of haemodialysis and peritoneal dialysis. Compare the membrane used, movement of wastes, and method of replacing dialysis fluid in the two procedures.",dialysis کی تعریف کریں اور haemodialysis اور peritoneal dialysis کے عمل بیان کریں۔ دونوں طریقوں میں استعمال ہونے والی membrane، فاضل مادّوں کی حرکت اور dialysis fluid کی تبدیلی کے طریقے کا تقابل کریں۔,Hard,5,PRO,1
sep_10_bio_ch4_008,1,4.1 Human Urinary System,Topic,topic_separator,,,,,,1
q_10_bio_ch4_lq_008,1,4.1 Human Urinary System,Long,describe,"Describe the human urinary system and explain the functions of the kidneys, ureters, urinary bladder, and urethra. Trace the route of urine from the kidneys to its removal from the body.",انسانی نظامِ بول بیان کریں اور kidneys، ureters، urinary bladder اور urethra کے افعال کی وضاحت کریں۔ گردوں سے جسم سے اخراج تک پیشاب کا راستہ بیان کریں۔,Medium,5,ULTRA,1
sep_10_bio_ch4_009,1,4.2 Role of Kidneys in Osmoregulation,Topic,topic_separator,,,,,,1
q_10_bio_ch4_lq_009,1,4.2 Role of Kidneys in Osmoregulation,Long,explain,Explain the role of kidneys in osmoregulation. Describe how the kidneys produce dilute urine when body water is excessive and concentrated urine when body water is below normal.,osmoregulation میں گردوں کا کردار بیان کریں۔ وضاحت کریں کہ جسم میں پانی زیادہ ہونے پر گردے dilute urine اور پانی معمول سے کم ہونے پر concentrated urine کیسے بناتے ہیں۔,Medium,5,ULTRA,1
sep_10_bio_ch4_010,1,4.3 Treatment of Kidney Failure — Kidney Transplantation,Topic,topic_separator,,,,,,1
q_10_bio_ch4_lq_010,1,4.3 Treatment of Kidney Failure — Kidney Transplantation,Long,process_procedure,"Describe kidney transplantation as a treatment for kidney failure. Explain the source and placement of the donor kidney, removal of the diseased kidney, immune-system matching, and the possible long-term functioning of a successfully transplanted kidney.",گردے کی ناکامی کے علاج کے طور پر kidney transplantation بیان کریں۔ donor kidney کے ماخذ اور مقام، خراب گردے کے اخراج، immune-system matching اور کامیاب پیوند شدہ گردے کے ممکنہ طویل مدتی فعل کی وضاحت کریں۔,Medium,5,ELITE,1
