question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,8.1 Introduction and Historical Development of Biotechnology,topic_separator,,,,,,1
q_10_bio_ch8_sq_001,1,8.1 Introduction and Historical Development of Biotechnology,definition_example,Define biotechnology and give one example of a product or process developed through it.,بایوٹیکنالوجی کی تعریف کریں اور اس کے ذریعے تیار کی جانے والی کسی ایک مصنوعہ یا عمل کی مثال دیں۔,Easy,2,PRO,1
q_10_bio_ch8_sq_002,1,8.1 Introduction and Historical Development of Biotechnology,list_state,Name the scientist who coined the term biotechnology and state the year in which the term was introduced.,اس سائنس دان کا نام لکھیں جس نے بایوٹیکنالوجی کی اصطلاح وضع کی اور وہ سال بیان کریں جس میں یہ اصطلاح متعارف ہوئی۔,Easy,2,ULTRA,1
q_10_bio_ch8_sq_003,1,8.1 Introduction and Historical Development of Biotechnology,list_state,Enlist any four major techniques included in modern biotechnology.,جدید بایوٹیکنالوجی میں شامل کوئی چار بڑی تکنیکیں لکھیں۔,Medium,2,PRO,1
q_10_bio_ch8_sq_004,1,8.1 Introduction and Historical Development of Biotechnology,cause_effect,Explain how the discovery of the structure and function of DNA in 1953 contributed to modern biotechnology.,وضاحت کریں کہ 1953 میں DNA کی ساخت اور فعل کی دریافت نے جدید بایوٹیکنالوجی کی ترقی میں کیسے حصہ لیا۔,Medium,2,ELITE,1
q_10_bio_ch8_sq_005,1,8.1 Introduction and Historical Development of Biotechnology,concept_explanation,"Explain how biotechnology may modify heredity, develop useful organisms, and produce valuable substances.",وضاحت کریں کہ بایوٹیکنالوجی وراثت میں تبدیلی، مفید جانداروں کی تیاری اور قیمتی مادّوں کی پیداوار کیسے ممکن بناتی ہے۔,Hard,2,PRO,1
TOPIC_SEP,1,8.1 Role of Yeast in Biotechnology,topic_separator,,,,,,1
q_10_bio_ch8_sq_006,1,8.1 Role of Yeast in Biotechnology,definition_function,Identify yeast as a microorganism and state its role in fermentation.,خمیر کو خرد جاندار کے طور پر شناخت کریں اور تخمیر میں اس کا کردار بیان کریں۔,Easy,2,PRO,1
q_10_bio_ch8_sq_007,1,8.1 Role of Yeast in Biotechnology,function_purpose,State the role of carbon dioxide produced by yeast in bread making.,روٹی بنانے میں خمیر سے پیدا ہونے والی کاربن ڈائی آکسائیڈ کا کردار بیان کریں۔,Easy,2,ULTRA,1
q_10_bio_ch8_sq_008,1,8.1 Role of Yeast in Biotechnology,process_steps,Explain how yeast converts sugars obtained from sugarcane or corn into ethanol and carbon dioxide.,وضاحت کریں کہ خمیر گنے یا مکئی سے حاصل شدہ شکر کو ایتھانول اور کاربن ڈائی آکسائیڈ میں کیسے تبدیل کرتا ہے۔,Medium,2,PRO,1
q_10_bio_ch8_sq_009,1,8.1 Role of Yeast in Biotechnology,explain_reason,Explain why alcohol produced during bread fermentation is not normally present in the baked bread.,وضاحت کریں کہ روٹی کے تخمیر کے دوران بننے والی الکحل عام طور پر پکی ہوئی روٹی میں کیوں موجود نہیں رہتی۔,Medium,2,ELITE,1
q_10_bio_ch8_sq_010,1,8.1 Role of Yeast in Biotechnology,compare_contrast,Compare the use of yeast in bread production and ethanol production in terms of the useful end product.,روٹی اور ایتھانول کی تیاری میں خمیر کے استعمال کا مفید آخری مصنوعہ کے لحاظ سے تقابل کریں۔,Hard,2,PRO,1
TOPIC_SEP,1,8.1 Role of Bacteria in Biotechnology,topic_separator,,,,,,1
q_10_bio_ch8_sq_011,1,8.1 Role of Bacteria in Biotechnology,features_characteristics,State two characteristics that make bacteria suitable organisms for biotechnology.,بیکٹیریا کی دو خصوصیات بیان کریں جو انہیں بایوٹیکنالوجی کے لیے موزوں جاندار بناتی ہیں۔,Easy,2,PRO,1
q_10_bio_ch8_sq_012,1,8.1 Role of Bacteria in Biotechnology,definition_example,Define bioremediation and give one example of the role of bacteria in this process.,بایوری میڈی ایشن کی تعریف کریں اور اس عمل میں بیکٹیریا کے کردار کی ایک مثال دیں۔,Easy,2,ULTRA,1
q_10_bio_ch8_sq_013,1,8.1 Role of Bacteria in Biotechnology,list_state,Enlist any four useful products or processes obtained through bacteria in biotechnology.,بایوٹیکنالوجی میں بیکٹیریا کے ذریعے حاصل ہونے والی کوئی چار مفید مصنوعات یا عمل لکھیں۔,Medium,2,PRO,1
q_10_bio_ch8_sq_014,1,8.1 Role of Bacteria in Biotechnology,function_purpose,State the role of Lactobacillus in the production of yoghurt and cheese.,دہی اور پنیر کی تیاری میں Lactobacillus کا کردار بیان کریں۔,Medium,2,ELITE,1
q_10_bio_ch8_sq_015,1,8.1 Role of Bacteria in Biotechnology,concept_explanation,Explain why the ability of bacteria to accept foreign genetic material is important in biotechnology.,وضاحت کریں کہ بیکٹیریا کی بیرونی جینیاتی مادّہ قبول کرنے کی صلاحیت بایوٹیکنالوجی میں کیوں اہم ہے۔,Hard,2,PRO,1
TOPIC_SEP,1,8.2 Genetic Engineering and Genetically Modified Organisms,topic_separator,,,,,,1
q_10_bio_ch8_sq_016,1,8.2 Genetic Engineering and Genetically Modified Organisms,definition_function,Define genetic engineering and state its main purpose in altering or transferring genes.,جینیاتی انجینئرنگ کی تعریف کریں اور جینز میں تبدیلی یا منتقلی کے اس کے بنیادی مقصد کو بیان کریں۔,Easy,2,PRO,1
