question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,10.1 Evolution and Darwin's Observations,Topic,,,,,,,,,,,1
q_10_bio_ch10_001,1,10.1 Evolution and Darwin's Observations,Remember,What is evolution?,ارتقا کیا ہے؟,Change in the heritable traits of a population over successive generations / مسلسل نسلوں کے دوران آبادی کی موروثی خصوصیات میں تبدیلی,A temporary change in the behaviour of one individual / ایک فرد کے رویے میں عارضی تبدیلی,The formation of gametes in one generation / ایک نسل میں گیمیٹس کی تشکیل,The movement of organisms from one place to another / جانداروں کی ایک جگہ سے دوسری جگہ نقل و حرکت,A | Change in the heritable traits of a population over successive generations / مسلسل نسلوں کے دوران آبادی کی موروثی خصوصیات میں تبدیلی,Easy,1,PRO,1
q_10_bio_ch10_002,1,10.1 Evolution and Darwin's Observations,Remember,Who explained the mechanism of evolution comprehensively in the 1850s?,1850 کی دہائی میں ارتقا کے طریقۂ کار کی جامع وضاحت کس نے کی؟,Karl Ereky / کارل اریکی,Charles Darwin / چارلس ڈارون,Ian Wilmut / ایان ولمٹ,Gregor Mendel / گریگر مینڈل,B | Charles Darwin / چارلس ڈارون,Easy,1,PRO,1
q_10_bio_ch10_003,1,10.1 Evolution and Darwin's Observations,Remember,On which ship did Charles Darwin travel around the world?,چارلس ڈارون نے دنیا کے گرد سفر کس جہاز پر کیا؟,HMS Victory / HMS وکٹری,HMS Darwin / HMS ڈارون,HMS Galapagos / HMS گالاپاگوس,HMS Beagle / HMS بیگل,D | HMS Beagle / HMS بیگل,Easy,1,ULTRA,1
q_10_bio_ch10_004,1,10.1 Evolution and Darwin's Observations,Remember,How long was Darwin's voyage on HMS Beagle?,HMS بیگل پر ڈارون کا سفر کتنے عرصے پر محیط تھا؟,One year / ایک سال,Five years / پانچ سال,Three years / تین سال,Ten years / دس سال,B | Five years / پانچ سال,Easy,1,ULTRA,1
q_10_bio_ch10_005,1,10.1 Evolution and Darwin's Observations,Understand,What did Darwin observe about species in different regions?,ڈارون نے مختلف علاقوں میں انواع کے بارے میں کیا مشاہدہ کیا؟,Different islands and environments had their own distinct sets of species / مختلف جزیروں اور ماحول میں انواع کے الگ الگ مجموعے موجود تھے,All regions contained exactly the same species / تمام علاقوں میں بالکل ایک جیسی انواع موجود تھیں,Only plants varied among regions / علاقوں میں صرف پودوں میں فرق تھا,Species were absent from islands / جزیروں پر انواع موجود نہیں تھیں,A | Different islands and environments had their own distinct sets of species / مختلف جزیروں اور ماحول میں انواع کے الگ الگ مجموعے موجود تھے,Medium,1,PRO,1
q_10_bio_ch10_006,1,10.1 Evolution and Darwin's Observations,Understand,What are adaptations?,موافقتیں کیا ہیں؟,Changes that always reduce survival / ایسی تبدیلیاں جو ہمیشہ بقا کو کم کریں,Special variations in body or behaviour that help an organism survive in its environment / جسم یا رویے میں خاص تبدیلیاں جو جاندار کو اپنے ماحول میں زندہ رہنے میں مدد دیں,Temporary injuries caused by predators / شکاریوں سے ہونے والی عارضی چوٹیں,Non-heritable changes caused only by exercise / صرف ورزش سے ہونے والی غیر موروثی تبدیلیاں,B | Special variations in body or behaviour that help an organism survive in its environment / جسم یا رویے میں خاص تبدیلیاں جو جاندار کو اپنے ماحول میں زندہ رہنے میں مدد دیں,Medium,1,PRO,1
q_10_bio_ch10_007,1,10.1 Evolution and Darwin's Observations,Understand,What did Darwin notice about the beaks of finches on the Galapagos Islands?,گالاپاگوس جزیروں پر ڈارون نے فنچز کی چونچوں کے بارے میں کیا مشاہدہ کیا؟,All finches had identical beaks / تمام فنچز کی چونچیں ایک جیسی تھیں,Their beaks were unrelated to food / ان کی چونچوں کا غذا سے کوئی تعلق نہیں تھا,Only the colour of their beaks differed / صرف ان کی چونچوں کا رنگ مختلف تھا,Their beak sizes and shapes were suited to the available food sources / ان کی چونچوں کی جسامت اور شکل دستیاب غذائی ذرائع کے مطابق تھی,D | Their beak sizes and shapes were suited to the available food sources / ان کی چونچوں کی جسامت اور شکل دستیاب غذائی ذرائع کے مطابق تھی,Medium,1,PRO,1
q_10_bio_ch10_008,1,10.1 Evolution and Darwin's Observations,Understand,What did the resemblance between fossils of extinct animals and modern species suggest to Darwin?,معدوم جانوروں کے فوسلز اور جدید انواع میں مشابہت نے ڈارون کو کیا اشارہ دیا؟,Extinct animals were identical to all modern species / معدوم جانور تمام جدید انواع سے بالکل ایک جیسے تھے,Fossils could not provide evidence about life / فوسلز زندگی کے بارے میں کوئی ثبوت نہیں دے سکتے,Species could change over time / انواع وقت کے ساتھ تبدیل ہو سکتی ہیں,Modern species never change / جدید انواع کبھی تبدیل نہیں ہوتیں,C | Species could change over time / انواع وقت کے ساتھ تبدیل ہو سکتی ہیں,Medium,1,ULTRA,1
TOPIC_SEP,1,10.2 Theory of Evolution by Natural Selection,Topic,,,,,,,,,,,1
