question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,Background Information: Coordinated Action,Topic,,,,,,,,,,,1
q_10_bio_ch5_001,1,Background Information: Coordinated Action,Remember,Which sequence correctly lists the five components of a coordinated action?,مربوط عمل کے پانچ اجزا کو درست ترتیب میں کون سا سلسلہ بیان کرتا ہے؟,"Stimulus, receptor, coordinator, effector, response / محرک، رِسیپٹر، رابطہ کار، مؤثر عضو، ردِعمل","Receptor, stimulus, response, coordinator, effector / رِسیپٹر، محرک، ردِعمل، رابطہ کار، مؤثر عضو","Stimulus, coordinator, receptor, response, effector / محرک، رابطہ کار، رِسیپٹر، ردِعمل، مؤثر عضو","Effector, receptor, stimulus, response, coordinator / مؤثر عضو، رِسیپٹر، محرک، ردِعمل، رابطہ کار","A | Stimulus, receptor, coordinator, effector, response / محرک، رِسیپٹر، رابطہ کار، مؤثر عضو، ردِعمل",Easy,1,PRO,1
q_10_bio_ch5_002,1,Background Information: Coordinated Action,Remember,Which organ acts as a receptor for the stimulus of sound?,آواز کے محرک کے لیے کون سا عضو رِسیپٹر کے طور پر کام کرتا ہے؟,Ears / کان,Eyes / آنکھیں,Skin / جلد,Muscles / عضلات,A | Ears / کان,Easy,1,ULTRA,1
q_10_bio_ch5_003,1,Background Information: Coordinated Action,Understand,Which structures act as coordinators in nervous coordination?,اعصابی ہم آہنگی میں کون سی ساختیں رابطہ کار کے طور پر کام کرتی ہیں؟,Muscles and glands / عضلات اور غدود,Eyes and ears / آنکھیں اور کان,Brain and spinal cord / دماغ اور حرام مغز,Bones and joints / ہڈیاں اور جوڑ,C | Brain and spinal cord / دماغ اور حرام مغز,Medium,1,PRO,1
q_10_bio_ch5_004,1,Background Information: Coordinated Action,Understand,Which body parts mainly act as effectors in nervous coordination?,اعصابی ہم آہنگی میں بنیادی طور پر کون سے جسمانی حصے مؤثر اعضا کے طور پر کام کرتے ہیں؟,Brain and spinal cord / دماغ اور حرام مغز,Eyes and ears / آنکھیں اور کان,Skin and bones / جلد اور ہڈیاں,Muscles and glands / عضلات اور غدود,D | Muscles and glands / عضلات اور غدود,Medium,1,ULTRA,1
TOPIC_SEP,1,5.1 Neurons - The Units of Nervous System,Topic,,,,,,,,,,,1
q_10_bio_ch5_005,1,5.1 Neurons - The Units of Nervous System,Remember,What are the cells that transmit impulses in the body called?,جسم میں پیغامات منتقل کرنے والے خلیات کو کیا کہا جاتا ہے؟,Hormones / ہارمونز,Neurons / نیورونز,Effectors / مؤثر اعضا,Receptors / رِسیپٹرز,B | Neurons / نیورونز,Easy,1,PRO,1
q_10_bio_ch5_006,1,5.1 Neurons - The Units of Nervous System,Remember,What is a nerve impulse?,اعصابی پیغام کیا ہوتا ہے؟,A chemical secreted directly into the digestive tract / ایک کیمیائی مادہ جو براہِ راست ہاضم نالی میں خارج ہو,A mechanical movement of bones at a joint / جوڑ پر ہڈیوں کی میکانکی حرکت,A wave of electrochemical change that travels across the membrane of a neuron / برقی کیمیائی تبدیلی کی ایک لہر جو نیورون کی جھلی پر سفر کرتی ہے,A blood clot formed inside a vessel / خون کی نالی کے اندر بننے والا لوتھڑا,C | A wave of electrochemical change that travels across the membrane of a neuron / برقی کیمیائی تبدیلی کی ایک لہر جو نیورون کی جھلی پر سفر کرتی ہے,Easy,1,PRO,1
q_10_bio_ch5_007,1,5.1 Neurons - The Units of Nervous System,Understand,What does coordination mean in living organisms?,جانداروں میں ہم آہنگی سے کیا مراد ہے؟,Only the digestion of food in the alimentary canal / صرف ہاضم نالی میں غذا کا ہضم ہونا,Only the transport of oxygen by blood / صرف خون کے ذریعے آکسیجن کی ترسیل,Integration among body parts and their responses to stimuli / جسم کے مختلف حصوں اور محرکات کے لیے ان کے ردِعمل میں ربط,Only the removal of nitrogenous wastes / صرف نائٹروجنی فاضل مادّوں کا اخراج,C | Integration among body parts and their responses to stimuli / جسم کے مختلف حصوں اور محرکات کے لیے ان کے ردِعمل میں ربط,Medium,1,ULTRA,1
TOPIC_SEP,1,5.1 Structure of Neuron,Topic,,,,,,,,,,,1
q_10_bio_ch5_008,1,5.1 Structure of Neuron,Remember,Which set contains the three major parts of a neuron?,کون سا مجموعہ نیورون کے تین بنیادی حصوں پر مشتمل ہے؟,"Nucleus, synapse, and nerve / مرکزہ، سائنیپس اور عصب","Brain, spinal cord, and nerve / دماغ، حرام مغز اور عصب","Receptor, coordinator, and effector / رِسیپٹر، رابطہ کار اور مؤثر عضو","Cell body, dendrites, and axon / سیل باڈی، ڈینڈرائٹس اور ایکسون","D | Cell body, dendrites, and axon / سیل باڈی، ڈینڈرائٹس اور ایکسون",Easy,1,PRO,1
q_10_bio_ch5_009,1,5.1 Structure of Neuron,Understand,In which direction do dendrites transmit nerve impulses?,ڈینڈرائٹس اعصابی پیغامات کس سمت میں منتقل کرتے ہیں؟,Toward the cell body / سیل باڈی کی طرف,Away from the cell body / سیل باڈی سے دور,Only toward muscles / صرف عضلات کی طرف,Only toward glands / صرف غدود کی طرف,A | Toward the cell body / سیل باڈی کی طرف,Medium,1,ULTRA,1
q_10_bio_ch5_010,1,5.1 Structure of Neuron,Understand,What is the main role of an axon?,ایکسون کا بنیادی کردار کیا ہے؟,To receive sound stimuli from the environment / ماحول سے آواز کے محرکات وصول کرنا,"To transmit impulses from the cell body to other neurons, muscles, or glands / سیل باڈی سے دوسرے نیورونز، عضلات یا غدود تک اعصابی پیغامات پہنچانا",To secrete hormones into blood / خون میں ہارمونز خارج کرنا,To form the protective layers of the brain / دماغ کی حفاظتی جھلیاں بنانا,"B | To transmit impulses from the cell body to other neurons, muscles, or glands / سیل باڈی سے دوسرے نیورونز، عضلات یا غدود تک اعصابی پیغامات پہنچانا",Medium,1,ULTRA,1
q_10_bio_ch5_011,1,5.1 Structure of Neuron,Remember,Which supporting cells produce the myelin sheath around many axons?,بہت سے ایکسونز کے گرد مائیلین شیٹھ بنانے والے معاون خلیات کون سے ہیں؟,Sensory neurons / حسی نیورونز,Inter-neurons / انٹر نیورونز,Motor neurons / حرکی نیورونز,Schwann cells / شوان خلیات,D | Schwann cells / شوان خلیات,Easy,1,PRO,1
q_10_bio_ch5_012,1,5.1 Structure of Neuron,Analyze,Which comparison of white matter and grey matter in the CNS is correct?,مرکزی اعصابی نظام میں سفید مادّے اور سرمئی مادّے کا کون سا تقابل درست ہے؟,"White matter contains glands, while grey matter contains muscles / سفید مادّہ غدود پر جبکہ سرمئی مادّہ عضلات پر مشتمل ہوتا ہے","White matter contains receptors, while grey matter contains effectors / سفید مادّہ رِسیپٹرز پر جبکہ سرمئی مادّہ مؤثر اعضا پر مشتمل ہوتا ہے","White matter contains only blood vessels, while grey matter contains only nerves / سفید مادّہ صرف خون کی نالیوں پر جبکہ سرمئی مادّہ صرف اعصاب پر مشتمل ہوتا ہے","White matter contains myelinated axons, while grey matter contains dendrites and cell bodies / سفید مادّہ مائیلین والے ایکسونز پر جبکہ سرمئی مادّہ ڈینڈرائٹس اور سیل باڈیز پر مشتمل ہوتا ہے","D | White matter contains myelinated axons, while grey matter contains dendrites and cell bodies / سفید مادّہ مائیلین والے ایکسونز پر جبکہ سرمئی مادّہ ڈینڈرائٹس اور سیل باڈیز پر مشتمل ہوتا ہے",Hard,1,ULTRA,1
TOPIC_SEP,1,5.1 Synapse and Neurotransmitters,Topic,,,,,,,,,,,1
q_10_bio_ch5_013,1,5.1 Synapse and Neurotransmitters,Remember,What is a synapse?,سائنیپس کیا ہے؟,A bundle of axons enclosed by connective tissue / رابطی بافت میں بند ایکسونز کا مجموعہ,A small gap between two neurons or between a neuron and an effector cell / دو نیورونز یا نیورون اور مؤثر خلیے کے درمیان ایک چھوٹا خلا,A group of neuron cell bodies enclosed by membranes / جھلیوں میں بند نیورون سیل باڈیز کا مجموعہ,A protective membrane around the brain / دماغ کے گرد حفاظتی جھلی,B | A small gap between two neurons or between a neuron and an effector cell / دو نیورونز یا نیورون اور مؤثر خلیے کے درمیان ایک چھوٹا خلا,Easy,1,PRO,1
q_10_bio_ch5_014,1,5.1 Synapse and Neurotransmitters,Understand,What happens when a nerve impulse reaches the end of a neuron?,جب اعصابی پیغام نیورون کے آخری سرے تک پہنچتا ہے تو کیا ہوتا ہے؟,Neurotransmitters are released / نیوروٹرانسمیٹرز خارج ہوتے ہیں,Myelin is destroyed / مائیلین تباہ ہو جاتی ہے,The neuron changes into a gland / نیورون غدود میں تبدیل ہو جاتا ہے,The spinal cord stops working / حرام مغز کام کرنا بند کر دیتا ہے,A | Neurotransmitters are released / نیوروٹرانسمیٹرز خارج ہوتے ہیں,Medium,1,ULTRA,1
q_10_bio_ch5_015,1,5.1 Synapse and Neurotransmitters,Remember,Which substance is listed in the textbook as a neurotransmitter?,درسی کتاب میں کس مادّے کو نیوروٹرانسمیٹر کے طور پر بیان کیا گیا ہے؟,Insulin / انسولین,Thyroxine / تھائروکسین,Aldosterone / ایلڈوسٹیرون,Acetylcholine / ایسیٹائل کولین,D | Acetylcholine / ایسیٹائل کولین,Easy,1,IMPORTANT,1
TOPIC_SEP,1,5.1 Types of Neurons and Nerves,Topic,,,,,,,,,,,1
