question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,7.1 Inheritance and Hereditary Information,topic_separator,,,,,,1
q_10_bio_ch7_sq_001,1,7.1 Inheritance and Hereditary Information,definition_function,Define inheritance or heredity and state what offspring receive from each parent.,وراثت کی تعریف کریں اور بیان کریں کہ اولاد ہر والدین سے کیا حاصل کرتی ہے۔,Easy,2,PRO,1
q_10_bio_ch7_sq_002,1,7.1 Inheritance and Hereditary Information,function_purpose,State where the instructions for inherited characteristics are stored and what cells produce by using these instructions.,بیان کریں کہ موروثی خصوصیات کی ہدایات کہاں محفوظ ہوتی ہیں اور خلیات ان ہدایات کو استعمال کر کے کیا بناتے ہیں۔,Easy,2,ULTRA,1
q_10_bio_ch7_sq_003,1,7.1 Inheritance and Hereditary Information,concept_explanation,Explain how DNA provides hereditary information for the production of particular proteins.,وضاحت کریں کہ DNA مخصوص پروٹینز کی تیاری کے لیے موروثی معلومات کیسے فراہم کرتا ہے۔,Medium,2,PRO,1
q_10_bio_ch7_sq_004,1,7.1 Inheritance and Hereditary Information,cause_effect,Explain how proteins produced by a cell determine its characteristics.,وضاحت کریں کہ خلیے کے بنائے ہوئے پروٹینز اس کی خصوصیات کا تعین کیسے کرتے ہیں۔,Medium,2,PRO,1
q_10_bio_ch7_sq_005,1,7.1 Inheritance and Hereditary Information,concept_explanation,"Explain the complete relationship among hereditary information, DNA, proteins, and observable characteristics.",موروثی معلومات، DNA، پروٹینز اور قابلِ مشاہدہ خصوصیات کے مکمل باہمی تعلق کی وضاحت کریں۔,Hard,2,ELITE,1
TOPIC_SEP,1,7.1 Structure and Composition of Chromosome,topic_separator,,,,,,1
q_10_bio_ch7_sq_006,1,7.1 Structure and Composition of Chromosome,definition_function,Define a chromosome and state the two main chemical components of chromatin in eukaryotes.,کروموسوم کی تعریف کریں اور یوکاریوٹس میں کروماٹِن کے دو بنیادی کیمیائی اجزا بیان کریں۔,Easy,2,PRO,1
q_10_bio_ch7_sq_007,1,7.1 Structure and Composition of Chromosome,function_purpose,State the role of histone proteins in the organization of DNA within chromatin.,کروماٹِن میں DNA کی تنظیم میں ہسٹون پروٹینز کا کردار بیان کریں۔,Easy,2,ULTRA,1
q_10_bio_ch7_sq_008,1,7.1 Structure and Composition of Chromosome,compare_contrast,Compare the condition of chromatin in a non-dividing cell and during cell division.,غیر تقسیم پذیر خلیے اور خلیاتی تقسیم کے دوران کروماٹِن کی حالت کا تقابل کریں۔,Medium,2,PRO,1
q_10_bio_ch7_sq_009,1,7.1 Structure and Composition of Chromosome,difference,Differentiate between a chromatid and a chromosome and state the function of the centromere.,کرومیٹڈ اور کروموسوم میں فرق بیان کریں اور سینٹرومیئر کا فعل لکھیں۔,Medium,2,PRO,1
q_10_bio_ch7_sq_010,1,7.1 Structure and Composition of Chromosome,diagram_based,"Explain the structural relationship among DNA, histones, chromatin, chromatids, centromere, and a chromosome.",DNA، ہسٹونز، کروماٹِن، کرومیٹڈز، سینٹرومیئر اور کروموسوم کے ساختی تعلق کی وضاحت کریں۔,Hard,2,ELITE,1
TOPIC_SEP,1,7.2 Structure of DNA and RNA,topic_separator,,,,,,1
q_10_bio_ch7_sq_011,1,7.2 Structure of DNA and RNA,definition_function,Define DNA and state the three components of each DNA nucleotide.,DNA کی تعریف کریں اور ہر DNA نیوکلیوٹائڈ کے تین اجزا بیان کریں۔,Easy,2,PRO,1
q_10_bio_ch7_sq_012,1,7.2 Structure of DNA and RNA,definition_function,Define RNA and state the three components of each RNA nucleotide.,RNA کی تعریف کریں اور ہر RNA نیوکلیوٹائڈ کے تین اجزا بیان کریں۔,Easy,2,ULTRA,1
q_10_bio_ch7_sq_013,1,7.2 Structure of DNA and RNA,compare_contrast,"Compare DNA and RNA in terms of number of strands, sugar, and nitrogenous bases.",DNA اور RNA کا دھاگوں کی تعداد، شکر اور نائٹروجنی اساسوں کے لحاظ سے تقابل کریں۔,Medium,2,PRO,1
q_10_bio_ch7_sq_014,1,7.2 Structure of DNA and RNA,law_principle,State the base-pairing rule of DNA and identify the nitrogenous base found in RNA instead of thymine.,DNA کا اساس جوڑ بنانے کا اصول بیان کریں اور RNA میں تھائمین کی جگہ پائی جانے والی نائٹروجنی اساس کی نشاندہی کریں۔,Medium,2,PRO,1
q_10_bio_ch7_sq_015,1,7.2 Structure of DNA and RNA,compare_contrast,Compare DNA and RNA by stating two structural similarities and three structural differences.,DNA اور RNA کا تقابل کرتے ہوئے دو ساختی مماثلتیں اور تین ساختی اختلافات بیان کریں۔,Hard,2,ELITE,1
TOPIC_SEP,1,7.2 Functioning of DNA and RNA: Central Dogma,topic_separator,,,,,,1
q_10_bio_ch7_sq_016,1,7.2 Functioning of DNA and RNA: Central Dogma,definition_function,Define transcription and state the molecule produced during this process.,ٹرانسکرپشن کی تعریف کریں اور اس عمل کے دوران بننے والے سالمے کا نام لکھیں۔,Easy,2,ULTRA,1
q_10_bio_ch7_sq_017,1,7.2 Functioning of DNA and RNA: Central Dogma,definition_function,Define translation and state the cellular structure where this process occurs.,ٹرانسلیشن کی تعریف کریں اور اس خلوی ساخت کا نام لکھیں جہاں یہ عمل ہوتا ہے۔,Easy,2,ULTRA,1
q_10_bio_ch7_sq_018,1,7.2 Functioning of DNA and RNA: Central Dogma,sequence,Write the central dogma as an arrow sequence and name the process represented by each step.,مرکزی اصول کو تیروں کی ترتیب میں لکھیں اور ہر مرحلے کی نمائندگی کرنے والے عمل کا نام بیان کریں۔,Medium,2,PRO,1
q_10_bio_ch7_sq_019,1,7.2 Functioning of DNA and RNA: Central Dogma,function_purpose,"State the roles of DNA, mRNA, and ribosomes in protein synthesis.",پروٹین سازی میں DNA، mRNA اور رائبوسومز کے کردار بیان کریں۔,Medium,2,PRO,1
q_10_bio_ch7_sq_020,1,7.2 Functioning of DNA and RNA: Central Dogma,process_steps,Explain how hereditary information is converted into a protein from transcription in the nucleus to translation in the cytoplasm.,وضاحت کریں کہ مرکزے میں ٹرانسکرپشن سے سائٹوپلازم میں ٹرانسلیشن تک موروثی معلومات پروٹین میں کیسے تبدیل ہوتی ہیں۔,Hard,2,ELITE,1
TOPIC_SEP,1,"7.2 Gene, Allele and Locus",topic_separator,,,,,,1
q_10_bio_ch7_sq_021,1,"7.2 Gene, Allele and Locus",definition_example,Define a gene and give one example of a hereditary character controlled by a gene.,جین کی تعریف کریں اور جین کے زیرِ کنٹرول کسی ایک موروثی کردار کی مثال دیں۔,Easy,2,PRO,1
q_10_bio_ch7_sq_022,1,"7.2 Gene, Allele and Locus",definition_example,Define an allele and give one example of two alternative forms of the same gene.,ایلیل کی تعریف کریں اور ایک ہی جین کی دو متبادل شکلوں کی ایک مثال دیں۔,Easy,2,ULTRA,1
q_10_bio_ch7_sq_023,1,"7.2 Gene, Allele and Locus",difference,Differentiate between a gene and an allele.,جین اور ایلیل میں فرق بیان کریں۔,Medium,2,PRO,1
q_10_bio_ch7_sq_024,1,"7.2 Gene, Allele and Locus",definition_function,Define a locus and explain how paired genes are positioned on homologous chromosomes.,لوکس کی تعریف کریں اور وضاحت کریں کہ جوڑی دار جینز ہم شکل کروموسومز پر کس طرح واقع ہوتے ہیں۔,Medium,2,PRO,1
q_10_bio_ch7_sq_025,1,"7.2 Gene, Allele and Locus",concept_explanation,Explain how homologous chromosomes may carry different alleles of the same gene at corresponding loci.,وضاحت کریں کہ ہم شکل کروموسومز متعلقہ لوکس پر ایک ہی جین کے مختلف ایلیلز کیسے رکھتے ہیں۔,Hard,2,ELITE,1
TOPIC_SEP,1,"7.2 Genotype, Phenotype, Homozygous, Heterozygous, Dominant and Recessive",topic_separator,,,,,,1
q_10_bio_ch7_sq_026,1,"7.2 Genotype, Phenotype, Homozygous, Heterozygous, Dominant and Recessive",definition_function,Define genotype and distinguish between homozygous and heterozygous genotypes.,جینوٹائپ کی تعریف کریں اور ہوموزائگس و ہیٹروزائگس جینوٹائپس میں فرق بیان کریں۔,Easy,2,PRO,1
q_10_bio_ch7_sq_027,1,"7.2 Genotype, Phenotype, Homozygous, Heterozygous, Dominant and Recessive",definition_function,Define phenotype and state its relationship with genotype.,فینوٹائپ کی تعریف کریں اور جینوٹائپ کے ساتھ اس کا تعلق بیان کریں۔,Easy,2,ULTRA,1
q_10_bio_ch7_sq_028,1,"7.2 Genotype, Phenotype, Homozygous, Heterozygous, Dominant and Recessive",difference,Differentiate between dominant and recessive alleles and state how each is represented by letters.,غالب اور مغلوب ایلیلز میں فرق بیان کریں اور لکھیں کہ ہر ایک کو حروف سے کیسے ظاہر کیا جاتا ہے۔,Medium,2,PRO,1
q_10_bio_ch7_sq_029,1,"7.2 Genotype, Phenotype, Homozygous, Heterozygous, Dominant and Recessive",difference,Differentiate between genotype and phenotype using one suitable example.,جینوٹائپ اور فینوٹائپ میں ایک مناسب مثال کے ذریعے فرق بیان کریں۔,Medium,2,PRO,1
q_10_bio_ch7_sq_030,1,"7.2 Genotype, Phenotype, Homozygous, Heterozygous, Dominant and Recessive",cause_effect,Explain why a pea plant with genotype Tt is tall even though it carries an allele for shortness.,وضاحت کریں کہ Tt جینوٹائپ والا مٹر کا پودا پست قدی کا ایلیل رکھنے کے باوجود لمبا کیوں ہوتا ہے۔,Hard,2,ELITE,1
TOPIC_SEP,1,7.3 Mendel and Selection of Garden Pea,topic_separator,,,,,,1
q_10_bio_ch7_sq_031,1,7.3 Mendel and Selection of Garden Pea,list_state,State who Gregor Mendel was and mention the organism and period of his heredity experiments.,بیان کریں کہ گریگر مینڈل کون تھے اور ان کے وراثتی تجربات کے جاندار اور مدت کا ذکر کریں۔,Easy,2,ULTRA,1
q_10_bio_ch7_sq_032,1,7.3 Mendel and Selection of Garden Pea,definition_example,Define a true-breeding plant and a monohybrid cross and give one example of a monohybrid cross.,خالص نسل کے پودے اور مونوہائبرڈ کراس کی تعریف کریں اور مونوہائبرڈ کراس کی ایک مثال دیں۔,Easy,2,PRO,1
q_10_bio_ch7_sq_033,1,7.3 Mendel and Selection of Garden Pea,explain_reason,Explain any three reasons why Mendel selected garden pea plants for his experiments.,وہ کوئی تین وجوہات بیان کریں جن کی بنا پر مینڈل نے اپنے تجربات کے لیے باغی مٹر کے پودوں کا انتخاب کیا۔,Medium,2,PRO,1
q_10_bio_ch7_sq_034,1,7.3 Mendel and Selection of Garden Pea,difference,Differentiate between self-pollination and cross-pollination in pea plants.,مٹر کے پودوں میں خود زیرگی اور باہمی زیرگی میں فرق بیان کریں۔,Medium,2,PRO,1
