question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_bio_ch1_001,1,1.1 Nutrition and Its Importance,Topic,topic_separator,,,,,,1
q_10_bio_ch1_lq_001,1,1.1 Nutrition and Its Importance,Long,state_and_explain,"Define nutrition and explain its importance. Describe ingestion, digestion, absorption, assimilation, and egestion as the five main steps of nutrition in animals.",غذائیت کی تعریف اور اہمیت بیان کریں۔ حیوانات میں غذائیت کے پانچ بنیادی مراحل یعنی ingestion، digestion، absorption، assimilation اور egestion کی وضاحت کریں۔,Easy,5,ULTRA,1
sep_10_bio_ch1_002,1,1.2 Human Digestive System — General Organization,Topic,topic_separator,,,,,,1
q_10_bio_ch1_lq_002,1,1.2 Human Digestive System — General Organization,Long,diagram_based,"Describe the general organization of the human digestive system. Explain the alimentary canal and associated organs, and draw a labelled diagram showing their major parts.",انسانی نظامِ ہاضمہ کی عمومی تنظیم بیان کریں۔ alimentary canal اور اس سے وابستہ اعضا کی وضاحت کریں اور ان کے اہم حصوں کا لیبل شدہ خاکہ بنائیں۔,Medium,5,ULTRA,1
sep_10_bio_ch1_003,1,1.2 Human Digestive System — Oral Cavity,Topic,topic_separator,,,,,,1
q_10_bio_ch1_lq_003,1,1.2 Human Digestive System — Oral Cavity,Long,explain,"Explain the role of the oral cavity in the digestive system, including mechanical digestion, the functions of the tongue and taste buds, saliva formation, and the action of salivary amylase.",نظامِ ہاضمہ میں منہ کی گہا کا کردار بیان کریں، جس میں میکانی ہاضمہ، زبان اور taste buds کے افعال، لعاب کی تیاری اور salivary amylase کا عمل شامل ہو۔,Medium,5,PRO,1
sep_10_bio_ch1_004,1,1.2 Human Digestive System — Pharynx and Oesophagus,Topic,topic_separator,,,,,,1
q_10_bio_ch1_lq_004,1,1.2 Human Digestive System — Pharynx and Oesophagus,Long,process_procedure,"Describe swallowing and peristalsis. Explain the roles of the tongue, palate, pharynx, epiglottis, glottis, and oesophagus in moving food safely from the oral cavity to the stomach.",نگلنے اور peristalsis کے عمل بیان کریں۔ غذا کو منہ کی گہا سے محفوظ طور پر معدے تک منتقل کرنے میں زبان، تالو، pharynx، epiglottis، glottis اور oesophagus کے کردار کی وضاحت کریں۔,Hard,5,PRO,1
sep_10_bio_ch1_005,1,1.2 Human Digestive System — Stomach,Topic,topic_separator,,,,,,1
q_10_bio_ch1_lq_005,1,1.2 Human Digestive System — Stomach,Long,describe,"Explain the structure and functions of the stomach, including its cardiac and pyloric ends, sphincters, muscular walls, gastric glands, gastric juice, and formation of chyme.",معدے کی ساخت اور افعال کی وضاحت کریں، جس میں cardiac اور pyloric ends، sphincters، عضلاتی دیواریں، gastric glands، gastric juice اور chyme کی تشکیل شامل ہو۔,Hard,5,PRO,1
sep_10_bio_ch1_006,1,1.2 Human Digestive System — Small Intestine,Topic,topic_separator,,,,,,1
q_10_bio_ch1_lq_006,1,1.2 Human Digestive System — Small Intestine,Long,describe,"Describe the structure and digestive functions of the small intestine. Include the duodenum, jejunum, ileum, emulsification by bile salts, pancreatic juice, bicarbonate, and intestinal enzymes.",چھوٹی آنت کی ساخت اور ہاضماتی افعال بیان کریں۔ duodenum، jejunum، ileum، صفراوی نمکیات کے ذریعے emulsification، pancreatic juice، bicarbonate اور آنتی خامروں کو شامل کریں۔,Hard,5,ULTRA,1
sep_10_bio_ch1_007,1,1.2 Action of Enzymes in the Alimentary Canal,Topic,topic_separator,,,,,,1
q_10_bio_ch1_lq_007,1,1.2 Action of Enzymes in the Alimentary Canal,Long,classification,"Describe the action of digestive enzymes in the oral cavity, stomach, and small intestine by relating each major enzyme to its substrate and product.",منہ کی گہا، معدے اور چھوٹی آنت میں ہاضماتی خامروں کے عمل کی وضاحت کریں اور ہر اہم خامرے کو اس کے substrate اور product سے مربوط کریں۔,Medium,5,ELITE,1
sep_10_bio_ch1_008,1,1.2 Absorption of Food in the Small Intestine,Topic,topic_separator,,,,,,1
